[2026-09-02T14:53:34.018Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-02T14:53:34.019Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18080
[2026-09-02T14:53:34.046Z INFO  gresse::replica] replica 178835836297159906 initiating runtime at bind_http=0.0.0.0:18080 bind_internal=0.0.0.0:19080 advertised_internal=18.169.194.24:19080
[2026-09-02T14:53:34.172Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260902122609-1c973c, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/membership/178835836297159906,18.169.194.24:19080,0
[2026-09-02T14:53:35.208Z INFO  gresse::replica] replica 178835836297159906 discovered 204 membership descriptors during init
[2026-09-02T14:53:35.208Z INFO  gresse::replica] replica 178835836297159906 startup completed
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836089857604, address: 13.48.31.196:19080, final_counter: None }
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836374681604
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836374677602
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836089858603, address: 13.48.31.196:19081, final_counter: None }
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836089859606, address: 13.48.31.196:19082, final_counter: None }
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836089860606, address: 13.48.31.196:19083, final_counter: None }
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836089861606, address: 13.48.31.196:19084, final_counter: None }
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836128988905, address: 3.71.184.22:19080, final_counter: None }
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836128989904, address: 3.71.184.22:19081, final_counter: None }
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836128990903, address: 3.71.184.22:19082, final_counter: None }
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836128991906, address: 3.71.184.22:19083, final_counter: None }
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836128992906, address: 3.71.184.22:19084, final_counter: None }
[2026-09-02T14:53:35.208Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836374681604
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836195159506, address: 63.33.67.241:19080, final_counter: None }
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836195160505, address: 63.33.67.241:19081, final_counter: None }
[2026-09-02T14:53:35.208Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836195161504, address: 63.33.67.241:19082, final_counter: None }
[2026-09-02T14:53:35.209Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836195162503, address: 63.33.67.241:19083, final_counter: None }
[2026-09-02T14:53:35.209Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836297161905, address: 18.169.194.24:19082, final_counter: None }
[2026-09-02T14:53:35.209Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836374677602
[2026-09-02T14:53:35.209Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836297162904, address: 18.169.194.24:19083, final_counter: None }
[2026-09-02T14:53:35.209Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836297163903, address: 18.169.194.24:19084, final_counter: None }
[2026-09-02T14:53:35.209Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836374678605, address: 13.38.27.31:19081, final_counter: None }
[2026-09-02T14:53:35.209Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836374679605, address: 13.38.27.31:19082, final_counter: None }
[2026-09-02T14:53:35.209Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836374680605, address: 13.38.27.31:19083, final_counter: None }
[2026-09-02T14:53:35.209Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836089857604
[2026-09-02T14:53:35.209Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836089857604
[2026-09-02T14:53:35.209Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836128988905
[2026-09-02T14:53:35.209Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836128988905
[2026-09-02T14:53:35.209Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836089860606
[2026-09-02T14:53:35.209Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836089860606
[2026-09-02T14:53:35.209Z WARN  gresse::network] replica 178835836297159906 peer connection attempt failed: could not connect to 18.169.194.24:19084: Connection refused (os error 111)
[2026-09-02T14:53:35.209Z WARN  gresse::network] replica 178835836297159906 peer connection attempt failed: could not connect to 18.169.194.24:19082: Connection refused (os error 111)
[2026-09-02T14:53:35.209Z WARN  gresse::network] replica 178835836297159906 peer connection attempt failed: could not connect to 18.169.194.24:19083: Connection refused (os error 111)
[2026-09-02T14:53:35.223Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836374678605
[2026-09-02T14:53:35.223Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836374678605
[2026-09-02T14:53:35.223Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836374679605
[2026-09-02T14:53:35.223Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836374679605
[2026-09-02T14:53:35.224Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836374680605
[2026-09-02T14:53:35.224Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836374680605
[2026-09-02T14:53:35.228Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836195160505
[2026-09-02T14:53:35.228Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836195160505
[2026-09-02T14:53:35.228Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836195161504
[2026-09-02T14:53:35.228Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836195161504
[2026-09-02T14:53:35.228Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836195159506
[2026-09-02T14:53:35.228Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836195159506
[2026-09-02T14:53:35.228Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836195162503
[2026-09-02T14:53:35.228Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836195162503
[2026-09-02T14:53:35.231Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836128989904
[2026-09-02T14:53:35.231Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836128989904
[2026-09-02T14:53:35.231Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836128991906
[2026-09-02T14:53:35.231Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836128991906
[2026-09-02T14:53:35.231Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836128992906
[2026-09-02T14:53:35.231Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836128992906
[2026-09-02T14:53:35.234Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836128990903
[2026-09-02T14:53:35.234Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836128990903
[2026-09-02T14:53:35.266Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836089859606
[2026-09-02T14:53:35.266Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836089859606
[2026-09-02T14:53:35.266Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836089861606
[2026-09-02T14:53:35.266Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836089861606
[2026-09-02T14:53:35.266Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836089858603
[2026-09-02T14:53:35.266Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836089858603
[2026-09-02T14:53:35.626Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836195163506
[2026-09-02T14:53:35.626Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836195163506
[2026-09-02T14:53:36.404Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836297160906
[2026-09-02T14:53:36.404Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836297160906
[2026-09-02T14:53:37.883Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836297161905
[2026-09-02T14:53:37.883Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836297161905
[2026-09-02T14:53:38.928Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836297162904
[2026-09-02T14:53:38.928Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836297162904
[2026-09-02T14:53:39.104Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836297163903, address: 18.169.194.24:19084, final_counter: None }
[2026-09-02T14:53:39.105Z WARN  gresse::network] replica 178835836297159906 peer connection attempt failed: could not connect to 18.169.194.24:19084: Connection refused (os error 111)
[2026-09-02T14:53:40.251Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836297163903
[2026-09-02T14:53:40.251Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836297163903
[2026-09-02T14:54:39.099Z INFO  gresse::replica] replica 178835836297159906 observed shutdown descriptor for replica 178835836374677602 with final counter Some(4375)
[2026-09-02T14:54:39.473Z INFO  gresse::replica] replica 178835836297159906 observed shutdown descriptor for replica 178835836374678605 with final counter Some(845)
[2026-09-02T14:54:39.887Z INFO  gresse::replica] replica 178835836297159906 observed shutdown descriptor for replica 178835836374679605 with final counter Some(842)
[2026-09-02T14:55:12.210Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-02T14:55:24.210Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-02T14:55:32.210Z WARN  gresse::replica] replica 178835836297159906 deferred pull request to peer 178835836374681604: channel closed
[2026-09-02T14:55:33.210Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-02T14:55:35.123Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836374677606
[2026-09-02T14:55:35.123Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836374677606
[2026-09-02T14:55:36.210Z WARN  gresse::replica] replica 178835836297159906 deferred pull request to peer 178835836089857604: channel closed
[2026-09-02T14:55:36.252Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836374678606
[2026-09-02T14:55:36.252Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836374678606
[2026-09-02T14:55:37.451Z INFO  gresse::network] replica 178835836297159906 registered bidirectional network channel for replica 178835836374679606
[2026-09-02T14:55:37.451Z INFO  gresse::replica] replica 178835836297159906 established peer replication connection with replica 178835836374679606
[2026-09-02T14:56:06.209Z WARN  gresse::replica] replica 178835836297159906 deferred pull request to peer 178835836374680605: channel closed
[2026-09-02T14:56:39.096Z INFO  gresse::replica] replica 178835836297159906 observed shutdown descriptor for replica 178835836089858603 with final counter Some(3915)
[2026-09-02T14:56:39.511Z INFO  gresse::replica] replica 178835836297159906 observed shutdown descriptor for replica 178835836089859606 with final counter Some(870)
[2026-09-02T14:56:39.798Z INFO  gresse::replica] replica 178835836297159906 observed shutdown descriptor for replica 178835836089860606 with final counter Some(867)
[2026-09-02T14:56:45.210Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-02T14:56:58.210Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-02T14:57:02.210Z WARN  gresse::replica] replica 178835836297159906 deferred pull request to peer 178835836128988905: channel closed
[2026-09-02T14:57:10.209Z WARN  gresse::replica] replica 178835836297159906 deferred pull request to peer 178835836128989904: channel closed
[2026-09-02T14:57:27.209Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-02T14:57:28.210Z WARN  gresse::replica] replica 178835836297159906 deferred pull request to peer 178835836089861606: channel closed
[2026-09-02T14:57:34.219Z INFO  gresse::network] replica 178835836297159906 discovered network member NetworkMember { pid: 178835836089858607, address: 13.48.31.196:19081, final_counter: None }
