source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788361778660940,178835836297161905,,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1788361778795776,178835836297161905,,,,,1788361778660963,1788361778795776,,,"178835836297161905,18.169.194.24:19082,28",,,,,134813
server,membership_directory_read,completed,1788361778916624,178835836297161905,,,,,1788361778795780,1788361778916624,,,init:289 descriptors,,,,,120844
server,persistent_state_fetch,completed,1788361778916669,178835836297161905,,,,,,,,,recovered_from_durability_journal,,,,,
server,replica_init,completed,1788361778916675,178835836297161905,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778917628,178835836297161905,178835836297162904,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778917678,178835836297161905,178835836297159907,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1788361778917703,178835836297161905,,,,,,,,,connected_peers=2,,,,,
server,peer_replication_connection,established,1788361778917888,178835836297161905,178835836297163907,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778918072,178835836297161905,178835836297160906,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778930933,178835836297161905,178835836374680605,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778930970,178835836297161905,178835836374677607,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778932753,178835836297161905,178835836374681604,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778932916,178835836297161905,178835836374678607,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778932967,178835836297161905,178835836374679606,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778935975,178835836297161905,178835836195162508,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778936060,178835836297161905,178835836195159506,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778936385,178835836297161905,178835836195160505,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778936460,178835836297161905,178835836195161508,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778939410,178835836297161905,178835836128989908,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778939423,178835836297161905,178835836128991908,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778940080,178835836297161905,178835836128990908,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778941510,178835836297161905,178835836128992907,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778941908,178835836297161905,178835836128988905,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778972057,178835836297161905,178835836089860607,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778972082,178835836297161905,178835836089858608,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778974012,178835836297161905,178835836089859608,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778974040,178835836297161905,178835836089861606,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778974172,178835836297161905,178835836089857608,,,,,,,,,,,,,
server,client_mutation,completed,1788361779223913,178835836297161905,,,,1788361779221820,1788361779221820,1788361779223913,,,http_data_plane,,,,,2093
server,client_mutation,completed,1788361779723897,178835836297161905,,,,1788361779721821,1788361779721821,1788361779723897,,,http_data_plane,,,,,2076
server,peer_replication_pull_request,sent,1788361779918635,178835836297161905,,,,,,,,,connected_peers=23,,,,,
server,client_mutation,completed,1788361780223991,178835836297161905,,,,1788361780221839,1788361780221840,1788361780223991,,,http_data_plane,,,,,2151
server,peer_replication_connection,established,1788361780490691,178835836297161905,178835836195163508,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1788361780500325,178835836297161905,178835836195163508,28,,1788361780500126,1788361780500131,1788361780500325,,,"delta_len=27,sent_us=1788361780485497",,,,,194
