[2026-09-02T14:39:36.289Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-02T14:39:36.290Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18084
[2026-09-02T14:39:36.335Z INFO  gresse::replica] replica 178835836374681604 initiating runtime at bind_http=0.0.0.0:18084 bind_internal=0.0.0.0:19084 advertised_internal=13.38.27.31:19084
[2026-09-02T14:39:36.464Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260902122609-1c973c, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/persistent.json
[2026-09-02T14:39:37.273Z INFO  gresse::replica] replica 178835836374681604 discovered 135 membership descriptors during init
[2026-09-02T14:39:37.273Z INFO  gresse::replica] replica 178835836374681604 startup completed
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836089857604, address: 13.48.31.196:19080, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836089858603, address: 13.48.31.196:19081, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836089859602, address: 13.48.31.196:19082, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836089860601, address: 13.48.31.196:19083, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836297163903
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836089861604, address: 13.48.31.196:19084, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836128988904, address: 3.71.184.22:19080, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836128989904, address: 3.71.184.22:19081, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836128990903, address: 3.71.184.22:19082, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836128991902, address: 3.71.184.22:19083, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836128992901, address: 3.71.184.22:19084, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836195159504, address: 63.33.67.241:19080, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836195160504, address: 63.33.67.241:19081, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836195161504, address: 63.33.67.241:19082, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836195162503, address: 63.33.67.241:19083, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836195163502, address: 63.33.67.241:19084, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836297159901, address: 18.169.194.24:19080, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836297163903
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836297160904, address: 18.169.194.24:19081, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836297161904, address: 18.169.194.24:19082, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836297162904, address: 18.169.194.24:19083, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836374677602, address: 13.38.27.31:19080, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836374678601, address: 13.38.27.31:19081, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836374679604, address: 13.38.27.31:19082, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 discovered network member NetworkMember { pid: 178835836374680604, address: 13.38.27.31:19083, final_counter: None }
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836089859602
[2026-09-02T14:39:37.274Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836089859602
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836128991902
[2026-09-02T14:39:37.274Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836128991902
[2026-09-02T14:39:37.274Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836374680604
[2026-09-02T14:39:37.274Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836374680604
[2026-09-02T14:39:37.275Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836374677602
[2026-09-02T14:39:37.275Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836374677602
[2026-09-02T14:39:37.275Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836374679604
[2026-09-02T14:39:37.275Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836374679604
[2026-09-02T14:39:37.275Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836374678601
[2026-09-02T14:39:37.275Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836374678601
[2026-09-02T14:39:37.288Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836297159901
[2026-09-02T14:39:37.288Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836297159901
[2026-09-02T14:39:37.289Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836128988904
[2026-09-02T14:39:37.289Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836128989904
[2026-09-02T14:39:37.289Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836128988904
[2026-09-02T14:39:37.289Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836128989904
[2026-09-02T14:39:37.290Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836128990903
[2026-09-02T14:39:37.290Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836128990903
[2026-09-02T14:39:37.290Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836128992901
[2026-09-02T14:39:37.290Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836128992901
[2026-09-02T14:39:37.290Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836297161904
[2026-09-02T14:39:37.290Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836297160904
[2026-09-02T14:39:37.290Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836297161904
[2026-09-02T14:39:37.290Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836297160904
[2026-09-02T14:39:37.290Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836297162904
[2026-09-02T14:39:37.290Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836297162904
[2026-09-02T14:39:37.308Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836195161504
[2026-09-02T14:39:37.308Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836195161504
[2026-09-02T14:39:37.308Z INFO  gresse::network] replica 178835836374681604 registered bidirectional network channel for replica 178835836195159504
[2026-09-02T14:39:37.308Z INFO  gresse::replica] replica 178835836374681604 established peer replication connection with replica 178835836195159504
