source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788361421947162,178835836374681604,,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1788361422075012,178835836374681604,,,,,1788361421947182,1788361422075012,,,"178835836374681604,13.38.27.31:19084,25",,,,,127830
server,membership_directory_read,completed,1788361422202668,178835836374681604,,,,,1788361422075016,1788361422202668,,,init:259 descriptors,,,,,127652
server,persistent_state_fetch,completed,1788361422202709,178835836374681604,,,,,,,,,recovered_from_durability_journal,,,,,
server,replica_init,completed,1788361422202714,178835836374681604,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422203664,178835836374681604,178835836374680605,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422203719,178835836374681604,178835836374678607,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422203752,178835836374681604,178835836374679606,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422203893,178835836374681604,178835836374677607,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422216993,178835836374681604,178835836297160906,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422217064,178835836374681604,178835836297159907,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422217073,178835836374681604,178835836297161905,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422218794,178835836374681604,178835836128988905,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422218803,178835836374681604,178835836128992907,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422219045,178835836374681604,178835836297162904,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422219059,178835836374681604,178835836128990907,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422219066,178835836374681604,178835836128991907,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422219075,178835836374681604,178835836128989904,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422219082,178835836374681604,178835836297163907,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422237495,178835836374681604,178835836195160505,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422237518,178835836374681604,178835836195162507,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422237525,178835836374681604,178835836195163507,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422237544,178835836374681604,178835836195159506,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422237630,178835836374681604,178835836195161504,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422265186,178835836374681604,178835836089860607,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422265208,178835836374681604,178835836089859607,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422265220,178835836374681604,178835836089857604,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422265276,178835836374681604,178835836089861606,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361422265603,178835836374681604,178835836089858607,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1788361422530240,178835836374681604,178835836297163907,25,,1788361422530069,1788361422530073,1788361422530240,,,"delta_len=11,sent_us=1788361422517555",,,,,167
server,client_mutation,completed,1788361422731687,178835836374681604,,,,1788361422729952,1788361422729952,1788361422731687,,,http_data_plane,,,,,1735
server,peer_replication_pull_request,sent,1788361423203986,178835836374681604,,,,,,,,,connected_peers=24,,,,,
server,client_mutation,completed,1788361423225370,178835836374681604,,,,1788361423224153,1788361423224153,1788361423225370,,,http_data_plane,,,,,1217
server,client_mutation,completed,1788361423730480,178835836374681604,,,,1788361423724210,1788361423724210,1788361423730480,,,http_data_plane,,,,,6270
server,peer_replication_pull_request,sent,1788361424203755,178835836374681604,,,,,,,,,connected_peers=24,,,,,
server,gc_observed,start,1788361424208717,178835836374681604,,26,,,,,,,,,,,,
server,gc_observed,completed,1788361425372149,178835836374681604,,26,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1788361425581522,178835836374681604,,26,,1788361424208715,1788361425579312,1788361425581522,,,"delta_len=2789,sent_us=1788361424204554",,,,,2210
server,peer_replication_get_delta,completed,1788361425581714,178835836374681604,178835836297163907,26,,1788361425581573,1788361425581576,1788361425581714,,,"delta_len=7,sent_us=1788361425517629",,,,,138
server,client_mutation,completed,1788361425373307,178835836374681604,,,,1788361424224271,1788361424224271,1788361425373307,,,http_data_plane,,,,,1149036
