timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788358369873112,agent_start_received,,,,,1788358414.0,,,,,,,,,
1788358414000770,bootstrap_attempt_started,stockholm-slot0-g1,eu-north-1,0,178835836089857601,attempt 1/3,,,,,,,,,
1788358414004016,spawn_requested,stockholm-slot0-g1,eu-north-1,0,178835836089857601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/stockholm-slot0-g1,,,,,,,,,
1788358414205991,bootstrap_ready,stockholm-slot0-g1,eu-north-1,0,178835836089857601,,,,,,,,,,
1788358414206343,bootstrap_attempt_started,stockholm-slot1-g1,eu-north-1,1,178835836089858601,attempt 1/3,,,,,,,,,
1788358414208643,spawn_requested,stockholm-slot1-g1,eu-north-1,1,178835836089858601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/stockholm-slot1-g1,,,,,,,,,
1788358414409869,bootstrap_ready,stockholm-slot1-g1,eu-north-1,1,178835836089858601,,,,,,,,,,
1788358414410204,bootstrap_attempt_started,stockholm-slot2-g1,eu-north-1,2,178835836089859601,attempt 1/3,,,,,,,,,
1788358414412406,spawn_requested,stockholm-slot2-g1,eu-north-1,2,178835836089859601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/stockholm-slot2-g1,,,,,,,,,
1788358414513125,bootstrap_ready,stockholm-slot2-g1,eu-north-1,2,178835836089859601,,,,,,,,,,
1788358414513469,bootstrap_attempt_started,stockholm-slot3-g1,eu-north-1,3,178835836089860601,attempt 1/3,,,,,,,,,
1788358414515740,spawn_requested,stockholm-slot3-g1,eu-north-1,3,178835836089860601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/stockholm-slot3-g1,,,,,,,,,
1788358414616559,bootstrap_ready,stockholm-slot3-g1,eu-north-1,3,178835836089860601,,,,,,,,,,
1788358414616913,bootstrap_attempt_started,stockholm-slot4-g1,eu-north-1,4,178835836089861601,attempt 1/3,,,,,,,,,
1788358414619264,spawn_requested,stockholm-slot4-g1,eu-north-1,4,178835836089861601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/stockholm-slot4-g1,,,,,,,,,
1788358414719971,bootstrap_ready,stockholm-slot4-g1,eu-north-1,4,178835836089861601,,,,,,,,,,
1788358444724779,state_snapshot,stockholm-slot0-g1,eu-north-1,0,178835836089857601,,200,,,,,,,,
1788358444725377,state_snapshot,stockholm-slot1-g1,eu-north-1,1,178835836089858601,,200,,,,,,,,
1788358444725841,state_snapshot,stockholm-slot2-g1,eu-north-1,2,178835836089859601,,200,,,,,,,,
1788358444726287,state_snapshot,stockholm-slot3-g1,eu-north-1,3,178835836089860601,,200,,,,,,,,
1788358444726899,state_snapshot,stockholm-slot4-g1,eu-north-1,4,178835836089861601,,200,,,,,,,,
1788358444726979,client_request,stockholm-slot0-g1,eu-north-1,0,178835836089857601,,200,5576,Insert,943,True,,,,
1788358444824114,client_request,stockholm-slot1-g1,eu-north-1,1,178835836089858601,,200,2843,Insert,974,True,,,,
1788358444827902,state_snapshot,stockholm-slot0-g1,eu-north-1,0,178835836089857601,,200,,,,,,,,
