source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788359494084187,178835836089857604,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1788359494215878,178835836089857604,,,,,1788359494084221,1788359494215878,,,restored_existing_snapshot,,,,,131657
server,membership_descriptor_write,completed,1788359494123179,178835836089857604,,,,,1788359494084450,1788359494123179,,,"178835836089857604,13.48.31.196:19080,0",,,,,38729
server,membership_directory_read,completed,1788359494147801,178835836089857604,,,,,1788359494123184,1788359494147801,,,init:93 descriptors,,,,,24617
server,replica_init,completed,1788359494457340,178835836089857604,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494497238,178835836089857604,178835836195159501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494497688,178835836089857604,178835836128988903,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494497703,178835836089857604,178835836195160503,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494497747,178835836089857604,178835836297159901,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1788359494497967,178835836089857604,,,,,,,,,connected_peers=4,,,,,
server,peer_replication_connection,established,1788359494498409,178835836089857604,178835836089861601,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494518661,178835836089857604,178835836374677602,,,,,,,,,,,,,
server,client_mutation,completed,1788359494523624,178835836089857604,,,,1788359494522626,1788359494522626,1788359494523624,,,http_data_plane,,,,,998
server,peer_replication_connection,established,1788359494545098,178835836089857604,178835836128990903,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494545152,178835836089857604,178835836128991902,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494545202,178835836089857604,178835836128989903,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494545506,178835836089857604,178835836128992901,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494552537,178835836089857604,178835836297163903,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494552591,178835836089857604,178835836297161903,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494554692,178835836089857604,178835836297160901,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494554837,178835836089857604,178835836297162903,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494559463,178835836089857604,178835836374679601,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494559722,178835836089857604,178835836374678601,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494582316,178835836089857604,178835836195163502,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494582380,178835836089857604,178835836195161503,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359494582435,178835836089857604,178835836195162503,,,,,,,,,,,,,
server,client_mutation,completed,1788359494723647,178835836089857604,,,,1788359494722641,1788359494722641,1788359494723647,,,http_data_plane,,,,,1006
server,peer_replication_merge_delta,completed,1788359494995088,178835836089857604,,10,,1788359494758872,1788359494994159,1788359494995088,,,"delta_len=3080,sent_us=1788359494521400",,,,,929
server,peer_replication_connection,established,1788359494995176,178835836089857604,178835836374680603,,,,,,,,,,,,,
server,client_mutation,completed,1788359494996135,178835836089857604,,,,1788359494921819,1788359494921819,1788359494996135,,,http_data_plane,,,,,74316
server,peer_replication_connection,established,1788359495022662,178835836089857604,178835836089858603,,,,,,,,,,,,,
server,client_mutation,completed,1788359495124000,178835836089857604,,,,1788359495122954,1788359495122954,1788359495124000,,,http_data_plane,,,,,1046
server,client_mutation,completed,1788359495423359,178835836089857604,,,,1788359495422365,1788359495422365,1788359495423359,,,http_data_plane,,,,,994
server,peer_replication_pull_request,sent,1788359495498162,178835836089857604,,,,,,,,,connected_peers=21,,,,,
server,peer_replication_connection,established,1788359495533618,178835836089857604,178835836089859602,,,,,,,,,,,,,
server,peer_replication_connection,established,1788359495534785,178835836089857604,178835836374681603,,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1788359495638114,178835836089857604,,10,,1788359495628161,1788359495638031,1788359495638114,,,"delta_len=109,sent_us=1788359495583651",,,,,83
server,peer_replication_get_delta,completed,1788359495752073,178835836089857604,178835836297161903,10,,1788359495751960,1788359495751963,1788359495752073,,,"delta_len=41,sent_us=1788359495709977",,,,,110
server,client_mutation,completed,1788359495923441,178835836089857604,,,,1788359495922361,1788359495922361,1788359495923441,,,http_data_plane,,,,,1080
server,peer_replication_connection,established,1788359496044694,178835836089857604,178835836089860601,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1788359496088432,178835836089857604,178835836089860601,10,,1788359496088127,1788359496088130,1788359496088432,,,"delta_len=3055,sent_us=1788359496046096",,,,,302
server,client_mutation,completed,1788359496422900,178835836089857604,,,,1788359496421978,1788359496421978,1788359496422900,,,http_data_plane,,,,,922
server,peer_replication_pull_request,sent,1788359496498839,178835836089857604,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788359496600812,178835836089857604,,10,,1788359496597226,1788359496600778,1788359496600812,,,"delta_len=43,sent_us=1788359496582546",,,,,34
server,peer_replication_get_delta,completed,1788359496738786,178835836089857604,178835836374677602,10,,1788359496738687,1788359496738693,1788359496738786,,,"delta_len=45,sent_us=1788359496642733",,,,,93
