[2026-09-02T14:23:34.750Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-02T14:23:34.751Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18082
[2026-09-02T14:23:34.779Z INFO  gresse::replica] replica 178835836089859602 initiating runtime at bind_http=0.0.0.0:18082 bind_internal=0.0.0.0:19082 advertised_internal=13.48.31.196:19082
[2026-09-02T14:23:34.823Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260902122609-1c973c, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/membership/178835836089859602,13.48.31.196:19082,4
[2026-09-02T14:23:34.845Z INFO  gresse::replica] replica 178835836089859602 restored local state from durability journal before startup
[2026-09-02T14:23:34.845Z INFO  gresse::replica] replica 178835836089859602 discovered 56 membership descriptors during init
[2026-09-02T14:23:34.845Z INFO  gresse::replica] replica 178835836089859602 startup completed
[2026-09-02T14:23:34.846Z INFO  gresse::network] replica 178835836089859602 discovered network member NetworkMember { pid: 178835836089857603, address: 13.48.31.196:19080, final_counter: None }
[2026-09-02T14:23:34.846Z INFO  gresse::network] replica 178835836089859602 discovered network member NetworkMember { pid: 178835836089858603, address: 13.48.31.196:19081, final_counter: None }
[2026-09-02T14:23:34.846Z INFO  gresse::network] replica 178835836089859602 discovered network member NetworkMember { pid: 178835836089860601, address: 13.48.31.196:19083, final_counter: None }
[2026-09-02T14:23:34.846Z INFO  gresse::network] replica 178835836089859602 discovered network member NetworkMember { pid: 178835836089861601, address: 13.48.31.196:19084, final_counter: None }
[2026-09-02T14:23:34.846Z INFO  gresse::network] replica 178835836089859602 discovered network member NetworkMember { pid: 178835836128988901, address: 3.71.184.22:19080, final_counter: None }
[2026-09-02T14:23:34.846Z INFO  gresse::network] replica 178835836089859602 discovered network member NetworkMember { pid: 178835836128989902, address: 3.71.184.22:19081, final_counter: None }
[2026-09-02T14:23:34.846Z INFO  gresse::network] replica 178835836089859602 discovered network member NetworkMember { pid: 178835836128990902, address: 3.71.184.22:19082, final_counter: None }
[2026-09-02T14:23:34.846Z INFO  gresse::network] replica 178835836089859602 discovered network member NetworkMember { pid: 178835836128991902, address: 3.71.184.22:19083, final_counter: None }
[2026-09-02T14:23:34.846Z INFO  gresse::network] replica 178835836089859602 discovered network member NetworkMember { pid: 178835836128992901, address: 3.71.184.22:19084, final_counter: None }
[2026-09-02T14:23:34.846Z INFO  gresse::network] replica 178835836089859602 discovered network member NetworkMember { pid: 178835836195159501, address: 63.33.67.241:19080, final_counter: None }
[2026-09-02T14:23:34.846Z INFO  gresse::network] replica 178835836089859602 discovered network member NetworkMember { pid: 178835836195160501, address: 63.33.67.241:19081, final_counter: None }
[2026-09-02T14:23:34.846Z INFO  gresse::network] replica 178835836089859602 discovered network member NetworkMember { pid: 178835836195161502, address: 63.33.67.241:19082, final_counter: None }
[2026-09-02T14:23:34.846Z INFO  gresse::network] replica 178835836089859602 discovered network member NetworkMember { pid: 178835836195162502, address: 63.33.67.241:19083, final_counter: None }
