timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788426853567535,agent_start_received,,,,,1788426898.0,,,,,,,,,
1788426898001523,bootstrap_attempt_started,frankfurt-slot0-g1,eu-central-1,0,178842683956181201,attempt 1/3,,,,,,,,,
1788426898006040,spawn_requested,frankfurt-slot0-g1,eu-central-1,0,178842683956181201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/frankfurt-slot0-g1,,,,,,,,,
1788426898308206,bootstrap_ready,frankfurt-slot0-g1,eu-central-1,0,178842683956181201,,,,,,,,,,
1788426898308541,bootstrap_attempt_started,frankfurt-slot1-g1,eu-central-1,1,178842683956182201,attempt 1/3,,,,,,,,,
1788426898311070,spawn_requested,frankfurt-slot1-g1,eu-central-1,1,178842683956182201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/frankfurt-slot1-g1,,,,,,,,,
1788426898513206,bootstrap_ready,frankfurt-slot1-g1,eu-central-1,1,178842683956182201,,,,,,,,,,
1788426898515197,bootstrap_attempt_started,frankfurt-slot2-g1,eu-central-1,2,178842683956183201,attempt 1/3,,,,,,,,,
1788426898519454,spawn_requested,frankfurt-slot2-g1,eu-central-1,2,178842683956183201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/frankfurt-slot2-g1,,,,,,,,,
1788426898720775,bootstrap_ready,frankfurt-slot2-g1,eu-central-1,2,178842683956183201,,,,,,,,,,
1788426898721125,bootstrap_attempt_started,frankfurt-slot3-g1,eu-central-1,3,178842683956184201,attempt 1/3,,,,,,,,,
1788426898725672,spawn_requested,frankfurt-slot3-g1,eu-central-1,3,178842683956184201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/frankfurt-slot3-g1,,,,,,,,,
1788426898927016,bootstrap_ready,frankfurt-slot3-g1,eu-central-1,3,178842683956184201,,,,,,,,,,
1788426898927495,bootstrap_attempt_started,frankfurt-slot4-g1,eu-central-1,4,178842683956185201,attempt 1/3,,,,,,,,,
