[2026-09-03T09:42:58.016Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-03T09:42:58.017Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18080
[2026-09-03T09:42:58.056Z INFO  gresse::replica] replica 178842683956181205 initiating runtime at bind_http=0.0.0.0:18080 bind_internal=0.0.0.0:19080 advertised_internal=52.59.198.67:19080
[2026-09-03T09:42:58.166Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260903085118-6fb999, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-20260903T091329Z-d96b4f84/membership/178842683956181205,52.59.198.67:19080,0
[2026-09-03T09:42:59.203Z INFO  gresse::replica] replica 178842683956181205 discovered 149 membership descriptors during init
[2026-09-03T09:42:59.203Z INFO  gresse::replica] replica 178842683956181205 startup completed
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842683849154804, address: 13.53.121.51:19080, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842683849155803, address: 13.53.121.51:19081, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842683849156802, address: 13.53.121.51:19082, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842683849157805, address: 13.53.121.51:19083, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842683956182204, address: 52.59.198.67:19081, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842683956183203, address: 52.59.198.67:19082, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 registered bidirectional network channel for replica 178842684114094202
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842683956184202, address: 52.59.198.67:19083, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842683956185201, address: 52.59.198.67:19084, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684114090204, address: 34.246.191.174:19080, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684114091204, address: 34.246.191.174:19081, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684114092204, address: 34.246.191.174:19082, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684114093203, address: 34.246.191.174:19083, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684286993601, address: 35.179.101.242:19080, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684286994604, address: 35.179.101.242:19081, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684286995604, address: 35.179.101.242:19082, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684286996604, address: 35.179.101.242:19083, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684286997603, address: 35.179.101.242:19084, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684426432102, address: 13.38.47.15:19080, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684426433101, address: 13.38.47.15:19081, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::replica] replica 178842683956181205 established peer replication connection with replica 178842684114094202
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684426434104, address: 13.38.47.15:19082, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684426435104, address: 13.38.47.15:19083, final_counter: None }
[2026-09-03T09:42:59.203Z INFO  gresse::network] replica 178842683956181205 discovered network member NetworkMember { pid: 178842684426436104, address: 13.38.47.15:19084, final_counter: None }
[2026-09-03T09:42:59.204Z INFO  gresse::network] replica 178842683956181205 registered bidirectional network channel for replica 178842684426432102
[2026-09-03T09:42:59.204Z WARN  gresse::network] replica 178842683956181205 peer connection attempt failed: could not connect to 52.59.198.67:19081: Connection refused (os error 111)
[2026-09-03T09:42:59.204Z INFO  gresse::replica] replica 178842683956181205 established peer replication connection with replica 178842684426432102
[2026-09-03T09:42:59.204Z INFO  gresse::network] replica 178842683956181205 registered bidirectional network channel for replica 178842683849154804
[2026-09-03T09:42:59.204Z INFO  gresse::replica] replica 178842683956181205 established peer replication connection with replica 178842683849154804
[2026-09-03T09:42:59.204Z INFO  gresse::network] replica 178842683956181205 registered bidirectional network channel for replica 178842684286993601
[2026-09-03T09:42:59.204Z INFO  gresse::network] replica 178842683956181205 registered bidirectional network channel for replica 178842684426435104
[2026-09-03T09:42:59.204Z INFO  gresse::replica] replica 178842683956181205 established peer replication connection with replica 178842684286993601
[2026-09-03T09:42:59.204Z INFO  gresse::replica] replica 178842683956181205 established peer replication connection with replica 178842684426435104
[2026-09-03T09:42:59.204Z WARN  gresse::network] replica 178842683956181205 peer connection attempt failed: could not connect to 52.59.198.67:19083: Connection refused (os error 111)
[2026-09-03T09:42:59.204Z WARN  gresse::network] replica 178842683956181205 peer connection attempt failed: could not connect to 52.59.198.67:19082: Connection refused (os error 111)
[2026-09-03T09:42:59.205Z INFO  gresse::network] replica 178842683956181205 registered bidirectional network channel for replica 178842683956185201
[2026-09-03T09:42:59.205Z INFO  gresse::replica] replica 178842683956181205 established peer replication connection with replica 178842683956185201
[2026-09-03T09:42:59.221Z INFO  gresse::network] replica 178842683956181205 registered bidirectional network channel for replica 178842684426433101
[2026-09-03T09:42:59.221Z INFO  gresse::replica] replica 178842683956181205 established peer replication connection with replica 178842684426433101
[2026-09-03T09:42:59.221Z INFO  gresse::network] replica 178842683956181205 registered bidirectional network channel for replica 178842684426434104
[2026-09-03T09:42:59.221Z INFO  gresse::network] replica 178842683956181205 registered bidirectional network channel for replica 178842684426436104
[2026-09-03T09:42:59.221Z INFO  gresse::replica] replica 178842683956181205 established peer replication connection with replica 178842684426434104
[2026-09-03T09:42:59.221Z INFO  gresse::replica] replica 178842683956181205 established peer replication connection with replica 178842684426436104
[2026-09-03T09:42:59.227Z INFO  gresse::network] replica 178842683956181205 registered bidirectional network channel for replica 178842684286996604
