timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788426854022170,agent_start_received,,,,,1788426898.0,,,,,,,,,
1788426898001854,bootstrap_attempt_started,ireland-slot0-g1,eu-west-1,0,178842684114090201,attempt 1/3,,,,,,,,,
1788426898004048,spawn_requested,ireland-slot0-g1,eu-west-1,0,178842684114090201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/ireland-slot0-g1,,,,,,,,,
1788426898306055,bootstrap_ready,ireland-slot0-g1,eu-west-1,0,178842684114090201,,,,,,,,,,
1788426898306386,bootstrap_attempt_started,ireland-slot1-g1,eu-west-1,1,178842684114091201,attempt 1/3,,,,,,,,,
1788426898308545,spawn_requested,ireland-slot1-g1,eu-west-1,1,178842684114091201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/ireland-slot1-g1,,,,,,,,,
1788426898610356,bootstrap_ready,ireland-slot1-g1,eu-west-1,1,178842684114091201,,,,,,,,,,
1788426898610736,bootstrap_attempt_started,ireland-slot2-g1,eu-west-1,2,178842684114092201,attempt 1/3,,,,,,,,,
1788426898612960,spawn_requested,ireland-slot2-g1,eu-west-1,2,178842684114092201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/ireland-slot2-g1,,,,,,,,,
1788426898914580,bootstrap_ready,ireland-slot2-g1,eu-west-1,2,178842684114092201,,,,,,,,,,
1788426898914957,bootstrap_attempt_started,ireland-slot3-g1,eu-west-1,3,178842684114093201,attempt 1/3,,,,,,,,,
1788426898917194,spawn_requested,ireland-slot3-g1,eu-west-1,3,178842684114093201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/ireland-slot3-g1,,,,,,,,,
1788426899218904,bootstrap_ready,ireland-slot3-g1,eu-west-1,3,178842684114093201,,,,,,,,,,
1788426899219417,bootstrap_attempt_started,ireland-slot4-g1,eu-west-1,4,178842684114094201,attempt 1/3,,,,,,,,,
1788426899221959,spawn_requested,ireland-slot4-g1,eu-west-1,4,178842684114094201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/ireland-slot4-g1,,,,,,,,,
1788426899523731,bootstrap_ready,ireland-slot4-g1,eu-west-1,4,178842684114094201,,,,,,,,,,
1788426929528343,state_snapshot,ireland-slot0-g1,eu-west-1,0,178842684114090201,,200,,,,,,,,
1788426929528969,state_snapshot,ireland-slot1-g1,eu-west-1,1,178842684114091201,,200,,,,,,,,
1788426929529444,state_snapshot,ireland-slot2-g1,eu-west-1,2,178842684114092201,,200,,,,,,,,
1788426929529907,state_snapshot,ireland-slot3-g1,eu-west-1,3,178842684114093201,,200,,,,,,,,
1788426929530189,client_request,ireland-slot0-g1,eu-west-1,0,178842684114090201,,200,4913,Remove,747,True,,,,
1788426929530532,state_snapshot,ireland-slot4-g1,eu-west-1,4,178842684114094201,,200,,,,,,,,
1788426929627089,client_request,ireland-slot1-g1,eu-west-1,1,178842684114091201,,200,1962,Insert,604,True,,,,
1788426929631430,state_snapshot,ireland-slot0-g1,eu-west-1,0,178842684114090201,,200,,,,,,,,
1788426929631925,state_snapshot,ireland-slot1-g1,eu-west-1,1,178842684114091201,,200,,,,,,,,
1788426929632356,state_snapshot,ireland-slot2-g1,eu-west-1,2,178842684114092201,,200,,,,,,,,
1788426929632837,state_snapshot,ireland-slot3-g1,eu-west-1,3,178842684114093201,,200,,,,,,,,
1788426929633270,state_snapshot,ireland-slot4-g1,eu-west-1,4,178842684114094201,,200,,,,,,,,
1788426929727313,client_request,ireland-slot2-g1,eu-west-1,2,178842684114092201,,200,2183,Remove,481,True,,,,
1788426929826957,client_request,ireland-slot3-g1,eu-west-1,3,178842684114093201,,200,1837,Remove,117,True,,,,
1788426929927149,client_request,ireland-slot4-g1,eu-west-1,4,178842684114094201,,200,2030,Insert,696,True,,,,
1788426930027066,client_request,ireland-slot0-g1,eu-west-1,0,178842684114090201,,200,1940,Remove,997,True,,,,
1788426930127351,client_request,ireland-slot1-g1,eu-west-1,1,178842684114091201,,200,2139,Insert,464,True,,,,
1788426930227086,client_request,ireland-slot2-g1,eu-west-1,2,178842684114092201,,200,1952,Remove,559,True,,,,
1788426930329105,client_request,ireland-slot3-g1,eu-west-1,3,178842684114093201,,200,3970,Insert,709,True,,,,
1788426930427653,client_request,ireland-slot4-g1,eu-west-1,4,178842684114094201,,200,2343,Insert,446,True,,,,
1788426930527198,client_request,ireland-slot0-g1,eu-west-1,0,178842684114090201,,200,2076,Insert,571,True,,,,
1788426930627481,client_request,ireland-slot1-g1,eu-west-1,1,178842684114091201,,200,2355,Insert,582,True,,,,
1788426930727146,client_request,ireland-slot2-g1,eu-west-1,2,178842684114092201,,200,2022,Insert,425,True,,,,
1788426930827301,client_request,ireland-slot3-g1,eu-west-1,3,178842684114093201,,200,2181,Insert,669,True,,,,
1788426930927101,client_request,ireland-slot4-g1,eu-west-1,4,178842684114094201,,200,1965,Remove,448,True,,,,
1788426931027399,client_request,ireland-slot0-g1,eu-west-1,0,178842684114090201,,200,2264,Insert,945,True,,,,
1788426931127456,client_request,ireland-slot1-g1,eu-west-1,1,178842684114091201,,200,2260,Insert,948,True,,,,
1788426931227243,client_request,ireland-slot2-g1,eu-west-1,2,178842684114092201,,200,2115,Remove,162,True,,,,
1788426931327656,client_request,ireland-slot3-g1,eu-west-1,3,178842684114093201,,200,2446,Insert,522,True,,,,
1788426931427410,client_request,ireland-slot4-g1,eu-west-1,4,178842684114094201,,200,2176,Insert,187,True,,,,
1788426931527480,client_request,ireland-slot0-g1,eu-west-1,0,178842684114090201,,200,2319,Remove,214,True,,,,
1788426931627393,client_request,ireland-slot1-g1,eu-west-1,1,178842684114091201,,200,2106,Insert,941,True,,,,
1788426931727209,client_request,ireland-slot2-g1,eu-west-1,2,178842684114092201,,200,2072,Insert,837,True,,,,
1788426931827547,client_request,ireland-slot3-g1,eu-west-1,3,178842684114093201,,200,2417,Remove,536,True,,,,
1788426931927865,client_request,ireland-slot4-g1,eu-west-1,4,178842684114094201,,200,2371,Insert,327,True,,,,
1788426932027180,client_request,ireland-slot0-g1,eu-west-1,0,178842684114090201,,200,1988,Remove,697,True,,,,
1788426932127556,client_request,ireland-slot1-g1,eu-west-1,1,178842684114091201,,200,2388,Insert,453,True,,,,
1788426932229343,client_request,ireland-slot2-g1,eu-west-1,2,178842684114092201,,200,3694,Remove,582,True,,,,
1788426932327438,client_request,ireland-slot3-g1,eu-west-1,3,178842684114093201,,200,2140,Remove,968,True,,,,
1788426932427515,client_request,ireland-slot4-g1,eu-west-1,4,178842684114094201,,200,2313,Remove,666,True,,,,
1788426932527228,client_request,ireland-slot0-g1,eu-west-1,0,178842684114090201,,200,2082,Insert,736,True,,,,
1788426932627472,client_request,ireland-slot1-g1,eu-west-1,1,178842684114091201,,200,2328,Remove,92,True,,,,
1788426932727323,client_request,ireland-slot2-g1,eu-west-1,2,178842684114092201,,200,2207,Insert,317,True,,,,
1788426932827240,client_request,ireland-slot3-g1,eu-west-1,3,178842684114093201,,200,2099,Remove,543,True,,,,
1788426932927071,client_request,ireland-slot4-g1,eu-west-1,4,178842684114094201,,200,1924,Insert,947,True,,,,
1788426933026945,client_request,ireland-slot0-g1,eu-west-1,0,178842684114090201,,200,1816,Remove,903,True,,,,
1788426933127169,client_request,ireland-slot1-g1,eu-west-1,1,178842684114091201,,200,2039,Remove,466,True,,,,
1788426933227330,client_request,ireland-slot2-g1,eu-west-1,2,178842684114092201,,200,2177,Insert,960,True,,,,
1788426933327605,client_request,ireland-slot3-g1,eu-west-1,3,178842684114093201,,200,2477,Insert,228,True,,,,
1788426933427619,client_request,ireland-slot4-g1,eu-west-1,4,178842684114094201,,200,2506,Insert,40,True,,,,
1788426933527174,client_request,ireland-slot0-g1,eu-west-1,0,178842684114090201,,200,2063,Remove,94,True,,,,
1788426933628077,client_request,ireland-slot1-g1,eu-west-1,1,178842684114091201,,200,2956,Remove,694,True,,,,
1788426933727206,client_request,ireland-slot2-g1,eu-west-1,2,178842684114092201,,200,2083,Remove,468,True,,,,
1788426933827682,client_request,ireland-slot3-g1,eu-west-1,3,178842684114093201,,200,2549,Remove,410,True,,,,
1788426933927564,client_request,ireland-slot4-g1,eu-west-1,4,178842684114094201,,200,2431,Remove,614,True,,,,
1788426934027510,client_request,ireland-slot0-g1,eu-west-1,0,178842684114090201,,200,2401,Insert,469,True,,,,
1788426934127270,client_request,ireland-slot1-g1,eu-west-1,1,178842684114091201,,200,2131,Insert,511,True,,,,
1788426934227546,client_request,ireland-slot2-g1,eu-west-1,2,178842684114092201,,200,2392,Remove,343,True,,,,
1788426934327205,client_request,ireland-slot3-g1,eu-west-1,3,178842684114093201,,200,2080,Insert,22,True,,,,
1788426934427251,client_request,ireland-slot4-g1,eu-west-1,4,178842684114094201,,200,2133,Insert,555,True,,,,
1788426934527211,client_request,ireland-slot0-g1,eu-west-1,0,178842684114090201,,200,2095,Remove,943,True,,,,
