source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788433739807817,178842684114092215,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1788433740563939,178842684114092215,,,,,1788433739807850,1788433740563939,,,restored_existing_snapshot,,,,,756089
server,membership_descriptor_write,completed,1788433739978729,178842684114092215,,,,,1788433739808067,1788433739978729,,,"178842684114092215,34.246.191.174:19082,0",,,,,170662
server,membership_directory_read,completed,1788433740091980,178842684114092215,,,,,1788433739978734,1788433740091980,,,init:142 descriptors,,,,,113246
server,replica_init,completed,1788433741326421,178842684114092215,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741326899,178842684114092215,178842684286993613,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741326917,178842684114092215,178842684426435111,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741326925,178842684114092215,178842683956185213,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741326937,178842684114092215,178842684286997614,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741326944,178842684114092215,178842684286995611,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741326957,178842684114092215,178842683956183215,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741327695,178842684114092215,178842684114091215,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741327789,178842684114092215,178842684114090212,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741346512,178842684114092215,178842684286996614,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741361067,178842684114092215,178842684426434112,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741361098,178842684114092215,178842684426436114,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741361105,178842684114092215,178842684426432114,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741361271,178842684114092215,178842684426433113,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741366324,178842684114092215,178842683956181215,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741366412,178842684114092215,178842683956184214,,,,,,,,,,,,,
server,peer_replication_connection,established,1788433741366616,178842684114092215,178842683956182215,,,,,,,,,,,,,
server,client_mutation,completed,1788433741626985,178842684114092215,,,,1788433741625638,1788433741625638,1788433741626985,,,http_data_plane,,,,,1347
server,peer_replication_connection,established,1788433741859445,178842684114092215,178842684286994612,,,,,,,,,,,,,
server,client_mutation,completed,1788433741926905,178842684114092215,,,,1788433741925529,1788433741925529,1788433741926905,,,http_data_plane,,,,,1376
server,client_mutation,completed,1788433742226835,178842684114092215,,,,1788433742225617,1788433742225617,1788433742226835,,,http_data_plane,,,,,1218
server,peer_replication_get_delta,completed,1788433742293425,178842684114092215,178842684286996614,69,,1788433742293284,1788433742293290,1788433742293425,,,"delta_len=3,sent_us=1788433742279003",,,,,135
server,peer_replication_pull_request,sent,1788433742327610,178842684114092215,,,,,,,,,connected_peers=17,,,,,
server,peer_replication_merge_delta,completed,1788433742721547,178842684114092215,,69,,1788433742516980,1788433742720476,1788433742721547,,,"delta_len=2288,sent_us=1788433742402526",,,,,1071
server,peer_replication_get_delta,completed,1788433742721905,178842684114092215,178842684426433113,69,,1788433742721759,1788433742721762,1788433742721905,,,"delta_len=66,sent_us=1788433742511851",,,,,143
server,peer_replication_get_delta,completed,1788433742721951,178842684114092215,178842683956183215,69,,1788433742721918,1788433742721922,1788433742721951,,,"delta_len=64,sent_us=1788433742516101",,,,,29
server,client_mutation,completed,1788433742722980,178842684114092215,,,,1788433742535621,1788433742535622,1788433742722980,,,http_data_plane,,,,,187358
server,client_mutation,completed,1788433742827111,178842684114092215,,,,1788433742825782,1788433742825782,1788433742827111,,,http_data_plane,,,,,1329
server,client_mutation,completed,1788433743126995,178842684114092215,,,,1788433743125732,1788433743125732,1788433743126995,,,http_data_plane,,,,,1263
server,peer_replication_connection,established,1788433743218595,178842684114092215,178842684114093215,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1788433743326954,178842684114092215,,,,,,,,,connected_peers=18,,,,,
server,peer_replication_merge_delta,completed,1788433743425118,178842684114092215,,69,,1788433743393912,1788433743425096,1788433743425118,,,"delta_len=20,sent_us=1788433743389106",,,,,22
server,client_mutation,completed,1788433743626973,178842684114092215,,,,1788433743625740,1788433743625740,1788433743626973,,,http_data_plane,,,,,1233
server,peer_replication_get_delta,completed,1788433743752485,178842684114092215,178842684114091215,69,,1788433743752323,1788433743752330,1788433743752485,,,"delta_len=35,sent_us=1788433743751451",,,,,155
server,peer_replication_get_delta,completed,1788433743858797,178842684114092215,178842684426436114,69,,1788433743858649,1788433743858655,1788433743858797,,,"delta_len=10,sent_us=1788433743833005",,,,,142
server,client_mutation,completed,1788433744026932,178842684114092215,,,,1788433744025782,1788433744025783,1788433744026932,,,http_data_plane,,,,,1149
server,peer_replication_pull_request,sent,1788433744327623,178842684114092215,,,,,,,,,connected_peers=18,,,,,
server,peer_replication_get_delta,completed,1788433744329325,178842684114092215,178842684426435111,69,,1788433744329181,1788433744329185,1788433744329325,,,"delta_len=27,sent_us=1788433744303254",,,,,140
server,peer_replication_merge_delta,completed,1788433744369338,178842684114092215,,69,,1788433744357994,1788433744369254,1788433744369338,,,"delta_len=110,sent_us=1788433744343351",,,,,84
server,client_mutation,completed,1788433744427060,178842684114092215,,,,1788433744425723,1788433744425723,1788433744427060,,,http_data_plane,,,,,1337
server,peer_replication_get_delta,completed,1788433744752417,178842684114092215,178842684114091215,69,,1788433744752269,1788433744752275,1788433744752417,,,"delta_len=37,sent_us=1788433744751307",,,,,142
server,peer_replication_connection,established,1788433744780727,178842684114092215,178842684114094214,,,,,,,,,,,,,
server,membership_directory_read,completed,1788433744881338,178842684114092215,,,,,1788433744808905,1788433744881338,,,poll:146 descriptors,,,,,72433
server,peer_replication_get_delta,completed,1788433745001420,178842684114092215,178842683956184214,69,,1788433745001150,1788433745001156,1788433745001420,,,"delta_len=46,sent_us=1788433744971481",,,,,264
server,client_mutation,completed,1788433745227261,178842684114092215,,,,1788433745225800,1788433745225800,1788433745227261,,,http_data_plane,,,,,1461
server,peer_replication_pull_request,sent,1788433745326953,178842684114092215,,,,,,,,,connected_peers=19,,,,,
server,peer_replication_merge_delta,completed,1788433745350273,178842684114092215,,69,,1788433745347336,1788433745350260,1788433745350273,,,"delta_len=12,sent_us=1788433745342461",,,,,13
server,client_mutation,completed,1788433745727032,178842684114092215,,,,1788433745725586,1788433745725587,1788433745727032,,,http_data_plane,,,,,1445
server,client_mutation,completed,1788433746226739,178842684114092215,,,,1788433746225587,1788433746225588,1788433746226739,,,http_data_plane,,,,,1151
server,peer_replication_get_delta,completed,1788433746266536,178842684114092215,178842684114090212,69,,1788433746266398,1788433746266403,1788433746266536,,,"delta_len=12,sent_us=1788433746265614",,,,,133
server,peer_replication_pull_request,sent,1788433746326815,178842684114092215,,,,,,,,,connected_peers=19,,,,,
server,peer_replication_merge_delta,completed,1788433746403260,178842684114092215,,69,,1788433746400259,1788433746403247,1788433746403260,,,"delta_len=14,sent_us=1788433746391135",,,,,13
server,peer_replication_get_delta,completed,1788433746503577,178842684114092215,178842683956181215,69,,1788433746503434,1788433746503439,1788433746503577,,,"delta_len=22,sent_us=1788433746473825",,,,,138
server,client_mutation,completed,1788433746726851,178842684114092215,,,,1788433746725556,1788433746725556,1788433746726851,,,http_data_plane,,,,,1295
server,client_mutation,completed,1788433747227293,178842684114092215,,,,1788433747226171,1788433747226171,1788433747227293,,,http_data_plane,,,,,1122
server,peer_replication_pull_request,sent,1788433747327200,178842684114092215,,,,,,,,,connected_peers=19,,,,,
server,peer_replication_merge_delta,completed,1788433747413656,178842684114092215,,69,,1788433747403889,1788433747413583,1788433747413656,,,"delta_len=48,sent_us=1788433747389094",,,,,73
server,client_mutation,completed,1788433747726932,178842684114092215,,,,1788433747725559,1788433747725560,1788433747726932,,,http_data_plane,,,,,1372
server,client_mutation,completed,1788433748226886,178842684114092215,,,,1788433748225625,1788433748225625,1788433748226886,,,http_data_plane,,,,,1261
