timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788426853825125,agent_start_received,,,,,1788426898.0,,,,,,,,,
1788426898000854,bootstrap_attempt_started,london-slot0-g1,eu-west-2,0,178842684286993601,attempt 1/3,,,,,,,,,
1788426898003276,spawn_requested,london-slot0-g1,eu-west-2,0,178842684286993601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/london-slot0-g1,,,,,,,,,
1788426898305732,bootstrap_ready,london-slot0-g1,eu-west-2,0,178842684286993601,,,,,,,,,,
1788426898306130,bootstrap_attempt_started,london-slot1-g1,eu-west-2,1,178842684286994601,attempt 1/3,,,,,,,,,
1788426898308743,spawn_requested,london-slot1-g1,eu-west-2,1,178842684286994601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/london-slot1-g1,,,,,,,,,
1788426898510201,bootstrap_ready,london-slot1-g1,eu-west-2,1,178842684286994601,,,,,,,,,,
1788426898510616,bootstrap_attempt_started,london-slot2-g1,eu-west-2,2,178842684286995601,attempt 1/3,,,,,,,,,
1788426898513105,spawn_requested,london-slot2-g1,eu-west-2,2,178842684286995601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/london-slot2-g1,,,,,,,,,
1788426898815119,bootstrap_ready,london-slot2-g1,eu-west-2,2,178842684286995601,,,,,,,,,,
1788426898815472,bootstrap_attempt_started,london-slot3-g1,eu-west-2,3,178842684286996601,attempt 1/3,,,,,,,,,
1788426898817914,spawn_requested,london-slot3-g1,eu-west-2,3,178842684286996601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/london-slot3-g1,,,,,,,,,
1788426899019257,bootstrap_ready,london-slot3-g1,eu-west-2,3,178842684286996601,,,,,,,,,,
1788426899019719,bootstrap_attempt_started,london-slot4-g1,eu-west-2,4,178842684286997601,attempt 1/3,,,,,,,,,
1788426899022069,spawn_requested,london-slot4-g1,eu-west-2,4,178842684286997601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/london-slot4-g1,,,,,,,,,
1788426899223632,bootstrap_ready,london-slot4-g1,eu-west-2,4,178842684286997601,,,,,,,,,,
1788426929228876,state_snapshot,london-slot0-g1,eu-west-2,0,178842684286993601,,200,,,,,,,,
1788426929229548,state_snapshot,london-slot1-g1,eu-west-2,1,178842684286994601,,200,,,,,,,,
1788426929230194,state_snapshot,london-slot2-g1,eu-west-2,2,178842684286995601,,200,,,,,,,,
1788426929230763,state_snapshot,london-slot3-g1,eu-west-2,3,178842684286996601,,200,,,,,,,,
1788426929231153,client_request,london-slot0-g1,eu-west-2,0,178842684286993601,,200,5991,Remove,42,True,,,,
1788426929231477,state_snapshot,london-slot4-g1,eu-west-2,4,178842684286997601,,200,,,,,,,,
1788426929327298,client_request,london-slot1-g1,eu-west-2,1,178842684286994601,,200,2158,Insert,420,True,,,,
1788426929332534,state_snapshot,london-slot0-g1,eu-west-2,0,178842684286993601,,200,,,,,,,,
1788426929333046,state_snapshot,london-slot1-g1,eu-west-2,1,178842684286994601,,200,,,,,,,,
1788426929333494,state_snapshot,london-slot2-g1,eu-west-2,2,178842684286995601,,200,,,,,,,,
1788426929333960,state_snapshot,london-slot3-g1,eu-west-2,3,178842684286996601,,200,,,,,,,,
1788426929334362,state_snapshot,london-slot4-g1,eu-west-2,4,178842684286997601,,200,,,,,,,,
1788426929427589,client_request,london-slot2-g1,eu-west-2,2,178842684286995601,,200,2476,Insert,880,True,,,,
1788426929527813,client_request,london-slot3-g1,eu-west-2,3,178842684286996601,,200,2673,Remove,788,True,,,,
1788426929626831,client_request,london-slot4-g1,eu-west-2,4,178842684286997601,,200,1712,Insert,310,True,,,,
1788426929726972,client_request,london-slot0-g1,eu-west-2,0,178842684286993601,,200,1869,Insert,287,True,,,,
1788426929827190,client_request,london-slot1-g1,eu-west-2,1,178842684286994601,,200,2070,Insert,224,True,,,,
1788426929927293,client_request,london-slot2-g1,eu-west-2,2,178842684286995601,,200,2164,Remove,678,True,,,,
1788426930030741,client_request,london-slot3-g1,eu-west-2,3,178842684286996601,,200,5528,Insert,416,True,,,,
1788426930127035,client_request,london-slot4-g1,eu-west-2,4,178842684286997601,,200,1952,Remove,603,True,,,,
1788426930227211,client_request,london-slot0-g1,eu-west-2,0,178842684286993601,,200,2118,Insert,778,True,,,,
1788426930327362,client_request,london-slot1-g1,eu-west-2,1,178842684286994601,,200,2246,Remove,699,True,,,,
1788426930427107,client_request,london-slot2-g1,eu-west-2,2,178842684286995601,,200,1983,Remove,474,True,,,,
1788426930527270,client_request,london-slot3-g1,eu-west-2,3,178842684286996601,,200,1932,Insert,361,True,,,,
1788426930627071,client_request,london-slot4-g1,eu-west-2,4,178842684286997601,,200,1952,Remove,551,True,,,,
1788426930727785,client_request,london-slot0-g1,eu-west-2,0,178842684286993601,,200,2676,Insert,687,True,,,,
1788426930827286,client_request,london-slot1-g1,eu-west-2,1,178842684286994601,,200,2155,Remove,267,True,,,,
1788426930927559,client_request,london-slot2-g1,eu-west-2,2,178842684286995601,,200,2442,Insert,175,True,,,,
1788426931027590,client_request,london-slot3-g1,eu-west-2,3,178842684286996601,,200,2478,Remove,869,True,,,,
1788426931127228,client_request,london-slot4-g1,eu-west-2,4,178842684286997601,,200,2125,Insert,273,True,,,,
1788426931227151,client_request,london-slot0-g1,eu-west-2,0,178842684286993601,,200,2043,Remove,452,True,,,,
1788426931327669,client_request,london-slot1-g1,eu-west-2,1,178842684286994601,,200,2346,Remove,302,True,,,,
1788426931428110,client_request,london-slot2-g1,eu-west-2,2,178842684286995601,,200,3003,Insert,17,True,,,,
1788426931527868,client_request,london-slot3-g1,eu-west-2,3,178842684286996601,,200,2593,Remove,853,True,,,,
1788426931627436,client_request,london-slot4-g1,eu-west-2,4,178842684286997601,,200,2247,Remove,448,True,,,,
1788426931728138,client_request,london-slot0-g1,eu-west-2,0,178842684286993601,,200,3035,Remove,988,True,,,,
1788426931827627,client_request,london-slot1-g1,eu-west-2,1,178842684286994601,,200,2235,Insert,88,True,,,,
1788426931927475,client_request,london-slot2-g1,eu-west-2,2,178842684286995601,,200,2328,Remove,695,True,,,,
1788426932027237,client_request,london-slot3-g1,eu-west-2,3,178842684286996601,,200,2117,Insert,757,True,,,,
1788426932127188,client_request,london-slot4-g1,eu-west-2,4,178842684286997601,,200,2063,Insert,399,True,,,,
1788426932227664,client_request,london-slot0-g1,eu-west-2,0,178842684286993601,,200,2537,Insert,598,True,,,,
1788426932330941,client_request,london-slot1-g1,eu-west-2,1,178842684286994601,,200,5697,Remove,526,True,,,,
1788426932428695,client_request,london-slot2-g1,eu-west-2,2,178842684286995601,,200,3454,Insert,914,True,,,,
1788426932527308,client_request,london-slot3-g1,eu-west-2,3,178842684286996601,,200,2204,Insert,36,True,,,,
1788426932627477,client_request,london-slot4-g1,eu-west-2,4,178842684286997601,,200,2361,Insert,846,True,,,,
1788426932727089,client_request,london-slot0-g1,eu-west-2,0,178842684286993601,,200,1990,Insert,662,True,,,,
1788426932828622,client_request,london-slot1-g1,eu-west-2,1,178842684286994601,,200,3344,Remove,943,True,,,,
1788426932927166,client_request,london-slot2-g1,eu-west-2,2,178842684286995601,,200,1986,Insert,769,True,,,,
