[2026-09-03T09:14:58.309Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-03T09:14:58.310Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18081
[2026-09-03T09:14:58.341Z INFO  gresse::replica] replica 178842684286994601 initiating runtime at bind_http=0.0.0.0:18081 bind_internal=0.0.0.0:19081 advertised_internal=35.179.101.242:19081
[2026-09-03T09:14:58.452Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260903085118-6fb999, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-20260903T091329Z-d96b4f84/persistent.json
[2026-09-03T09:14:58.497Z INFO  gresse::replica] replica 178842684286994601 discovered 9 membership descriptors during init
[2026-09-03T09:14:58.497Z INFO  gresse::replica] replica 178842684286994601 startup completed
[2026-09-03T09:14:58.497Z INFO  gresse::network] replica 178842684286994601 discovered network member NetworkMember { pid: 178842683849154801, address: 13.53.121.51:19080, final_counter: None }
[2026-09-03T09:14:58.497Z INFO  gresse::network] replica 178842684286994601 discovered network member NetworkMember { pid: 178842683849155801, address: 13.53.121.51:19081, final_counter: None }
[2026-09-03T09:14:58.497Z INFO  gresse::network] replica 178842684286994601 discovered network member NetworkMember { pid: 178842683956181201, address: 52.59.198.67:19080, final_counter: None }
[2026-09-03T09:14:58.497Z INFO  gresse::network] replica 178842684286994601 discovered network member NetworkMember { pid: 178842683956182201, address: 52.59.198.67:19081, final_counter: None }
[2026-09-03T09:14:58.497Z INFO  gresse::network] replica 178842684286994601 discovered network member NetworkMember { pid: 178842684114090201, address: 34.246.191.174:19080, final_counter: None }
[2026-09-03T09:14:58.497Z INFO  gresse::network] replica 178842684286994601 discovered network member NetworkMember { pid: 178842684286993601, address: 35.179.101.242:19080, final_counter: None }
[2026-09-03T09:14:58.497Z INFO  gresse::network] replica 178842684286994601 discovered network member NetworkMember { pid: 178842684426432101, address: 13.38.47.15:19080, final_counter: None }
[2026-09-03T09:14:58.497Z INFO  gresse::network] replica 178842684286994601 discovered network member NetworkMember { pid: 178842684426433101, address: 13.38.47.15:19081, final_counter: None }
[2026-09-03T09:14:58.498Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684286993601
[2026-09-03T09:14:58.498Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684286993601
[2026-09-03T09:14:58.511Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684426432101
[2026-09-03T09:14:58.511Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684426432101
[2026-09-03T09:14:58.513Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684426433101
[2026-09-03T09:14:58.513Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684426433101
[2026-09-03T09:14:58.517Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684114090201
[2026-09-03T09:14:58.517Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684114090201
[2026-09-03T09:14:58.518Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842683956182201
[2026-09-03T09:14:58.518Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842683956182201
[2026-09-03T09:14:58.520Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842683956181201
[2026-09-03T09:14:58.520Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842683956181201
[2026-09-03T09:14:58.553Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842683849154801
[2026-09-03T09:14:58.553Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842683849154801
[2026-09-03T09:14:58.555Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842683849155801
[2026-09-03T09:14:58.555Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842683849155801
[2026-09-03T09:14:58.559Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842683849156801
[2026-09-03T09:14:58.559Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842683849156801
[2026-09-03T09:14:58.582Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684114091201
[2026-09-03T09:14:58.582Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684114091201
[2026-09-03T09:14:58.718Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842683956183201
[2026-09-03T09:14:58.718Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842683956183201
[2026-09-03T09:14:58.718Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684286995601
[2026-09-03T09:14:58.718Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684286995601
[2026-09-03T09:14:58.772Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842683849157801
[2026-09-03T09:14:58.772Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842683849157801
[2026-09-03T09:14:58.816Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684426434101
[2026-09-03T09:14:58.816Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684426434101
[2026-09-03T09:14:58.924Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842683956184201
[2026-09-03T09:14:58.924Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842683956184201
[2026-09-03T09:14:58.925Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684114092201
[2026-09-03T09:14:58.925Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684114092201
[2026-09-03T09:14:58.966Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842683849158801
[2026-09-03T09:14:58.966Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842683849158801
[2026-09-03T09:14:59.008Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684286996601
[2026-09-03T09:14:59.008Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684286996601
[2026-09-03T09:14:59.030Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684426435101
[2026-09-03T09:14:59.030Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684426435101
[2026-09-03T09:14:59.137Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842683956185201
[2026-09-03T09:14:59.137Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842683956185201
[2026-09-03T09:14:59.194Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684114093201
[2026-09-03T09:14:59.194Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684114093201
[2026-09-03T09:14:59.223Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684286997601
[2026-09-03T09:14:59.223Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684286997601
[2026-09-03T09:14:59.333Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684426436101
[2026-09-03T09:14:59.333Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684426436101
[2026-09-03T09:14:59.504Z INFO  gresse::network] replica 178842684286994601 registered bidirectional network channel for replica 178842684114094201
[2026-09-03T09:14:59.504Z INFO  gresse::replica] replica 178842684286994601 established peer replication connection with replica 178842684114094201
[2026-09-03T09:15:46.499Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-03T09:15:53.499Z WARN  gresse::replica] replica 178842684286994601 deferred pull request to peer 178842683956182201: channel closed
[2026-09-03T09:15:58.381Z INFO  gresse::replica] replica 178842684286994601 observed shutdown descriptor for replica 178842683849154801 with final counter Some(58)
[2026-09-03T09:15:58.510Z INFO  gresse::replica] replica 178842684286994601 observed shutdown descriptor for replica 178842683849155801 with final counter Some(58)
[2026-09-03T09:15:58.589Z INFO  gresse::replica] replica 178842684286994601 observed shutdown descriptor for replica 178842683849156801 with final counter Some(57)
[2026-09-03T09:16:07.499Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
