source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788426899053119,178842684286997601,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1788426899162574,178842684286997601,,,,,1788426899053147,1788426899162574,,,restored_existing_snapshot,,,,,109427
server,membership_descriptor_write,completed,1788426899174665,178842684286997601,,,,,1788426899053370,1788426899174665,,,"178842684286997601,35.179.101.242:19084,0",,,,,121295
server,membership_directory_read,completed,1788426899219916,178842684286997601,,,,,1788426899174670,1788426899219916,,,init:23 descriptors,,,,,45246
server,replica_init,completed,1788426899222412,178842684286997601,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899223731,178842684286997601,178842684286995601,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899223781,178842684286997601,178842684286993601,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899224080,178842684286997601,178842684286994601,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899224147,178842684286997601,178842684286996601,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899236890,178842684286997601,178842684426433101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899236910,178842684286997601,178842684426432101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899238716,178842684286997601,178842684426435101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899238752,178842684286997601,178842684426434101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899242051,178842684286997601,178842684114093201,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899242130,178842684286997601,178842684114092201,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899242315,178842684286997601,178842684114090201,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899242605,178842684286997601,178842684114091201,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899245366,178842684286997601,178842683956181201,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899245420,178842684286997601,178842683956182201,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899247149,178842684286997601,178842683956185201,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899247166,178842684286997601,178842683956184201,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899247725,178842684286997601,178842683956183201,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899277856,178842684286997601,178842683849154801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788426899280011,178842684286997601,178842683849157801,,,,,,,,,,,,,
