timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788426853807200,agent_start_received,,,,,1788426898.0,,,,,,,,,
1788426898000755,bootstrap_attempt_started,paris-slot0-g1,eu-west-3,0,178842684426432101,attempt 1/3,,,,,,,,,
1788426898002738,spawn_requested,paris-slot0-g1,eu-west-3,0,178842684426432101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/paris-slot0-g1,,,,,,,,,
1788426898304595,bootstrap_ready,paris-slot0-g1,eu-west-3,0,178842684426432101,,,,,,,,,,
1788426898304924,bootstrap_attempt_started,paris-slot1-g1,eu-west-3,1,178842684426433101,attempt 1/3,,,,,,,,,
1788426898307098,spawn_requested,paris-slot1-g1,eu-west-3,1,178842684426433101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/paris-slot1-g1,,,,,,,,,
1788426898608553,bootstrap_ready,paris-slot1-g1,eu-west-3,1,178842684426433101,,,,,,,,,,
1788426898608874,bootstrap_attempt_started,paris-slot2-g1,eu-west-3,2,178842684426434101,attempt 1/3,,,,,,,,,
1788426898610781,spawn_requested,paris-slot2-g1,eu-west-3,2,178842684426434101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/paris-slot2-g1,,,,,,,,,
1788426898811895,bootstrap_ready,paris-slot2-g1,eu-west-3,2,178842684426434101,,,,,,,,,,
1788426898812280,bootstrap_attempt_started,paris-slot3-g1,eu-west-3,3,178842684426435101,attempt 1/3,,,,,,,,,
1788426898814133,spawn_requested,paris-slot3-g1,eu-west-3,3,178842684426435101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/paris-slot3-g1,,,,,,,,,
1788426899115693,bootstrap_ready,paris-slot3-g1,eu-west-3,3,178842684426435101,,,,,,,,,,
1788426899116042,bootstrap_attempt_started,paris-slot4-g1,eu-west-3,4,178842684426436101,attempt 1/3,,,,,,,,,
1788426899117934,spawn_requested,paris-slot4-g1,eu-west-3,4,178842684426436101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/paris-slot4-g1,,,,,,,,,
1788426899419458,bootstrap_ready,paris-slot4-g1,eu-west-3,4,178842684426436101,,,,,,,,,,
1788426929423700,state_snapshot,paris-slot0-g1,eu-west-3,0,178842684426432101,,200,,,,,,,,
1788426929424153,state_snapshot,paris-slot1-g1,eu-west-3,1,178842684426433101,,200,,,,,,,,
1788426929424593,state_snapshot,paris-slot2-g1,eu-west-3,2,178842684426434101,,200,,,,,,,,
1788426929425037,state_snapshot,paris-slot3-g1,eu-west-3,3,178842684426435101,,200,,,,,,,,
1788426929425435,state_snapshot,paris-slot4-g1,eu-west-3,4,178842684426436101,,200,,,,,,,,
1788426929425758,client_request,paris-slot0-g1,eu-west-3,0,178842684426432101,,200,4959,Insert,717,True,,,,
1788426929523308,client_request,paris-slot1-g1,eu-west-3,1,178842684426433101,,200,2611,Insert,845,True,,,,
1788426929526109,state_snapshot,paris-slot0-g1,eu-west-3,0,178842684426432101,,200,,,,,,,,
1788426929526517,state_snapshot,paris-slot1-g1,eu-west-3,1,178842684426433101,,200,,,,,,,,
1788426929526905,state_snapshot,paris-slot2-g1,eu-west-3,2,178842684426434101,,200,,,,,,,,
1788426929527317,state_snapshot,paris-slot3-g1,eu-west-3,3,178842684426435101,,200,,,,,,,,
1788426929527730,state_snapshot,paris-slot4-g1,eu-west-3,4,178842684426436101,,200,,,,,,,,
1788426929623326,client_request,paris-slot2-g1,eu-west-3,2,178842684426434101,,200,2669,Insert,233,True,,,,
1788426929723405,client_request,paris-slot3-g1,eu-west-3,3,178842684426435101,,200,2667,Insert,862,True,,,,
1788426929823375,client_request,paris-slot4-g1,eu-west-3,4,178842684426436101,,200,2663,Insert,479,True,,,,
1788426929923332,client_request,paris-slot0-g1,eu-west-3,0,178842684426432101,,200,2646,Remove,147,True,,,,
1788426930023279,client_request,paris-slot1-g1,eu-west-3,1,178842684426433101,,200,2578,Insert,276,True,,,,
1788426930123853,client_request,paris-slot2-g1,eu-west-3,2,178842684426434101,,200,3131,Insert,427,True,,,,
1788426930223852,client_request,paris-slot3-g1,eu-west-3,3,178842684426435101,,200,3130,Remove,521,True,,,,
1788426930323788,client_request,paris-slot4-g1,eu-west-3,4,178842684426436101,,200,3053,Insert,989,True,,,,
1788426930423571,client_request,paris-slot0-g1,eu-west-3,0,178842684426432101,,200,2915,Remove,446,True,,,,
1788426930523494,client_request,paris-slot1-g1,eu-west-3,1,178842684426433101,,200,2770,Remove,544,True,,,,
1788426930623503,client_request,paris-slot2-g1,eu-west-3,2,178842684426434101,,200,2814,Remove,943,True,,,,
1788426930723660,client_request,paris-slot3-g1,eu-west-3,3,178842684426435101,,200,2998,Insert,689,True,,,,
1788426930823471,client_request,paris-slot4-g1,eu-west-3,4,178842684426436101,,200,2761,Insert,392,True,,,,
1788426930923292,client_request,paris-slot0-g1,eu-west-3,0,178842684426432101,,200,2662,Insert,929,True,,,,
1788426931023434,client_request,paris-slot1-g1,eu-west-3,1,178842684426433101,,200,2733,Remove,732,True,,,,
1788426931123491,client_request,paris-slot2-g1,eu-west-3,2,178842684426434101,,200,2734,Remove,823,True,,,,
