[2026-09-03T09:57:01.224Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-03T09:57:01.225Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18083
[2026-09-03T09:57:01.252Z INFO  gresse::replica] replica 178842684426435105 initiating runtime at bind_http=0.0.0.0:18083 bind_internal=0.0.0.0:19083 advertised_internal=13.38.47.15:19083
[2026-09-03T09:57:01.384Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260903085118-6fb999, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-20260903T091329Z-d96b4f84/membership/178842684426435105,13.38.47.15:19083,27
[2026-09-03T09:57:01.466Z INFO  gresse::replica] replica 178842684426435105 restored local state from durability journal before startup
[2026-09-03T09:57:01.466Z INFO  gresse::replica] replica 178842684426435105 discovered 95 membership descriptors during init
[2026-09-03T09:57:01.466Z INFO  gresse::replica] replica 178842684426435105 startup completed
[2026-09-03T09:57:01.466Z INFO  gresse::network] replica 178842684426435105 discovered network member NetworkMember { pid: 178842683849154804, address: 13.53.121.51:19080, final_counter: None }
[2026-09-03T09:57:01.466Z INFO  gresse::network] replica 178842684426435105 discovered network member NetworkMember { pid: 178842683849155803, address: 13.53.121.51:19081, final_counter: None }
[2026-09-03T09:57:01.466Z INFO  gresse::network] replica 178842684426435105 discovered network member NetworkMember { pid: 178842683849156806, address: 13.53.121.51:19082, final_counter: None }
[2026-09-03T09:57:01.466Z INFO  gresse::network] replica 178842684426435105 discovered network member NetworkMember { pid: 178842683849157806, address: 13.53.121.51:19083, final_counter: None }
[2026-09-03T09:57:01.466Z INFO  gresse::network] replica 178842684426435105 discovered network member NetworkMember { pid: 178842683849158806, address: 13.53.121.51:19084, final_counter: None }
[2026-09-03T09:57:01.466Z INFO  gresse::network] replica 178842684426435105 discovered network member NetworkMember { pid: 178842683956181205, address: 52.59.198.67:19080, final_counter: None }
