source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788432425169365,178842684426436110,,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1788432425377447,178842684426436110,,,,,1788432425169382,1788432425377447,,,"178842684426436110,13.38.47.15:19084,53",,,,,208065
server,membership_directory_read,completed,1788432425531505,178842684426436110,,,,,1788432425377450,1788432425531505,,,init:268 descriptors,,,,,154055
server,persistent_state_fetch,completed,1788432425531540,178842684426436110,,,,,,,,,recovered_from_durability_journal,,,,,
server,replica_init,completed,1788432425531545,178842684426436110,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425532303,178842684426436110,178842684426435111,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425532512,178842684426436110,178842684426432112,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425532568,178842684426436110,178842684426434112,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425532650,178842684426436110,178842684426433112,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425545915,178842684426436110,178842684286994612,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425545960,178842684426436110,178842684286997609,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425546004,178842684426436110,178842684286993612,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425547838,178842684426436110,178842683956181211,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425547885,178842684426436110,178842684286995611,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425547959,178842684426436110,178842683956182210,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425548018,178842684426436110,178842683956184212,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425548048,178842684426436110,178842683956185212,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425548475,178842684426436110,178842683956183209,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425550195,178842684426436110,178842684286996610,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425566351,178842684426436110,178842684114090212,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425566367,178842684426436110,178842684114094212,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425566392,178842684426436110,178842684114092210,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425566433,178842684426436110,178842684114093209,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425566486,178842684426436110,178842684114091211,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425593919,178842684426436110,178842683849155809,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425593937,178842684426436110,178842683849156812,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425593946,178842684426436110,178842683849158812,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425594392,178842684426436110,178842683849154810,,,,,,,,,,,,,
server,peer_replication_connection,established,1788432425594597,178842684426436110,178842683849157812,,,,,,,,,,,,,
server,client_mutation,completed,1788432425822368,178842684426436110,,,,1788432425821049,1788432425821050,1788432425822368,,,http_data_plane,,,,,1318
server,client_mutation,completed,1788432426322093,178842684426436110,,,,1788432426321154,1788432426321154,1788432426322093,,,http_data_plane,,,,,939
server,peer_replication_pull_request,sent,1788432426532858,178842684426436110,,,,,,,,,connected_peers=24,,,,,
server,client_mutation,completed,1788432426822052,178842684426436110,,,,1788432426821046,1788432426821046,1788432426822052,,,http_data_plane,,,,,1006
server,client_mutation,completed,1788432427322129,178842684426436110,,,,1788432427321130,1788432427321130,1788432427322129,,,http_data_plane,,,,,999
server,peer_replication_pull_request,sent,1788432427532926,178842684426436110,,,,,,,,,connected_peers=24,,,,,
server,gc_observed,start,1788432427537835,178842684426436110,,54,,,,,,,,,,,,
server,gc_observed,completed,1788432428545007,178842684426436110,,54,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1788432428709282,178842684426436110,,54,,1788432427537833,1788432428707354,1788432428709282,,,"delta_len=2804,sent_us=1788432427533756",,,,,1928
server,peer_replication_pull_request,sent,1788432428709331,178842684426436110,,,,,,,,,connected_peers=24,,,,,
server,client_mutation,completed,1788432428546191,178842684426436110,,,,1788432427821286,1788432427821286,1788432428546191,,,http_data_plane,,,,,724905
server,client_mutation,completed,1788432428547050,178842684426436110,,,,1788432428321074,1788432428321074,1788432428547050,,,http_data_plane,,,,,225976
server,client_mutation,completed,1788432428822245,178842684426436110,,,,1788432428821326,1788432428821326,1788432428822245,,,http_data_plane,,,,,919
server,client_mutation,completed,1788432429322073,178842684426436110,,,,1788432429320998,1788432429320998,1788432429322073,,,http_data_plane,,,,,1075
server,peer_replication_pull_request,sent,1788432429532946,178842684426436110,,,,,,,,,connected_peers=24,,,,,
server,client_mutation,completed,1788432429821931,178842684426436110,,,,1788432429820981,1788432429820981,1788432429821931,,,http_data_plane,,,,,950
server,membership_directory_read,completed,1788432430320673,178842684426436110,,,,,1788432430161766,1788432430320673,,,poll:268 descriptors,,,,,158907
server,peer_replication_pull_request,sent,1788432434005058,178842684426436110,,,,,,,,,connected_peers=24,,,,,
server,client_mutation,completed,1788432430322034,178842684426436110,,,,1788432430321061,1788432430321061,1788432430322034,,,http_data_plane,,,,,973
server,client_mutation,completed,1788432430822861,178842684426436110,,,,1788432430821793,1788432430821793,1788432430822861,,,http_data_plane,,,,,1068
server,client_mutation,completed,1788432431321777,178842684426436110,,,,1788432431320958,1788432431320958,1788432431321777,,,http_data_plane,,,,,819
server,client_mutation,completed,1788432431821961,178842684426436110,,,,1788432431821116,1788432431821116,1788432431821961,,,http_data_plane,,,,,845
server,client_mutation,completed,1788432432321951,178842684426436110,,,,1788432432321013,1788432432321013,1788432432321951,,,http_data_plane,,,,,938
server,client_mutation,completed,1788432432821874,178842684426436110,,,,1788432432820958,1788432432820958,1788432432821874,,,http_data_plane,,,,,916
server,client_mutation,completed,1788432433322326,178842684426436110,,,,1788432433321265,1788432433321265,1788432433322326,,,http_data_plane,,,,,1061
server,client_mutation,completed,1788432433821961,178842684426436110,,,,1788432433820960,1788432433820960,1788432433821961,,,http_data_plane,,,,,1001
server,peer_replication_get_delta,completed,1788432434005327,178842684426436110,178842684426432112,54,,1788432434005147,1788432434005149,1788432434005327,,,"delta_len=22,sent_us=1788432430481634",,,,,178
server,peer_replication_get_delta,completed,1788432434005387,178842684426436110,178842683849154810,54,,1788432434005343,1788432434005354,1788432434005387,,,"delta_len=22,sent_us=1788432430782021",,,,,33
server,peer_replication_get_delta,completed,1788432434005460,178842684426436110,178842684426435111,54,,1788432434005394,1788432434005397,1788432434005460,,,"delta_len=171,sent_us=1788432431312720",,,,,63
server,peer_replication_pull_request,sent,1788432434005479,178842684426436110,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_pull_request,sent,1788432434005485,178842684426436110,,,,,,,,,connected_peers=24,,,,,
