timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788426853638572,agent_start_received,,,,,1788426898.0,,,,,,,,,
1788426898001010,bootstrap_attempt_started,stockholm-slot0-g1,eu-north-1,0,178842683849154801,attempt 1/3,,,,,,,,,
1788426898003533,spawn_requested,stockholm-slot0-g1,eu-north-1,0,178842683849154801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/stockholm-slot0-g1,,,,,,,,,
1788426898205262,bootstrap_ready,stockholm-slot0-g1,eu-north-1,0,178842683849154801,,,,,,,,,,
1788426898205617,bootstrap_attempt_started,stockholm-slot1-g1,eu-north-1,1,178842683849155801,attempt 1/3,,,,,,,,,
1788426898207973,spawn_requested,stockholm-slot1-g1,eu-north-1,1,178842683849155801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/stockholm-slot1-g1,,,,,,,,,
1788426898409274,bootstrap_ready,stockholm-slot1-g1,eu-north-1,1,178842683849155801,,,,,,,,,,
1788426898409630,bootstrap_attempt_started,stockholm-slot2-g1,eu-north-1,2,178842683849156801,attempt 1/3,,,,,,,,,
1788426898412360,spawn_requested,stockholm-slot2-g1,eu-north-1,2,178842683849156801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/stockholm-slot2-g1,,,,,,,,,
1788426898613589,bootstrap_ready,stockholm-slot2-g1,eu-north-1,2,178842683849156801,,,,,,,,,,
1788426898614010,bootstrap_attempt_started,stockholm-slot3-g1,eu-north-1,3,178842683849157801,attempt 1/3,,,,,,,,,
1788426898617640,spawn_requested,stockholm-slot3-g1,eu-north-1,3,178842683849157801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/stockholm-slot3-g1,,,,,,,,,
1788426898818946,bootstrap_ready,stockholm-slot3-g1,eu-north-1,3,178842683849157801,,,,,,,,,,
1788426898819329,bootstrap_attempt_started,stockholm-slot4-g1,eu-north-1,4,178842683849158801,attempt 1/3,,,,,,,,,
1788426898821958,spawn_requested,stockholm-slot4-g1,eu-north-1,4,178842683849158801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/stockholm-slot4-g1,,,,,,,,,
1788426899023218,bootstrap_ready,stockholm-slot4-g1,eu-north-1,4,178842683849158801,,,,,,,,,,
1788426929034020,state_snapshot,stockholm-slot0-g1,eu-north-1,0,178842683849154801,,200,,,,,,,,
1788426929034929,state_snapshot,stockholm-slot1-g1,eu-north-1,1,178842683849155801,,200,,,,,,,,
1788426929035708,state_snapshot,stockholm-slot2-g1,eu-north-1,2,178842683849156801,,200,,,,,,,,
1788426929036412,state_snapshot,stockholm-slot3-g1,eu-north-1,3,178842683849157801,,200,,,,,,,,
1788426929036825,client_request,stockholm-slot0-g1,eu-north-1,0,178842683849154801,,200,10955,Remove,936,True,,,,
1788426929037317,state_snapshot,stockholm-slot4-g1,eu-north-1,4,178842683849158801,,200,,,,,,,,
1788426929130026,client_request,stockholm-slot1-g1,eu-north-1,1,178842683849155801,,200,4773,Remove,369,True,,,,
1788426929138726,state_snapshot,stockholm-slot0-g1,eu-north-1,0,178842683849154801,,200,,,,,,,,
1788426929139864,state_snapshot,stockholm-slot1-g1,eu-north-1,1,178842683849155801,,200,,,,,,,,
1788426929140956,state_snapshot,stockholm-slot2-g1,eu-north-1,2,178842683849156801,,200,,,,,,,,
1788426929143046,state_snapshot,stockholm-slot3-g1,eu-north-1,3,178842683849157801,,200,,,,,,,,
1788426929144784,state_snapshot,stockholm-slot4-g1,eu-north-1,4,178842683849158801,,200,,,,,,,,
1788426929229324,client_request,stockholm-slot2-g1,eu-north-1,2,178842683849156801,,200,4081,Insert,13,True,,,,
1788426929328399,client_request,stockholm-slot3-g1,eu-north-1,3,178842683849157801,,200,3162,Insert,792,True,,,,
1788426929429475,client_request,stockholm-slot4-g1,eu-north-1,4,178842683849158801,,200,3895,Remove,437,True,,,,
1788426929528525,client_request,stockholm-slot0-g1,eu-north-1,0,178842683849154801,,200,3282,Remove,991,True,,,,
1788426929628471,client_request,stockholm-slot1-g1,eu-north-1,1,178842683849155801,,200,3234,Remove,190,True,,,,
1788426929728611,client_request,stockholm-slot2-g1,eu-north-1,2,178842683849156801,,200,3377,Remove,348,True,,,,
1788426929828492,client_request,stockholm-slot3-g1,eu-north-1,3,178842683849157801,,200,3234,Insert,56,True,,,,
1788426929928498,client_request,stockholm-slot4-g1,eu-north-1,4,178842683849158801,,200,3271,Remove,130,True,,,,
1788426930030377,client_request,stockholm-slot0-g1,eu-north-1,0,178842683849154801,,200,4903,Remove,725,True,,,,
1788426930128794,client_request,stockholm-slot1-g1,eu-north-1,1,178842683849155801,,200,3447,Remove,293,True,,,,
1788426930230386,client_request,stockholm-slot2-g1,eu-north-1,2,178842683849156801,,200,3902,Remove,972,True,,,,
1788426930331332,client_request,stockholm-slot3-g1,eu-north-1,3,178842683849157801,,200,5187,Insert,278,True,,,,
1788426930428903,client_request,stockholm-slot4-g1,eu-north-1,4,178842683849158801,,200,3423,Insert,23,True,,,,
1788426930530942,client_request,stockholm-slot0-g1,eu-north-1,0,178842683849154801,,200,5679,Remove,732,True,,,,
1788426930634549,client_request,stockholm-slot1-g1,eu-north-1,1,178842683849155801,,200,4943,Remove,424,True,,,,
1788426930730820,client_request,stockholm-slot2-g1,eu-north-1,2,178842683849156801,,200,4822,Insert,304,True,,,,
1788426930831054,client_request,stockholm-slot3-g1,eu-north-1,3,178842683849157801,,200,5587,Insert,16,True,,,,
1788426930928871,client_request,stockholm-slot4-g1,eu-north-1,4,178842683849158801,,200,3454,Insert,481,True,,,,
1788426931030228,client_request,stockholm-slot0-g1,eu-north-1,0,178842683849154801,,200,4724,Remove,94,True,,,,
1788426931131437,client_request,stockholm-slot1-g1,eu-north-1,1,178842683849155801,,200,5969,Remove,592,True,,,,
1788426931230701,client_request,stockholm-slot2-g1,eu-north-1,2,178842683849156801,,200,5120,Insert,859,True,,,,
1788426931328945,client_request,stockholm-slot3-g1,eu-north-1,3,178842683849157801,,200,3709,Insert,808,True,,,,
1788426931435286,client_request,stockholm-slot4-g1,eu-north-1,4,178842683849158801,,200,8792,Insert,870,True,,,,
1788426931529597,client_request,stockholm-slot0-g1,eu-north-1,0,178842683849154801,,200,4169,Insert,695,True,,,,
1788426931628770,client_request,stockholm-slot1-g1,eu-north-1,1,178842683849155801,,200,3177,Insert,932,True,,,,
1788426931731265,client_request,stockholm-slot2-g1,eu-north-1,2,178842683849156801,,200,5392,Insert,702,True,,,,
1788426931830218,client_request,stockholm-slot3-g1,eu-north-1,3,178842683849157801,,200,4812,Insert,425,True,,,,
1788426931933051,client_request,stockholm-slot4-g1,eu-north-1,4,178842683849158801,,200,7475,Insert,962,True,,,,
1788426932032352,client_request,stockholm-slot0-g1,eu-north-1,0,178842683849154801,,200,6348,Remove,964,True,,,,
1788426932131834,client_request,stockholm-slot1-g1,eu-north-1,1,178842683849155801,,200,5983,Remove,927,True,,,,
1788426932233111,client_request,stockholm-slot2-g1,eu-north-1,2,178842683849156801,,200,4098,Remove,913,True,,,,
1788426932328654,client_request,stockholm-slot3-g1,eu-north-1,3,178842683849157801,,200,3079,Remove,347,True,,,,
1788426932431322,client_request,stockholm-slot4-g1,eu-north-1,4,178842683849158801,,200,5381,Remove,9,True,,,,
1788426932528698,client_request,stockholm-slot0-g1,eu-north-1,0,178842683849154801,,200,3036,Remove,176,True,,,,
1788426932628486,client_request,stockholm-slot1-g1,eu-north-1,1,178842683849155801,,200,3262,Remove,84,True,,,,
1788426932728874,client_request,stockholm-slot2-g1,eu-north-1,2,178842683849156801,,200,3633,Insert,262,True,,,,
1788426932830488,client_request,stockholm-slot3-g1,eu-north-1,3,178842683849157801,,200,4933,Remove,69,True,,,,
1788426932929322,client_request,stockholm-slot4-g1,eu-north-1,4,178842683849158801,,200,4060,Insert,313,True,,,,
1788426933032762,client_request,stockholm-slot0-g1,eu-north-1,0,178842683849154801,,200,7020,Remove,77,True,,,,
1788426933129385,client_request,stockholm-slot1-g1,eu-north-1,1,178842683849155801,,200,3763,Remove,737,True,,,,
1788426933228471,client_request,stockholm-slot2-g1,eu-north-1,2,178842683849156801,,200,3166,Insert,281,True,,,,
