[2026-09-03T11:13:08.902Z WARN  gresse::journal] discarding incomplete mutation record from /home/ec2-user/gresse-runs/acm-sec-geo-churn-20260903T091329Z-d96b4f84/durability/stockholm-slot2.journal.mutations.jsonl
[2026-09-03T11:13:08.903Z WARN  gresse::journal] repairing durability state from the last valid snapshot and mutation records
[2026-09-03T11:13:11.568Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-03T11:13:11.568Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18082
[2026-09-03T11:13:11.645Z INFO  gresse::replica] replica 178842683849156814 initiating runtime at bind_http=0.0.0.0:18082 bind_internal=0.0.0.0:19082 advertised_internal=13.53.121.51:19082
[2026-09-03T11:13:11.683Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260903085118-6fb999, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-20260903T091329Z-d96b4f84/membership/178842683849156814,13.53.121.51:19082,70
[2026-09-03T11:13:11.714Z INFO  gresse::replica] replica 178842683849156814 restored local state from durability journal before startup
[2026-09-03T11:13:11.714Z INFO  gresse::replica] replica 178842683849156814 discovered 173 membership descriptors during init
[2026-09-03T11:13:11.714Z INFO  gresse::replica] replica 178842683849156814 startup completed
[2026-09-03T11:13:11.714Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842683849154814, address: 13.53.121.51:19080, final_counter: None }
[2026-09-03T11:13:11.714Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842683849154815, address: 13.53.121.51:19080, final_counter: None }
[2026-09-03T11:13:11.714Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842683849155815, address: 13.53.121.51:19081, final_counter: None }
[2026-09-03T11:13:11.714Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842683849157813, address: 13.53.121.51:19083, final_counter: None }
[2026-09-03T11:13:11.714Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842683849158812, address: 13.53.121.51:19084, final_counter: None }
[2026-09-03T11:13:11.714Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842683956181215, address: 52.59.198.67:19080, final_counter: None }
[2026-09-03T11:13:11.714Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842683956182215, address: 52.59.198.67:19081, final_counter: None }
[2026-09-03T11:13:11.714Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842683956183215, address: 52.59.198.67:19082, final_counter: None }
[2026-09-03T11:13:11.714Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842683956184214, address: 52.59.198.67:19083, final_counter: None }
[2026-09-03T11:13:11.714Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842683956185213, address: 52.59.198.67:19084, final_counter: None }
[2026-09-03T11:13:11.714Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842684114090212, address: 34.246.191.174:19080, final_counter: None }
[2026-09-03T11:13:11.714Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842684114091215, address: 34.246.191.174:19081, final_counter: None }
