source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788431098077307,178842683849158810,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1788431098504820,178842683849158810,,,,,1788431098077345,1788431098504820,,,restored_existing_snapshot,,,,,427475
server,membership_descriptor_write,completed,1788431098122686,178842683849158810,,,,,1788431098077569,1788431098122686,,,"178842683849158810,13.53.121.51:19084,0",,,,,45117
server,membership_directory_read,completed,1788431098153248,178842683849158810,,,,,1788431098122690,1788431098153248,,,init:235 descriptors,,,,,30558
server,replica_init,completed,1788431099585786,178842683849158810,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099586263,178842683849158810,178842684114090206,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099586314,178842683849158810,178842684114091209,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099586324,178842683849158810,178842684286995609,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099586331,178842683849158810,178842684426432108,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1788431099586711,178842683849158810,,,,,,,,,connected_peers=4,,,,,
server,peer_replication_connection,established,1788431099586983,178842683849158810,178842683849156808,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099587028,178842683849158810,178842683849155809,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099587038,178842683849158810,178842683849157807,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099587047,178842683849158810,178842683849154810,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099643394,178842683849158810,178842684286994606,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099645196,178842683849158810,178842684286996609,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099645270,178842683849158810,178842684286993607,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099645279,178842683849158810,178842684286997609,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099648534,178842683849158810,178842684426434106,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099648581,178842683849158810,178842684426436109,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099648626,178842683849158810,178842684426435109,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099649012,178842683849158810,178842684426433107,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099671009,178842683849158810,178842684114092209,,,,,,,,,,,,,
server,peer_replication_connection,established,1788431099671193,178842683849158810,178842684114094208,,,,,,,,,,,,,
