source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786967351435184,178696728656977347,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786967351939938,178696728656977347,,,,,1786967351435210,1786967351939938,,,restored_existing_snapshot,,,,,504728
server,membership_descriptor_write,completed,1786967351943526,178696728656977347,,,,,1786967351435421,1786967351943526,,,"178696728656977347,54.201.80.134:19081,0",,,,,508105
server,membership_directory_read,completed,1786967352113830,178696728656977347,,,,,1786967351943530,1786967352113830,,,init:17 descriptors,,,,,170300
server,replica_init,completed,1786967352116408,178696728656977347,,,,,,,,,,,,,,
server,membership_directory_read,completed,1786967356608829,178696728656977347,,,,,1786967356435813,1786967356608829,,,poll:17 descriptors,,,,,173016
server,membership_directory_read,completed,1786967361603795,178696728656977347,,,,,1786967361435867,1786967361603795,,,poll:18 descriptors,,,,,167928
server,membership_directory_read,completed,1786967366605571,178696728656977347,,,,,1786967366435456,1786967366605571,,,poll:19 descriptors,,,,,170115
server,membership_directory_read,completed,1786967371611079,178696728656977347,,,,,1786967371436183,1786967371611079,,,poll:20 descriptors,,,,,174896
server,membership_directory_read,completed,1786967376606200,178696728656977347,,,,,1786967376435877,1786967376606200,,,poll:21 descriptors,,,,,170323
