source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786967317783955,178696728656977332,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786967317830035,178696728656977332,,,,,1786967317783978,1786967317830035,,,restored_existing_snapshot,,,,,46057
server,membership_descriptor_write,completed,1786967317838723,178696728656977332,,,,,1786967317784197,1786967317838723,,,"178696728656977332,16.192.148.144:19081,0",,,,,54526
server,membership_directory_read,completed,1786967317854002,178696728656977332,,,,,1786967317838727,1786967317854002,,,init:2 descriptors,,,,,15275
server,replica_init,completed,1786967317856741,178696728656977332,,,,,,,,,,,,,,
server,peer_replication_connection,established,1786967317856776,178696728656977332,178696728656977331,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786967317857892,178696728656977332,,,,,,,,,connected_peers=1,,,,,
server,peer_replication_merge_delta,completed,1786967317955718,178696728656977332,,,,1786967317953436,1786967317955716,1786967317955718,,,"delta_len=0,sent_us=1786967317903365",,,,,2
server,peer_replication_get_delta,completed,1786967318079203,178696728656977332,178696728656977331,,,1786967318079200,1786967318079202,1786967318079203,,,"delta_len=0,sent_us=1786967318078716",,,,,1
server,peer_replication_connection,established,1786967318599278,178696728656977332,178696728656977333,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786967318857687,178696728656977332,,,,,,,,,connected_peers=2,,,,,
server,peer_replication_merge_delta,completed,1786967318905768,178696728656977332,,,,1786967318903467,1786967318905766,1786967318905768,,,"delta_len=0,sent_us=1786967318858052",,,,,2
server,peer_replication_get_delta,completed,1786967319123431,178696728656977332,178696728656977331,,,1786967319123428,1786967319123430,1786967319123431,,,"delta_len=0,sent_us=1786967319079061",,,,,1
server,peer_replication_connection,established,1786967319366958,178696728656977332,178696728656977334,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786967319413472,178696728656977332,178696728656977334,,,1786967319413469,1786967319413471,1786967319413472,,,"delta_len=0,sent_us=1786967319369257",,,,,1
server,peer_replication_pull_request,sent,1786967319858060,178696728656977332,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786967319905551,178696728656977332,,,,1786967319903371,1786967319905550,1786967319905551,,,"delta_len=0,sent_us=1786967319858392",,,,,1
server,peer_replication_connection,established,1786967320126104,178696728656977332,178696728656977335,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786967320602365,178696728656977332,178696728656977333,,,1786967320602363,1786967320602364,1786967320602365,,,"delta_len=0,sent_us=1786967320602005",,,,,1
server,peer_replication_pull_request,sent,1786967320857840,178696728656977332,,,,,,,,,connected_peers=4,,,,,
server,peer_replication_merge_delta,completed,1786967320905680,178696728656977332,,,,1786967320903432,1786967320905678,1786967320905680,,,"delta_len=0,sent_us=1786967320858264",,,,,2
server,peer_replication_get_delta,completed,1786967321080059,178696728656977332,178696728656977331,,,1786967321080056,1786967321080057,1786967321080059,,,"delta_len=0,sent_us=1786967321079663",,,,,2
server,peer_replication_connection,established,1786967321530237,178696728656977332,178696728656977336,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786967321643424,178696728656977332,178696728656977333,,,1786967321643421,1786967321643423,1786967321643424,,,"delta_len=0,sent_us=1786967321601023",,,,,1
server,peer_replication_pull_request,sent,1786967321857858,178696728656977332,,,,,,,,,connected_peers=5,,,,,
server,peer_replication_merge_delta,completed,1786967321905864,178696728656977332,,,,1786967321903723,1786967321905862,1786967321905864,,,"delta_len=0,sent_us=1786967321903460",,,,,2
server,peer_replication_get_delta,completed,1786967322129220,178696728656977332,178696728656977335,,,1786967322129218,1786967322129219,1786967322129220,,,"delta_len=0,sent_us=1786967322128818",,,,,1
server,peer_replication_get_delta,completed,1786967322526890,178696728656977332,178696728656977336,,,1786967322526887,1786967322526889,1786967322526890,,,"delta_len=0,sent_us=1786967322450184",,,,,1
server,peer_replication_connection,established,1786967322679506,178696728656977332,178696728656977337,,,,,,,,,,,,,
server,membership_directory_read,completed,1786967322802989,178696728656977332,,,,,1786967322784741,1786967322802989,,,poll:7 descriptors,,,,,18248
server,peer_replication_pull_request,sent,1786967322857182,178696728656977332,,,,,,,,,connected_peers=6,,,,,
server,peer_replication_merge_delta,completed,1786967322979345,178696728656977332,,,,1786967322976987,1786967322979344,1786967322979345,,,"delta_len=0,sent_us=1786967322893031",,,,,1
server,peer_replication_get_delta,completed,1786967323123403,178696728656977332,178696728656977331,,,1786967323123399,1786967323123401,1786967323123403,,,"delta_len=0,sent_us=1786967323079192",,,,,2
server,peer_replication_get_delta,completed,1786967323526879,178696728656977332,178696728656977336,,,1786967323526876,1786967323526878,1786967323526879,,,"delta_len=0,sent_us=1786967323450476",,,,,1
server,peer_replication_get_delta,completed,1786967323635554,178696728656977332,178696728656977337,,,1786967323635551,1786967323635553,1786967323635554,,,"delta_len=0,sent_us=1786967323599959",,,,,1
server,peer_replication_connection,established,1786967323847169,178696728656977332,178696728656977338,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786967323857279,178696728656977332,,,,,,,,,connected_peers=7,,,,,
server,peer_replication_merge_delta,completed,1786967323905508,178696728656977332,,,,1786967323903441,1786967323905507,1786967323905508,,,"delta_len=0,sent_us=1786967323857622",,,,,1
