replica_count,window_index,window_start_sec,time_since_stable_start_s,throughput_ops_per_sec
1,0,1777553689,5.0,609.5
1,1,1777553693,9.0,549.4
1,2,1777553697,13.0,500.4
1,3,1777553701,17.0,467.1
1,4,1777553705,21.0,455.7
1,5,1777553709,25.0,423.4
1,6,1777553713,29.0,401.8
1,7,1777553717,33.0,366.6
1,8,1777553721,37.0,344.1
1,9,1777553725,41.0,324.0
1,10,1777553729,45.0,333.5
1,11,1777553733,49.0,319.6
1,12,1777553737,53.0,299.9
2,0,1777553782,5.0,823.0
2,1,1777553786,9.0,761.9
2,2,1777553790,13.0,850.8
2,3,1777553794,17.0,1009.5
2,4,1777553798,21.0,936.8
2,5,1777553802,25.0,830.2
2,6,1777553806,29.0,754.2
2,7,1777553810,33.0,688.4
2,8,1777553814,37.0,639.9
2,9,1777553818,41.0,627.3
2,10,1777553822,45.0,645.6
2,11,1777553826,49.0,655.0
2,12,1777553830,53.0,610.0
2,13,1777553834,57.0,570.9
3,0,1777553878,5.0,903.9
3,1,1777553882,9.0,784.5
3,2,1777553886,13.0,717.4
3,3,1777553890,17.0,658.5
3,4,1777553894,21.0,617.8
3,5,1777553898,25.0,554.9
3,6,1777553902,29.0,498.1
3,7,1777553906,33.0,738.9
3,8,1777553910,37.0,955.2
3,9,1777553914,41.0,1003.5
3,10,1777553918,45.0,860.3
3,11,1777553922,49.0,743.1
3,12,1777553926,53.0,677.8
3,13,1777553930,57.0,617.6
4,0,1777553975,5.0,1095.5
4,1,1777553979,9.0,974.8
4,2,1777553983,13.0,868.8
4,3,1777553987,17.0,785.9
4,4,1777553991,21.0,717.5
4,5,1777553995,25.0,649.6
4,6,1777553999,29.0,588.3
4,7,1777554003,33.0,515.0
4,8,1777554007,37.0,449.1
4,9,1777554011,41.0,401.0
4,10,1777554015,45.0,396.7
4,11,1777554019,49.0,376.5
4,12,1777554023,53.0,485.0
4,13,1777554027,57.0,592.6
5,0,1777554075,5.0,1118.1
5,1,1777554079,9.0,1061.4
5,2,1777554083,13.0,956.3
5,3,1777554087,17.0,864.6
5,4,1777554091,21.0,782.9
5,5,1777554095,25.0,728.7
5,6,1777554099,29.0,664.4
5,7,1777554103,33.0,745.6
5,8,1777554107,37.0,931.3
5,9,1777554111,41.0,1066.2
5,10,1777554115,45.0,966.8
5,11,1777554119,49.0,846.4
5,12,1777554123,53.0,753.2
5,13,1777554127,57.0,679.6
5,14,1777554131,61.0,628.9
6,0,1777554176,5.0,1137.2
6,1,1777554180,9.0,1117.9
6,2,1777554184,13.0,1077.3
6,3,1777554188,17.0,991.0
6,4,1777554192,21.0,912.5
6,5,1777554196,25.0,863.7
6,6,1777554200,29.0,802.9
6,7,1777554204,33.0,775.0
6,8,1777554208,37.0,912.0
6,9,1777554212,41.0,1046.1
6,10,1777554216,45.0,1040.6
6,11,1777554220,49.0,936.0
6,12,1777554224,53.0,841.9
6,13,1777554228,57.0,767.4
6,14,1777554232,61.0,712.9
7,0,1777554279,5.0,1139.5
7,1,1777554283,9.0,1126.7
7,2,1777554287,13.0,1121.6
7,3,1777554291,17.0,1094.4
7,4,1777554295,21.0,1026.9
7,5,1777554299,25.0,945.7
7,6,1777554303,29.0,893.3
7,7,1777554307,33.0,824.9
7,8,1777554311,37.0,769.9
7,9,1777554315,41.0,846.4
7,10,1777554319,45.0,933.9
7,11,1777554323,49.0,937.5
7,12,1777554327,53.0,864.5
7,13,1777554331,57.0,805.1
7,14,1777554335,61.0,759.6
8,0,1777554383,5.0,1154.0
8,1,1777554387,9.0,1132.9
8,2,1777554391,13.0,1121.0
8,3,1777554395,17.0,1102.9
8,4,1777554399,21.0,1060.7
8,5,1777554403,25.0,1002.6
8,6,1777554407,29.0,941.3
8,7,1777554411,33.0,855.2
8,8,1777554415,37.0,780.1
8,9,1777554419,41.0,808.5
8,10,1777554423,45.0,956.4
8,11,1777554427,49.0,1087.6
8,12,1777554431,53.0,1029.0
8,13,1777554435,57.0,944.5
8,14,1777554439,61.0,880.9
8,15,1777554443,65.0,831.9
