replica_count,replica_pid,window_index,window_start_sec,time_since_stable_start_s,throughput_ops_per_sec
1,1,0,1777553689,5.0,609.5
1,1,1,1777553693,9.0,549.4
1,1,2,1777553697,13.0,500.4
1,1,3,1777553701,17.0,467.1
1,1,4,1777553705,21.0,455.7
1,1,5,1777553709,25.0,423.4
1,1,6,1777553713,29.0,401.8
1,1,7,1777553717,33.0,366.6
1,1,8,1777553721,37.0,344.1
1,1,9,1777553725,41.0,324.0
1,1,10,1777553729,45.0,333.5
1,1,11,1777553733,49.0,319.6
1,1,12,1777553737,53.0,299.9
2,1,0,1777553782,5.0,419.2
2,2,0,1777553782,5.0,403.8
2,1,1,1777553786,9.0,400.0
2,2,1,1777553786,9.0,361.9
2,1,2,1777553790,13.0,441.8
2,2,2,1777553790,13.0,409.0
2,1,3,1777553794,17.0,516.5
2,2,3,1777553794,17.0,493.0
2,1,4,1777553798,21.0,470.1
2,2,4,1777553798,21.0,466.7
2,1,5,1777553802,25.0,412.4
2,2,5,1777553802,25.0,417.8
2,1,6,1777553806,29.0,371.2
2,2,6,1777553806,29.0,383.0
2,1,7,1777553810,33.0,338.5
2,2,7,1777553810,33.0,349.9
2,1,8,1777553814,37.0,318.0
2,2,8,1777553814,37.0,321.9
2,1,9,1777553818,41.0,310.4
2,2,9,1777553818,41.0,316.9
2,1,10,1777553822,45.0,319.9
2,2,10,1777553822,45.0,325.7
2,1,11,1777553826,49.0,326.8
2,2,11,1777553826,49.0,328.2
2,1,12,1777553830,53.0,304.9
2,2,12,1777553830,53.0,305.1
2,1,13,1777553834,57.0,285.3
2,2,13,1777553834,57.0,285.6
3,1,0,1777553878,5.0,299.6
3,2,0,1777553878,5.0,284.6
3,3,0,1777553878,5.0,319.7
3,1,1,1777553882,9.0,280.6
3,2,1,1777553882,9.0,235.7
3,3,1,1777553882,9.0,268.2
3,1,2,1777553886,13.0,285.6
3,2,2,1777553886,13.0,202.2
3,3,2,1777553886,13.0,229.6
3,1,3,1777553890,17.0,289.0
3,2,3,1777553890,17.0,185.2
3,3,3,1777553890,17.0,184.3
3,1,4,1777553894,21.0,276.8
3,2,4,1777553894,21.0,176.9
3,3,4,1777553894,21.0,164.1
3,1,5,1777553898,25.0,235.1
3,2,5,1777553898,25.0,164.2
3,3,5,1777553898,25.0,155.6
3,1,6,1777553902,29.0,192.8
3,2,6,1777553902,29.0,158.3
3,3,6,1777553902,29.0,147.0
3,1,7,1777553906,33.0,271.9
3,2,7,1777553906,33.0,228.3
3,3,7,1777553906,33.0,238.7
3,1,8,1777553910,37.0,344.7
3,2,8,1777553910,37.0,298.2
3,3,8,1777553910,37.0,312.3
3,1,9,1777553914,41.0,371.6
3,2,9,1777553914,41.0,316.2
3,3,9,1777553914,41.0,315.7
3,1,10,1777553918,45.0,330.6
3,2,10,1777553918,45.0,266.5
3,3,10,1777553918,45.0,263.2
3,1,11,1777553922,49.0,298.1
3,2,11,1777553922,49.0,224.2
3,3,11,1777553922,49.0,220.8
3,1,12,1777553926,53.0,275.5
3,2,12,1777553926,53.0,202.2
3,3,12,1777553926,53.0,200.1
3,1,13,1777553930,57.0,257.9
3,2,13,1777553930,57.0,170.0
3,3,13,1777553930,57.0,189.7
4,1,0,1777553975,5.0,267.8
4,2,0,1777553975,5.0,294.2
4,3,0,1777553975,5.0,280.1
4,4,0,1777553975,5.0,253.4
4,1,1,1777553979,9.0,222.5
4,2,1,1777553979,9.0,286.2
4,3,1,1777553979,9.0,255.1
4,4,1,1777553979,9.0,211.0
4,1,2,1777553983,13.0,204.7
4,2,2,1777553983,13.0,263.4
4,3,2,1777553983,13.0,220.5
4,4,2,1777553983,13.0,180.2
4,1,3,1777553987,17.0,197.3
