series,replica_count,mean,min,max,count,std,ci95
Combined throughput,1,415.0,299.9,609.5,13,96.80059400644193,52.62140232029023
Combined throughput,2,743.1071428571429,570.9,1009.5,14,131.9158500086949,69.10174804646351
Combined throughput,3,737.9642857142857,498.1,1003.5,14,150.05786374771392,78.6051160069212
Combined throughput,4,635.4499999999999,376.5,1095.5,14,226.30420557634022,118.54539234338107
Combined throughput,5,852.9599999999999,628.9,1118.1,15,157.39185765833903,79.65126968914765
Combined throughput,6,928.9599999999999,712.9,1137.2,15,135.20513937822673,68.4232410761139
Combined throughput,7,939.3266666666666,759.6,1139.5,15,133.27257496610187,67.44522854438588
Combined throughput,8,980.59375,780.1,1154.0,16,123.73434160194441,60.62982738495276
Per-replica throughput,1,415.0,299.9,609.5,13,96.80059400644193,52.62140232029023
Per-replica throughput,2,371.55357142857144,285.3,516.5,28,65.254950044353,24.17077174866218
Per-replica throughput,3,245.98809523809524,147.0,371.6,42,58.76294336872994,17.771945270238337
Per-replica throughput,4,158.86249999999998,0.0,294.2,56,72.57318954620288,19.00808075231068
Per-replica throughput,5,170.59199999999998,108.9,235.8,75,34.517084528162634,7.811951633238499
Per-replica throughput,6,154.82666666666665,109.4,207.7,90,26.63164798050063,5.5021554768640915
Per-replica throughput,7,134.18952380952382,90.2,191.3,105,21.04864294826082,4.026108948980371
Per-replica throughput,8,122.57421875,84.5,155.5,128,16.990531156827963,2.94345935025382
