timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1786958952691811,ssh_command,,,,,"stockholm: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786958953033201,stale_process_cleanup_requested,,,,,stockholm,,,,,,,,,
1786958953033477,ssh_command,,,,,"frankfurt: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786958953789155,stale_process_cleanup_requested,,,,,frankfurt,,,,,,,,,
1786958953789440,ssh_command,,,,,"virginia: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786958955430726,stale_process_cleanup_requested,,,,,virginia,,,,,,,,,
1786958955431073,ssh_command,,,,,"oregon: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786958958032260,stale_process_cleanup_requested,,,,,oregon,,,,,,,,,
1786958958032597,ssh_command,,,,,"singapore: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786958961780709,stale_process_cleanup_requested,,,,,singapore,,,,,,,,,
1786958961781046,ssh_command,,,,,"tokyo: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786958965640357,stale_process_cleanup_requested,,,,,tokyo,,,,,,,,,
1786958965672389,ssh_command,,,,,stockholm: mkdir -p /home/ec2-user/gresse,,,,,,,,,
1786958966741576,ssh_command,,,,,stockholm: chmod 0755 /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
1786958967050063,binary_deployed,,,,,stockholm:/home/ec2-user/gresse/orset_bench_replica,,,,,,,,,7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32
1786958967050289,ssh_command,,,,,frankfurt: mkdir -p /home/ec2-user/gresse,,,,,,,,,
1786958968899780,ssh_command,,,,,frankfurt: chmod 0755 /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
1786958969379309,binary_deployed,,,,,frankfurt:/home/ec2-user/gresse/orset_bench_replica,,,,,,,,,7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32
1786958969379642,ssh_command,,,,,virginia: mkdir -p /home/ec2-user/gresse,,,,,,,,,
1786958975004903,ssh_command,,,,,virginia: chmod 0755 /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
1786958976510519,binary_deployed,,,,,virginia:/home/ec2-user/gresse/orset_bench_replica,,,,,,,,,7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32
1786958976510769,ssh_command,,,,,oregon: mkdir -p /home/ec2-user/gresse,,,,,,,,,
1786958985609410,ssh_command,,,,,oregon: chmod 0755 /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
1786958988570806,binary_deployed,,,,,oregon:/home/ec2-user/gresse/orset_bench_replica,,,,,,,,,7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32
1786958988571060,ssh_command,,,,,singapore: mkdir -p /home/ec2-user/gresse,,,,,,,,,
1786959002750321,ssh_command,,,,,singapore: chmod 0755 /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
1786959006532605,binary_deployed,,,,,singapore:/home/ec2-user/gresse/orset_bench_replica,,,,,,,,,7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32
1786959006532871,ssh_command,,,,,tokyo: mkdir -p /home/ec2-user/gresse,,,,,,,,,
1786959020533253,ssh_command,,,,,tokyo: chmod 0755 /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
1786959024512658,binary_deployed,,,,,tokyo:/home/ec2-user/gresse/orset_bench_replica,,,,,,,,,7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32
1786959024513016,ssh_command,,,,,stockholm: command -v setsid >/dev/null && command -v nohup >/dev/null && command -v sha256sum >/dev/null && command -v grep >/dev/null && command -v date >/dev/null && test -x /home/ec2-user/gresse/orset_bench_replica && date -u +%s%N && sha256sum /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
1786959024953799,preflight_ok,,,,,"1786959024934152731
7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32  /home/ec2-user/gresse/orset_bench_replica",,,,,,,200960,440390,7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32
1786959024954112,ssh_command,,,,,frankfurt: command -v setsid >/dev/null && command -v nohup >/dev/null && command -v sha256sum >/dev/null && command -v grep >/dev/null && command -v date >/dev/null && test -x /home/ec2-user/gresse/orset_bench_replica && date -u +%s%N && sha256sum /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
1786959025769564,preflight_ok,,,,,"1786959025754965182
7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32  /home/ec2-user/gresse/orset_bench_replica",,,,,,,393193,815357,7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32
1786959025769956,ssh_command,,,,,virginia: command -v setsid >/dev/null && command -v nohup >/dev/null && command -v sha256sum >/dev/null && command -v grep >/dev/null && command -v date >/dev/null && test -x /home/ec2-user/gresse/orset_bench_replica && date -u +%s%N && sha256sum /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
1786959027392269,preflight_ok,,,,,"1786959027339819865
7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32  /home/ec2-user/gresse/orset_bench_replica",,,,,,,758761,1622244,7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32
1786959027392542,ssh_command,,,,,oregon: command -v setsid >/dev/null && command -v nohup >/dev/null && command -v sha256sum >/dev/null && command -v grep >/dev/null && command -v date >/dev/null && test -x /home/ec2-user/gresse/orset_bench_replica && date -u +%s%N && sha256sum /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
1786959030596334,preflight_ok,,,,,"1786959030443515494
7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32  /home/ec2-user/gresse/orset_bench_replica",,,,,,,1449126,3203736,7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32
1786959030596609,ssh_command,,,,,singapore: command -v setsid >/dev/null && command -v nohup >/dev/null && command -v sha256sum >/dev/null && command -v grep >/dev/null && command -v date >/dev/null && test -x /home/ec2-user/gresse/orset_bench_replica && date -u +%s%N && sha256sum /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
1786959034503296,preflight_ok,,,,,"1786959034403127410
7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32  /home/ec2-user/gresse/orset_bench_replica",,,,,,,1853238,3906601,7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32
1786959034503649,ssh_command,,,,,tokyo: command -v setsid >/dev/null && command -v nohup >/dev/null && command -v sha256sum >/dev/null && command -v grep >/dev/null && command -v date >/dev/null && test -x /home/ec2-user/gresse/orset_bench_replica && date -u +%s%N && sha256sum /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
1786959038393436,preflight_ok,,,,,"1786959038258165185
7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32  /home/ec2-user/gresse/orset_bench_replica",,,,,,,1809684,3889715,7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32
1786959038393736,preflight_binary_verified,,,,,7aa89b7023477d21c815992b747f9a20ef6425649741cbbcc963f3e74853aa32,,,,,,,,,
