timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1786973325095347,ssh_command,,,,,"stockholm: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786973325738053,stale_process_cleanup_requested,,,,,stockholm,,,,,,,,,
1786973325738311,ssh_command,,,,,"frankfurt: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786973326491320,stale_process_cleanup_requested,,,,,frankfurt,,,,,,,,,
1786973326491663,ssh_command,,,,,"virginia: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786973328230033,stale_process_cleanup_requested,,,,,virginia,,,,,,,,,
1786973328230422,ssh_command,,,,,"oregon: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786973331148149,stale_process_cleanup_requested,,,,,oregon,,,,,,,,,
1786973331148546,ssh_command,,,,,"singapore: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786973335031546,stale_process_cleanup_requested,,,,,singapore,,,,,,,,,
1786973335031933,ssh_command,,,,,"tokyo: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786973338926677,stale_process_cleanup_requested,,,,,tokyo,,,,,,,,,
1786973338959730,ssh_command,,,,,stockholm: mkdir -p /home/ec2-user/gresse,,,,,,,,,
1786973340217113,ssh_command,,,,,stockholm: chmod 0755 /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
1786973340533507,binary_deployed,,,,,stockholm:/home/ec2-user/gresse/orset_bench_replica,,,,,,,,,ffd7c851a3754f99aa6e4d4d325c7b45a5369c78b8d8e1e9fab24c232d05b18d
1786973340533845,ssh_command,,,,,frankfurt: mkdir -p /home/ec2-user/gresse,,,,,,,,,
1786973342411852,ssh_command,,,,,frankfurt: chmod 0755 /home/ec2-user/gresse/orset_bench_replica,,,,,,,,,
