source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1777546839355810,1,,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1777546839421411,1,,,,,1777546839355824,1777546839421411,,,"1,127.0.0.1:19181,0",,,,,65587
server,persistent_state_fetch,completed,1777546839479440,1,,,,,1777546839421423,1777546839479440,,,persistent_snapshot_missing,,,,,58017
server,persistent_state_write,completed,1777546839537263,1,,,,,1777546839479449,1777546839537263,,,initial_snapshot,,,,,57814
server,persistent_state_fetch,completed,1777546839537269,1,,,,,,,,,initialized_new_persistent_snapshot,,,,,
server,membership_directory_read,completed,1777546839592542,1,,,,,1777546839537273,1777546839592542,,,init:1 descriptors,,,,,55269
server,replica_init,completed,1777546839592605,1,,,,,,,,,,,,,,
server,client_mutation,completed,1777546839592651,1,,,,1777546839592635,1777546839592649,1777546839592651,,,,,,,,2
server,client_mutation,completed,1777546839592659,1,,,,1777546839592656,1777546839592658,1777546839592659,,,,,,,,1
server,client_mutation,completed,1777546839592663,1,,,,1777546839592661,1777546839592662,1777546839592663,,,,,,,,1
server,client_mutation,completed,1777546839592666,1,,,,1777546839592664,1777546839592666,1777546839592666,,,,,,,,0
server,client_mutation,completed,1777546839592671,1,,,,1777546839592669,1777546839592670,1777546839592671,,,,,,,,1
server,client_mutation,completed,1777546839592674,1,,,,1777546839592673,1777546839592674,1777546839592674,,,,,,,,0
server,client_mutation,completed,1777546839592681,1,,,,1777546839592676,1777546839592680,1777546839592681,,,,,,,,1
server,client_mutation,completed,1777546839592685,1,,,,1777546839592683,1777546839592684,1777546839592685,,,,,,,,1
client,client_request,completed,1777546839593205,1,,,1777546839037848,1777546839593205,1777546839037848,1777546839593205,,,,client-1-3,Insert,11685715,200,555357
client,client_request,completed,1777546839593376,1,,,1777546839035019,1777546839593376,1777546839035019,1777546839593376,,,,client-1-0,Remove,13960681,200,558357
client,client_request,completed,1777546839593590,1,,,1777546839035995,1777546839593590,1777546839035995,1777546839593590,,,,client-1-2,Remove,4090459,200,557595
client,client_request,completed,1777546839593755,1,,,1777546839036152,1777546839593755,1777546839036152,1777546839593755,,,,client-1-1,Remove,13638562,200,557603
client,client_request,completed,1777546839594297,1,,,1777546839037094,1777546839594297,1777546839037094,1777546839594297,,,,client-1-4,Remove,12833413,200,557203
client,client_request,completed,1777546839594657,1,,,1777546839037713,1777546839594657,1777546839037713,1777546839594657,,,,client-1-5,Remove,7194642,200,556944
client,client_request,completed,1777546839594699,1,,,1777546839037513,1777546839594699,1777546839037513,1777546839594699,,,,client-1-6,Remove,13363955,200,557186
client,client_request,completed,1777546839595057,1,,,1777546839038289,1777546839595057,1777546839038289,1777546839595057,,,,client-1-7,Insert,-5721382,200,556768
server,client_mutation,completed,1777546839595856,1,,,,1777546839595839,1777546839595846,1777546839595856,,,,,,,,10
server,client_mutation,completed,1777546839595874,1,,,,1777546839595866,1777546839595872,1777546839595874,,,,,,,,2
server,client_mutation,completed,1777546839596040,1,,,,1777546839596034,1777546839596038,1777546839596040,,,,,,,,2
client,client_request,completed,1777546839596425,1,,,1777546839594766,1777546839596425,1777546839594766,1777546839596425,,,,client-1-4,Remove,-8949548,200,1659
server,client_mutation,completed,1777546839596473,1,,,,1777546839596467,1777546839596472,1777546839596473,,,,,,,,1
client,client_request,completed,1777546839596474,1,,,1777546839593931,1777546839596474,1777546839593931,1777546839596474,,,,client-1-0,Insert,3836821,200,2543
server,client_mutation,completed,1777546839596573,1,,,,1777546839596566,1777546839596570,1777546839596573,,,,,,,,3
server,client_mutation,completed,1777546839596712,1,,,,1777546839596706,1777546839596710,1777546839596712,,,,,,,,2
client,client_request,completed,1777546839596812,1,,,1777546839594572,1777546839596812,1777546839594572,1777546839596812,,,,client-1-1,Remove,10983596,200,2240
server,client_mutation,completed,1777546839597184,1,,,,1777546839597179,1777546839597182,1777546839597184,,,,,,,,2
client,client_request,completed,1777546839597249,1,,,1777546839595267,1777546839597249,1777546839595267,1777546839597249,,,,client-1-7,Remove,11775325,200,1982
client,client_request,completed,1777546839597401,1,,,1777546839594453,1777546839597401,1777546839594453,1777546839597401,,,,client-1-3,Insert,-7143879,200,2948
server,client_mutation,completed,1777546839597541,1,,,,1777546839597535,1777546839597540,1777546839597541,,,,,,,,1
client,client_request,completed,1777546839597591,1,,,1777546839594967,1777546839597591,1777546839594967,1777546839597591,,,,client-1-6,Insert,-1820902,200,2624
client,client_request,completed,1777546839598138,1,,,1777546839595168,1777546839598138,1777546839595168,1777546839598138,,,,client-1-2,Remove,-16030996,200,2970
client,client_request,completed,1777546839598174,1,,,1777546839595639,1777546839598174,1777546839595639,1777546839598174,,,,client-1-5,Remove,-835515,200,2535
server,client_mutation,completed,1777546839598516,1,,,,1777546839598510,1777546839598514,1777546839598516,,,,,,,,2
server,client_mutation,completed,1777546839598615,1,,,,1777546839598609,1777546839598613,1777546839598615,,,,,,,,2
server,client_mutation,completed,1777546839598834,1,,,,1777546839598830,1777546839598833,1777546839598834,,,,,,,,1
server,client_mutation,completed,1777546839598899,1,,,,1777546839598892,1777546839598897,1777546839598899,,,,,,,,2
client,client_request,completed,1777546839599063,1,,,1777546839596737,1777546839599063,1777546839596737,1777546839599063,,,,client-1-0,Insert,-4296655,200,2326
server,client_mutation,completed,1777546839599146,1,,,,1777546839599139,1777546839599144,1777546839599146,,,,,,,,2
client,client_request,completed,1777546839599243,1,,,1777546839597061,1777546839599243,1777546839597061,1777546839599243,,,,client-1-4,Insert,10704757,200,2182
client,client_request,completed,1777546839599483,1,,,1777546839596862,1777546839599483,1777546839596862,1777546839599483,,,,client-1-1,Remove,-7393052,200,2621
client,client_request,completed,1777546839599648,1,,,1777546839597656,1777546839599648,1777546839597656,1777546839599648,,,,client-1-6,Remove,2312777,200,1992
client,client_request,completed,1777546839601248,1,,,1777546839597503,1777546839601248,1777546839597503,1777546839601248,,,,client-1-3,Insert,1209720,200,3745
server,client_mutation,completed,1777546839601314,1,,,,1777546839601297,1777546839601310,1777546839601314,,,,,,,,4
server,client_mutation,completed,1777546839601822,1,,,,1777546839601813,1777546839601819,1777546839601822,,,,,,,,3
client,client_request,completed,1777546839602064,1,,,1777546839598277,1777546839602064,1777546839598277,1777546839602064,,,,client-1-2,Remove,-12858262,200,3787
server,client_mutation,completed,1777546839602255,1,,,,1777546839602246,1777546839602252,1777546839602255,,,,,,,,3
server,client_mutation,completed,1777546839602287,1,,,,1777546839602279,1777546839602284,1777546839602287,,,,,,,,3
client,client_request,completed,1777546839602741,1,,,1777546839597777,1777546839602741,1777546839597777,1777546839602741,,,,client-1-7,Insert,5634655,200,4964
client,client_request,completed,1777546839602943,1,,,1777546839599707,1777546839602943,1777546839599707,1777546839602943,,,,client-1-1,Insert,-1585669,200,3236
client,client_request,completed,1777546839603202,1,,,1777546839598612,1777546839603202,1777546839598612,1777546839603202,,,,client-1-5,Remove,-3833075,200,4590
server,client_mutation,completed,1777546839603219,1,,,,1777546839603211,1777546839603217,1777546839603219,,,,,,,,2
server,client_mutation,completed,1777546839603439,1,,,,1777546839603432,1777546839603436,1777546839603439,,,,,,,,3
client,client_request,completed,1777546839603527,1,,,1777546839599799,1777546839603527,1777546839599799,1777546839603527,,,,client-1-4,Remove,-1649388,200,3728
server,client_mutation,completed,1777546839603787,1,,,,1777546839603780,1777546839603784,1777546839603787,,,,,,,,3
server,client_mutation,completed,1777546839603884,1,,,,1777546839603869,1777546839603882,1777546839603884,,,,,,,,2
client,client_request,completed,1777546839603929,1,,,1777546839601341,1777546839603929,1777546839601341,1777546839603929,,,,client-1-6,Remove,-4426368,200,2588
client,client_request,completed,1777546839604360,1,,,1777546839601589,1777546839604360,1777546839601589,1777546839604360,,,,client-1-3,Remove,11402452,200,2771
server,client_mutation,completed,1777546839604396,1,,,,1777546839604386,1777546839604392,1777546839604396,,,,,,,,4
client,client_request,completed,1777546839604850,1,,,1777546839599319,1777546839604850,1777546839599319,1777546839604850,,,,client-1-0,Remove,2548366,200,5531
client,client_request,completed,1777546839605057,1,,,1777546839603257,1777546839605057,1777546839603257,1777546839605057,,,,client-1-1,Remove,4664136,200,1800
server,client_mutation,completed,1777546839605146,1,,,,1777546839605132,1777546839605143,1777546839605146,,,,,,,,3
server,client_mutation,completed,1777546839605203,1,,,,1777546839605196,1777546839605200,1777546839605203,,,,,,,,3
server,client_mutation,completed,1777546839605319,1,,,,1777546839605306,1777546839605316,1777546839605319,,,,,,,,3
client,client_request,completed,1777546839605765,1,,,1777546839603601,1777546839605765,1777546839603601,1777546839605765,,,,client-1-5,Remove,1436303,200,2164
server,client_mutation,completed,1777546839605896,1,,,,1777546839605887,1777546839605893,1777546839605896,,,,,,,,3
client,client_request,completed,1777546839606096,1,,,1777546839603063,1777546839606096,1777546839603063,1777546839606096,,,,client-1-7,Insert,16190082,200,3033
client,client_request,completed,1777546839606184,1,,,1777546839602655,1777546839606184,1777546839602655,1777546839606184,,,,client-1-2,Insert,6440543,200,3529
server,client_mutation,completed,1777546839606232,1,,,,1777546839606220,1777546839606227,1777546839606232,,,,,,,,5
server,client_mutation,completed,1777546839606334,1,,,,1777546839606312,1777546839606328,1777546839606334,,,,,,,,6
server,client_mutation,completed,1777546839606711,1,,,,1777546839606698,1777546839606708,1777546839606711,,,,,,,,3
client,client_request,completed,1777546839606970,1,,,1777546839603966,1777546839606970,1777546839603966,1777546839606970,,,,client-1-4,Insert,-2588424,200,3004
client,client_request,completed,1777546839607111,1,,,1777546839604194,1777546839607111,1777546839604194,1777546839607111,,,,client-1-6,Insert,14470434,200,2917
client,client_request,completed,1777546839607330,1,,,1777546839604620,1777546839607330,1777546839604620,1777546839607330,,,,client-1-3,Insert,-2910205,200,2710
server,client_mutation,completed,1777546839607607,1,,,,1777546839607599,1777546839607604,1777546839607607,,,,,,,,3
client,client_request,completed,1777546839607709,1,,,1777546839604922,1777546839607709,1777546839604922,1777546839607709,,,,client-1-0,Insert,15155721,200,2787
server,client_mutation,completed,1777546839607873,1,,,,1777546839607865,1777546839607871,1777546839607873,,,,,,,,2
server,client_mutation,completed,1777546839608167,1,,,,1777546839608159,1777546839608165,1777546839608167,,,,,,,,2
client,client_request,completed,1777546839608191,1,,,1777546839605284,1777546839608191,1777546839605284,1777546839608191,,,,client-1-1,Remove,-1549914,200,2907
server,client_mutation,completed,1777546839608255,1,,,,1777546839608243,1777546839608251,1777546839608255,,,,,,,,4
client,client_request,completed,1777546839608775,1,,,1777546839606321,1777546839608775,1777546839606321,1777546839608775,,,,client-1-7,Remove,3629063,200,2454
client,client_request,completed,1777546839608984,1,,,1777546839607165,1777546839608984,1777546839607165,1777546839608984,,,,client-1-6,Insert,-11983848,200,1819
server,client_mutation,completed,1777546839608988,1,,,,1777546839608973,1777546839608985,1777546839608988,,,,,,,,3
