second_bucket,combined_successful_requests,replica_1_successful_requests
1777546839,1379,1379
1777546840,3023,3023
1777546841,1881,1881
1777546842,1486,1486
1777546843,1162,1162
1777546844,930,930
1777546845,835,835
1777546846,579,579
1777546847,739,739
1777546848,650,650
1777546849,646,646
1777546850,600,600
1777546851,551,551
1777546852,552,552
1777546853,514,514
1777546854,490,490
1777546855,317,317
1777546857,1,1
1777546867,1,1
1777546869,2,2
1777546870,409,409
1777546871,416,416
1777546872,433,433
1777546873,408,408
1777546874,385,385
1777546875,379,379
1777546876,383,383
1777546877,384,384
1777546878,378,378
1777546879,362,362
1777546880,330,330
1777546881,319,319
1777546882,325,325
1777546883,320,320
1777546884,288,288
1777546885,239,239
1777546886,225,225
1777546887,227,227
1777546888,215,215
1777546889,207,207
1777546890,212,212
1777546891,213,213
1777546892,214,214
1777546893,213,213
1777546894,204,204
1777546895,201,201
1777546896,214,214
1777546897,197,197
1777546898,206,206
1777546899,199,199
1777546900,209,209
1777546901,203,203
1777546902,198,198
1777546903,212,212
1777546904,222,222
1777546905,192,192
1777546906,205,205
1777546907,188,188
1777546908,211,211
1777546909,193,193
1777546910,185,185
1777546911,183,183
1777546912,190,190
1777546913,182,182
1777546914,182,182
1777546915,190,190
1777546916,181,181
1777546917,184,184
1777546918,179,179
1777546919,169,169
1777546920,164,164
1777546921,169,169
1777546922,157,157
1777546923,160,160
1777546924,168,168
1777546925,170,170
1777546926,172,172
1777546927,168,168
1777546928,168,168
1777546929,28,28
