second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests
1777546934,1903,1903,0
1777546935,3100,2122,978
1777546936,3191,1498,1693
1777546937,2051,970,1081
1777546938,1774,863,911
1777546939,840,415,425
1777546941,378,196,182
1777546943,372,191,181
1777546945,377,192,185
1777546947,363,181,182
1777546949,361,170,191
1777546951,338,163,175
1777546953,319,150,169
1777546955,333,158,175
1777546956,173,82,91
1777546958,331,156,175
1777546959,1,1,0
1777546960,134,66,68
1777546965,328,158,170
1777546966,828,394,434
1777546967,822,377,445
1777546968,681,321,360
1777546969,652,314,338
1777546970,594,287,307
1777546971,620,300,320
1777546972,610,291,319
1777546973,598,294,304
1777546974,564,272,292
1777546975,556,271,285
1777546976,536,260,276
1777546977,520,258,262
1777546978,514,255,259
1777546979,490,240,250
1777546980,475,235,240
1777546981,459,227,232
1777546982,464,230,234
1777546983,461,229,232
1777546984,434,215,219
1777546985,421,211,210
1777546986,394,195,199
1777546987,373,185,188
1777546988,361,173,188
1777546989,513,258,255
1777546990,462,235,227
1777546991,479,242,237
1777546992,507,255,252
1777546993,470,238,232
1777546994,447,226,221
1777546995,426,215,211
1777546996,389,198,191
1777546997,158,85,73
1777546998,407,207,200
1777546999,373,188,185
1777547000,370,187,183
1777547001,372,189,183
1777547002,335,170,165
1777547003,353,178,175
1777547004,345,174,171
1777547005,336,166,170
1777547006,345,173,172
1777547007,315,158,157
1777547008,373,188,185
1777547009,373,185,188
1777547010,374,187,187
1777547011,373,186,187
1777547012,403,202,201
1777547013,390,197,193
1777547014,385,192,193
1777547015,379,191,188
1777547016,375,189,186
1777547017,369,185,184
1777547018,368,183,185
1777547019,362,180,182
1777547020,357,178,179
1777547021,352,176,176
1777547022,344,172,172
1777547023,348,175,173
1777547024,345,174,171
1777547025,127,43,84
