second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests
1777547032,2586,2586,0,0
1777547033,3025,1868,1157,0
1777547034,2958,1178,1266,514
1777547035,165,24,66,75
1777547036,360,158,0,202
1777547037,325,138,0,187
1777547038,183,101,0,82
1777547039,618,284,0,334
1777547040,143,71,0,72
1777547041,618,304,0,314
1777547042,147,59,0,88
1777547043,621,288,0,333
1777547044,135,48,0,87
1777547045,825,389,0,436
1777547046,291,127,0,164
1777547047,40,34,0,6
1777547048,633,314,0,319
1777547049,51,14,0,37
1777547050,686,329,0,357
1777547051,82,26,0,56
1777547052,637,293,0,344
1777547053,398,181,0,217
1777547054,2,1,0,1
1777547055,647,293,0,354
1777547057,157,57,0,100
1777547058,1,1,0,0
1777547063,733,349,0,384
1777547064,777,359,0,418
1777547065,844,386,0,458
1777547066,804,365,0,439
1777547067,707,332,0,375
1777547068,716,327,0,389
1777547069,680,313,0,367
1777547070,602,281,0,321
1777547071,593,283,0,310
1777547072,595,278,0,317
1777547073,573,274,0,299
1777547074,549,263,0,286
1777547075,542,259,0,283
1777547076,525,255,0,270
1777547077,386,160,0,226
1777547078,558,280,0,278
1777547079,528,269,0,259
1777547080,524,265,0,259
1777547081,476,244,0,232
1777547082,505,255,0,250
1777547083,481,245,0,236
1777547084,408,203,0,205
1777547085,432,215,0,217
1777547086,429,219,0,210
1777547087,428,218,0,210
1777547088,392,201,0,191
1777547089,404,205,0,199
1777547090,402,202,0,200
1777547091,382,190,0,192
1777547092,356,180,0,176
1777547093,1,1,0,0
1777547094,186,92,0,94
1777547095,390,195,0,195
1777547096,338,170,0,168
1777547097,379,189,0,190
1777547098,377,190,0,187
1777547099,369,186,0,183
1777547100,324,164,0,160
1777547101,343,173,0,170
1777547102,347,175,0,172
1777547103,362,187,0,175
1777547104,337,170,0,167
1777547105,344,173,0,171
1777547106,339,174,0,165
1777547107,327,165,0,162
1777547108,318,162,0,156
1777547109,317,162,0,155
1777547110,287,145,0,142
1777547111,289,145,0,144
1777547112,295,148,0,147
1777547113,300,154,0,146
1777547114,280,138,0,142
1777547115,276,138,0,138
1777547116,273,134,0,139
1777547117,275,138,0,137
1777547118,276,139,0,137
1777547119,269,138,0,131
1777547120,262,131,0,131
1777547121,230,115,0,115
1777547122,258,132,0,126
1777547123,260,135,0,125
1777547124,109,37,0,72
