second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests,replica_4_successful_requests
1777547139,497,497,0,0,0
1777547140,2981,2816,165,0,0
1777547141,2887,1366,1521,0,0
1777547142,2953,982,1017,954,0
1777547143,2707,713,744,747,503
1777547144,1502,366,372,374,390
1777547145,82,28,3,16,35
1777547146,484,110,118,117,139
1777547147,322,80,86,89,67
1777547148,76,21,25,7,23
1777547149,437,106,111,108,112
1777547150,263,65,67,62,69
1777547152,519,122,128,129,140
1777547154,497,117,121,123,136
1777547155,26,8,8,0,10
1777547156,93,25,27,12,29
1777547159,1,0,0,0,1
1777547169,1,0,0,0,1
1777547170,696,174,186,177,159
1777547172,1228,300,309,301,318
1777547173,1315,317,330,333,335
1777547174,1269,295,315,323,336
1777547175,1068,250,263,281,274
1777547176,1126,269,283,288,286
1777547177,1053,252,268,266,267
1777547178,993,238,254,252,249
1777547179,945,228,243,240,234
1777547180,911,220,227,238,226
1777547181,866,204,218,226,218
1777547182,848,203,217,215,213
1777547183,772,183,196,199,194
1777547184,762,186,196,190,190
1777547185,735,178,187,189,181
1777547186,719,175,179,185,180
1777547187,709,174,174,183,178
1777547188,317,81,83,79,74
1777547194,1,0,1,0,0
1777547201,97,57,15,17,8
1777547202,844,230,193,207,214
1777547203,9,2,3,2,2
1777547204,525,134,134,127,130
1777547205,808,205,203,199,201
1777547206,836,211,210,208,207
1777547207,827,208,209,205,205
1777547208,784,194,197,197,196
1777547209,751,190,188,188,185
1777547210,733,187,184,182,180
1777547211,700,174,179,174,173
1777547212,702,176,177,173,176
1777547213,636,158,162,158,158
1777547214,675,170,171,167,167
1777547215,673,169,169,166,169
1777547216,660,166,166,164,164
1777547217,643,161,162,161,159
1777547218,641,160,161,161,159
1777547219,622,155,156,157,154
1777547220,609,153,154,151,151
1777547221,586,146,149,146,145
1777547222,540,134,136,135,135
1777547223,585,147,148,145,145
1777547224,572,143,144,144,141
1777547225,565,142,141,143,139
1777547226,557,140,139,140,138
1777547227,152,40,40,32,40
1777547229,1,0,1,0,0
1777547232,213,50,50,55,58
1777547233,307,30,65,91,121
