second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests,replica_4_successful_requests,replica_5_successful_requests
1777547241,2743,2743,0,0,0,0
1777547242,3063,1622,1441,0,0,0
1777547243,1374,598,633,143,0,0
1777547244,330,104,106,120,0,0
1777547245,942,269,297,304,72,0
1777547246,1020,270,278,233,239,0
1777547247,11,0,4,3,4,0
1777547248,763,177,178,161,159,88
1777547249,1149,221,240,247,215,226
1777547250,27,8,8,3,5,3
1777547251,655,118,115,147,124,151
1777547252,553,116,117,89,116,115
1777547253,465,82,87,123,89,84
1777547254,676,137,141,118,141,139
1777547255,446,78,76,110,76,106
1777547256,702,147,153,125,153,124
1777547257,384,59,58,89,82,96
1777547258,487,101,101,76,102,107
1777547263,13,3,4,3,1,2
1777547264,510,88,92,106,119,105
1777547271,12,2,1,6,0,3
1777547272,1029,248,259,260,0,262
1777547273,1066,245,263,286,0,272
1777547274,1206,294,300,302,0,310
1777547275,1174,286,288,303,0,297
1777547276,1115,261,276,282,0,296
1777547277,1052,247,265,265,0,275
1777547278,1007,234,251,259,0,263
1777547279,921,225,221,232,0,243
1777547280,912,221,216,228,0,247
1777547281,849,204,200,209,0,236
1777547282,744,176,182,190,0,196
1777547283,794,184,203,194,0,213
1777547284,744,182,182,189,0,191
1777547285,710,172,180,173,0,185
1777547286,689,172,171,171,0,175
1777547287,673,166,163,170,0,174
1777547288,621,151,157,157,0,156
1777547289,22,8,0,7,0,7
1777547290,435,109,119,102,0,105
1777547291,7,2,2,1,0,2
1777547294,33,9,7,5,0,12
1777547295,462,110,113,119,0,120
1777547296,23,5,6,6,0,6
1777547297,1,0,0,0,0,1
1777547300,11,3,3,0,0,5
1777547301,5,3,0,2,0,0
1777547303,245,66,25,79,0,75
1777547304,601,149,161,147,0,144
1777547305,619,157,152,156,0,154
1777547306,618,155,155,154,0,154
1777547307,611,152,152,154,0,153
1777547308,508,126,124,128,0,130
1777547309,549,137,139,138,0,135
1777547310,531,133,132,133,0,133
1777547311,434,105,108,111,0,110
1777547312,519,130,129,129,0,131
1777547313,446,108,110,116,0,112
1777547314,493,123,121,125,0,124
1777547315,494,124,121,123,0,126
1777547316,481,121,120,120,0,120
1777547317,460,116,113,115,0,116
1777547318,463,117,116,115,0,115
1777547319,383,93,94,96,0,100
1777547320,452,111,112,115,0,114
1777547321,427,105,107,107,0,108
1777547322,446,112,109,113,0,112
1777547323,435,109,107,109,0,110
1777547324,440,109,108,111,0,112
1777547325,435,110,107,109,0,109
1777547326,418,104,106,104,0,104
1777547327,385,95,92,100,0,98
1777547328,422,105,103,108,0,106
1777547329,395,98,99,99,0,99
1777547330,357,88,89,90,0,90
1777547331,375,93,91,95,0,96
1777547332,382,99,96,97,0,90
1777547333,397,99,99,100,0,99
1777547334,391,98,97,98,0,98
1777547335,389,99,98,96,0,96
1777547336,380,98,94,92,0,96
1777547337,373,95,92,94,0,92
1777547338,324,78,84,81,0,81
1777547339,77,0,14,26,0,37
1777547340,24,0,0,0,0,24
