source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
client,client_request,completed,1777547359769382,5,,,1777547357588777,1777547359769382,1777547357588777,1777547359769382,,,,client-5-5,Insert,-12147828,200,2180605
client,client_request,completed,1777547359793530,5,,,1777547359772100,1777547359793530,1777547359772100,1777547359793530,,,,client-5-5,Remove,-8942231,200,21430
client,client_request,completed,1777547359860019,5,,,1777547359793605,1777547359860019,1777547359793605,1777547359860019,,,,client-5-5,Insert,-4695051,200,66414
client,client_request,completed,1777547359868243,5,,,1777547359860113,1777547359868243,1777547359860113,1777547359868243,,,,client-5-5,Remove,-7889735,200,8130
client,client_request,completed,1777547359878344,5,,,1777547359868746,1777547359878344,1777547359868746,1777547359878344,,,,client-5-5,Insert,243042,200,9598
client,client_request,completed,1777547359891973,5,,,1777547359878856,1777547359891973,1777547359878856,1777547359891973,,,,client-5-5,Remove,16475694,200,13117
client,client_request,completed,1777547359898040,5,,,1777547359893248,1777547359898040,1777547359893248,1777547359898040,,,,client-5-5,Insert,-14008010,200,4792
client,client_request,completed,1777547359905347,5,,,1777547359899119,1777547359905347,1777547359899119,1777547359905347,,,,client-5-5,Remove,-12968815,200,6228
client,client_request,completed,1777547359913002,5,,,1777547359905401,1777547359913002,1777547359905401,1777547359913002,,,,client-5-5,Insert,-10564797,200,7601
client,client_request,completed,1777547359921549,5,,,1777547359913068,1777547359921549,1777547359913068,1777547359921549,,,,client-5-5,Insert,-11964406,200,8481
client,client_request,completed,1777547359934232,5,,,1777547359922265,1777547359934232,1777547359922265,1777547359934232,,,,client-5-5,Insert,-9817780,200,11967
client,client_request,completed,1777547359944142,5,,,1777547359935099,1777547359944142,1777547359935099,1777547359944142,,,,client-5-5,Insert,9442983,200,9043
client,client_request,completed,1777547359958749,5,,,1777547359946802,1777547359958749,1777547359946802,1777547359958749,,,,client-5-5,Remove,12142454,200,11947
client,client_request,completed,1777547359972334,5,,,1777547359959814,1777547359972334,1777547359959814,1777547359972334,,,,client-5-5,Insert,10789676,200,12520
client,client_request,completed,1777547359987388,5,,,1777547359974552,1777547359987388,1777547359974552,1777547359987388,,,,client-5-5,Remove,-14188631,200,12836
client,client_request,completed,1777547359997441,5,,,1777547359988211,1777547359997441,1777547359988211,1777547359997441,,,,client-5-5,Insert,9372505,200,9230
client,client_request,completed,1777547360005602,5,,,1777547359997527,1777547360005602,1777547359997527,1777547360005602,,,,client-5-5,Insert,-4777001,200,8075
client,client_request,completed,1777547360010376,5,,,1777547360006615,1777547360010376,1777547360006615,1777547360010376,,,,client-5-5,Remove,11179595,200,3761
client,client_request,completed,1777547360020910,5,,,1777547360011081,1777547360020910,1777547360011081,1777547360020910,,,,client-5-5,Insert,15135203,200,9829
client,client_request,completed,1777547360030226,5,,,1777547360021550,1777547360030226,1777547360021550,1777547360030226,,,,client-5-5,Remove,-3053425,200,8676
client,client_request,completed,1777547360106607,5,,,1777547360084257,1777547360106607,1777547360084257,1777547360106607,,,,client-5-5,Insert,9460595,200,22350
client,client_request,completed,1777547360123223,5,,,1777547360107577,1777547360123223,1777547360107577,1777547360123223,,,,client-5-5,Insert,-3054957,200,15646
client,client_request,completed,1777547360149049,5,,,1777547360124437,1777547360149049,1777547360124437,1777547360149049,,,,client-5-5,Insert,14685626,200,24612
client,client_request,completed,1777547360170682,5,,,1777547360152629,1777547360170682,1777547360152629,1777547360170682,,,,client-5-5,Insert,-12921638,200,18053
client,client_request,completed,1777547360188452,5,,,1777547360170755,1777547360188452,1777547360170755,1777547360188452,,,,client-5-5,Insert,-13857965,200,17697
client,client_request,completed,1777547360212387,5,,,1777547360189969,1777547360212387,1777547360189969,1777547360212387,,,,client-5-5,Remove,14733578,200,22418
client,client_request,completed,1777547360232576,5,,,1777547360212489,1777547360232576,1777547360212489,1777547360232576,,,,client-5-5,Insert,7300027,200,20087
client,client_request,completed,1777547360256675,5,,,1777547360237117,1777547360256675,1777547360237117,1777547360256675,,,,client-5-5,Insert,11781202,200,19558
client,client_request,completed,1777547360774856,5,,,1777547360260718,1777547360774856,1777547360260718,1777547360774856,,,,client-5-5,Remove,-6987153,200,514138
client,client_request,completed,1777547360795851,5,,,1777547360774981,1777547360795851,1777547360774981,1777547360795851,,,OSError: [Errno 49] Can't assign requested address,client-5-5,Remove,4162301,,20870
client,client_request,completed,1777547360823767,5,,,1777547360795915,1777547360823767,1777547360795915,1777547360823767,,,OSError: [Errno 49] Can't assign requested address,client-5-5,Remove,8630420,,27852
client,client_request,completed,1777547360849587,5,,,1777547360823835,1777547360849587,1777547360823835,1777547360849587,,,OSError: [Errno 49] Can't assign requested address,client-5-5,Remove,-6619635,,25752
client,client_request,completed,1777547360873134,5,,,1777547360849661,1777547360873134,1777547360849661,1777547360873134,,,OSError: [Errno 49] Can't assign requested address,client-5-5,Insert,14854361,,23473
client,client_request,completed,1777547360892859,5,,,1777547360873201,1777547360892859,1777547360873201,1777547360892859,,,OSError: [Errno 49] Can't assign requested address,client-5-5,Remove,9195361,,19658
