second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests,replica_4_successful_requests,replica_5_successful_requests,replica_6_successful_requests
1777547353,2084,2084,0,0,0,0,0
1777547354,2514,1472,1042,0,0,0,0
1777547355,2575,1036,1055,484,0,0,0
1777547356,2454,746,727,785,196,0,0
1777547357,2241,551,543,548,599,0,0
1777547358,13,1,2,6,4,0,0
1777547359,396,78,72,62,62,122,0
1777547360,437,65,61,80,78,97,56
1777547361,462,68,73,66,69,72,114
1777547362,402,82,60,61,61,77,61
1777547363,602,102,99,99,103,102,97
1777547364,49,0,9,12,8,11,9
1777547365,249,49,51,29,31,33,56
1777547366,564,90,91,90,101,96,96
1777547367,435,67,68,88,70,72,70
1777547368,175,34,38,19,19,24,41
1777547369,590,99,97,92,96,100,106
1777547370,21,3,4,3,4,4,3
1777547372,7,0,1,1,3,2,0
1777547373,6,3,1,0,0,2,0
1777547374,10,0,3,1,4,0,2
1777547375,3,0,0,0,0,3,0
1777547376,2,2,0,0,0,0,0
1777547380,1,0,0,0,1,0,0
1777547383,1,0,0,0,1,0,0
1777547384,112,0,0,0,112,0,0
1777547385,140,0,0,0,140,0,0
1777547386,129,0,0,0,129,0,0
1777547387,108,0,0,0,108,0,0
1777547388,86,0,0,0,86,0,0
1777547389,96,0,0,0,96,0,0
1777547390,80,0,0,0,80,0,0
1777547391,95,0,0,0,95,0,0
1777547392,94,0,0,0,94,0,0
1777547393,121,0,0,0,121,0,0
1777547394,85,0,0,0,85,0,0
1777547395,117,0,0,0,117,0,0
1777547396,106,0,0,0,106,0,0
1777547397,116,0,0,0,116,0,0
1777547398,90,0,0,0,90,0,0
1777547399,85,0,0,0,85,0,0
1777547400,80,0,0,0,80,0,0
1777547401,75,0,0,0,75,0,0
1777547402,80,0,0,0,80,0,0
1777547403,85,0,0,0,85,0,0
1777547404,102,0,0,0,102,0,0
1777547405,82,0,0,0,82,0,0
1777547406,101,0,0,0,101,0,0
1777547407,62,0,0,0,62,0,0
1777547408,80,0,0,0,80,0,0
1777547409,91,0,0,0,91,0,0
1777547410,85,0,0,0,85,0,0
1777547411,61,0,0,0,61,0,0
1777547412,102,0,0,0,102,0,0
1777547413,117,0,0,0,117,0,0
1777547414,81,0,0,0,81,0,0
1777547415,99,0,0,0,99,0,0
1777547416,82,0,0,0,82,0,0
1777547417,92,0,0,0,92,0,0
1777547418,78,0,0,0,78,0,0
1777547419,72,0,0,0,72,0,0
1777547420,94,0,0,0,94,0,0
1777547421,71,0,0,0,71,0,0
1777547422,91,0,0,0,91,0,0
1777547423,62,0,0,0,62,0,0
1777547424,89,0,0,0,89,0,0
1777547425,70,0,0,0,70,0,0
1777547426,103,0,0,0,103,0,0
1777547427,73,0,0,0,73,0,0
1777547428,72,0,0,0,72,0,0
1777547429,71,0,0,0,71,0,0
1777547430,96,0,0,0,96,0,0
1777547431,63,0,0,0,63,0,0
1777547432,58,0,0,0,58,0,0
1777547433,63,0,0,0,63,0,0
1777547434,64,0,0,0,64,0,0
1777547435,79,0,0,0,79,0,0
1777547436,84,0,0,0,84,0,0
1777547437,73,0,0,0,73,0,0
1777547438,74,0,0,0,74,0,0
1777547439,80,0,0,0,80,0,0
1777547440,62,0,0,0,62,0,0
1777547441,60,0,0,0,60,0,0
1777547442,76,0,0,0,76,0,0
1777547443,89,0,0,0,89,0,0
1777547444,70,0,0,0,70,0,0
1777547445,74,0,0,0,74,0,0
1777547446,90,0,0,0,90,0,0
1777547447,61,0,0,0,61,0,0
1777547448,76,0,0,0,76,0,0
1777547449,59,0,0,0,59,0,0
1777547450,8,0,0,0,8,0,0
