second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests,replica_4_successful_requests,replica_5_successful_requests,replica_6_successful_requests,replica_7_successful_requests
1777547463,1993,1993,0,0,0,0,0,0
1777547464,2466,1372,1094,0,0,0,0,0
1777547465,2116,839,819,458,0,0,0,0
1777547466,2243,688,669,693,193,0,0,0
1777547467,2242,510,539,550,604,39,0,0
1777547468,2229,444,427,436,444,478,0,0
1777547469,2067,354,337,344,360,367,305,0
1777547470,173,30,11,38,35,36,23,0
1777547471,109,37,25,0,2,2,43,0
1777547472,10,3,5,0,0,0,2,0
1777547473,94,3,0,29,29,29,4,0
1777547474,120,29,34,27,1,2,27,0
1777547475,83,15,15,16,16,6,15,0
1777547476,12,2,3,3,3,0,1,0
1777547477,4,0,0,1,2,1,0,0
