second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests,replica_4_successful_requests,replica_5_successful_requests,replica_6_successful_requests,replica_7_successful_requests,replica_8_successful_requests
1777547576,1348,1348,0,0,0,0,0,0,0
1777547577,1821,1198,623,0,0,0,0,0,0
1777547578,2078,875,876,327,0,0,0,0,0
1777547579,2004,626,627,661,90,0,0,0,0
1777547580,1953,482,479,488,504,0,0,0,0
1777547581,1635,328,330,335,333,309,0,0,0
1777547582,1829,311,322,316,332,339,209,0,0
1777547583,1784,274,273,282,285,289,297,84,0
1777547584,1560,219,218,212,216,221,225,218,31
1777547585,247,22,31,32,32,34,29,32,35
1777547586,9,0,0,2,3,1,0,2,1
1777547597,1,0,0,0,0,0,0,0,1
