source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1777547582218899,6,,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1777547582288972,6,,,,,1777547582218918,1777547582288972,,,"6,127.0.0.1:19886,0",,,,,70054
server,persistent_state_fetch,completed,1777547582345432,6,,,,,1777547582288991,1777547582345432,,,restored_existing_snapshot,,,,,56441
server,membership_directory_read,completed,1777547582404329,6,,,,,1777547582345440,1777547582404329,,,init:6 descriptors,,,,,58889
server,replica_init,completed,1777547582404411,6,,,,,,,,,,,,,,
server,client_mutation,completed,1777547582404502,6,,,,1777547582404475,1777547582404497,1777547582404502,,,,,,,,5
server,client_mutation,completed,1777547582404514,6,,,,1777547582404507,1777547582404512,1777547582404514,,,,,,,,2
server,client_mutation,completed,1777547582404524,6,,,,1777547582404518,1777547582404521,1777547582404524,,,,,,,,3
server,client_mutation,completed,1777547582404541,6,,,,1777547582404535,1777547582404539,1777547582404541,,,,,,,,2
server,client_mutation,completed,1777547582404552,6,,,,1777547582404545,1777547582404549,1777547582404552,,,,,,,,3
server,client_mutation,completed,1777547582404562,6,,,,1777547582404556,1777547582404559,1777547582404562,,,,,,,,3
server,client_mutation,completed,1777547582404573,6,,,,1777547582404565,1777547582404570,1777547582404573,,,,,,,,3
server,client_mutation,completed,1777547582404582,6,,,,1777547582404577,1777547582404580,1777547582404582,,,,,,,,2
server,client_mutation,completed,1777547582418911,6,,,,1777547582418902,1777547582418907,1777547582418911,,,,,,,,4
server,client_mutation,completed,1777547582422730,6,,,,1777547582422718,1777547582422727,1777547582422730,,,,,,,,3
server,client_mutation,completed,1777547582422778,6,,,,1777547582422769,1777547582422776,1777547582422778,,,,,,,,2
server,client_mutation,completed,1777547582423099,6,,,,1777547582423092,1777547582423097,1777547582423099,,,,,,,,2
server,client_mutation,completed,1777547582426946,6,,,,1777547582426936,1777547582426943,1777547582426946,,,,,,,,3
server,client_mutation,completed,1777547582427279,6,,,,1777547582427269,1777547582427276,1777547582427279,,,,,,,,3
server,client_mutation,completed,1777547582427297,6,,,,1777547582427290,1777547582427294,1777547582427297,,,,,,,,3
server,client_mutation,completed,1777547582429661,6,,,,1777547582429648,1777547582429657,1777547582429661,,,,,,,,4
server,client_mutation,completed,1777547582436111,6,,,,1777547582436088,1777547582436106,1777547582436111,,,,,,,,5
server,client_mutation,completed,1777547582441573,6,,,,1777547582441554,1777547582441569,1777547582441573,,,,,,,,4
server,client_mutation,completed,1777547582441917,6,,,,1777547582441909,1777547582441914,1777547582441917,,,,,,,,3
server,client_mutation,completed,1777547582443359,6,,,,1777547582443347,1777547582443355,1777547582443359,,,,,,,,4
server,client_mutation,completed,1777547582444160,6,,,,1777547582444148,1777547582444157,1777547582444160,,,,,,,,3
server,client_mutation,completed,1777547582444388,6,,,,1777547582444378,1777547582444385,1777547582444388,,,,,,,,3
server,client_mutation,completed,1777547582446318,6,,,,1777547582446307,1777547582446314,1777547582446318,,,,,,,,4
server,client_mutation,completed,1777547582451582,6,,,,1777547582451571,1777547582451579,1777547582451582,,,,,,,,3
server,client_mutation,completed,1777547582452909,6,,,,1777547582452897,1777547582452906,1777547582452909,,,,,,,,3
server,peer_replication_connection,established,1777547582456685,6,3,,,,,,,,,,,,,
server,client_mutation,completed,1777547582459037,6,,,,1777547582459022,1777547582459032,1777547582459037,,,,,,,,5
server,client_mutation,completed,1777547582462228,6,,,,1777547582462200,1777547582462221,1777547582462228,,,,,,,,7
server,client_mutation,completed,1777547582462543,6,,,,1777547582462533,1777547582462540,1777547582462543,,,,,,,,3
server,client_mutation,completed,1777547582464046,6,,,,1777547582464025,1777547582464042,1777547582464046,,,,,,,,4
server,client_mutation,completed,1777547582464733,6,,,,1777547582464720,1777547582464729,1777547582464733,,,,,,,,4
server,client_mutation,completed,1777547582468857,6,,,,1777547582468834,1777547582468853,1777547582468857,,,,,,,,4
server,client_mutation,completed,1777547582474038,6,,,,1777547582474017,1777547582474034,1777547582474038,,,,,,,,4
server,client_mutation,completed,1777547582478064,6,,,,1777547582478039,1777547582478060,1777547582478064,,,,,,,,4
server,client_mutation,completed,1777547582479444,6,,,,1777547582479422,1777547582479440,1777547582479444,,,,,,,,4
server,client_mutation,completed,1777547582481210,6,,,,1777547582481185,1777547582481204,1777547582481210,,,,,,,,6
server,client_mutation,completed,1777547582483641,6,,,,1777547582483626,1777547582483636,1777547582483641,,,,,,,,5
server,client_mutation,completed,1777547582484600,6,,,,1777547582484564,1777547582484576,1777547582484600,,,,,,,,24
server,client_mutation,completed,1777547582489840,6,,,,1777547582489827,1777547582489836,1777547582489840,,,,,,,,4
server,client_mutation,completed,1777547582490245,6,,,,1777547582490232,1777547582490241,1777547582490245,,,,,,,,4
server,client_mutation,completed,1777547582493771,6,,,,1777547582493749,1777547582493767,1777547582493771,,,,,,,,4
server,client_mutation,completed,1777547582496533,6,,,,1777547582496516,1777547582496527,1777547582496533,,,,,,,,6
server,client_mutation,completed,1777547582504927,6,,,,1777547582504911,1777547582504922,1777547582504927,,,,,,,,5
server,client_mutation,completed,1777547582505887,6,,,,1777547582505864,1777547582505881,1777547582505887,,,,,,,,6
server,client_mutation,completed,1777547582507252,6,,,,1777547582507234,1777547582507247,1777547582507252,,,,,,,,5
server,client_mutation,completed,1777547582508685,6,,,,1777547582508670,1777547582508680,1777547582508685,,,,,,,,5
server,client_mutation,completed,1777547582508738,6,,,,1777547582508727,1777547582508734,1777547582508738,,,,,,,,4
server,client_mutation,completed,1777547582510859,6,,,,1777547582510845,1777547582510855,1777547582510859,,,,,,,,4
server,client_mutation,completed,1777547582515845,6,,,,1777547582515828,1777547582515840,1777547582515845,,,,,,,,5
server,client_mutation,completed,1777547582515865,6,,,,1777547582515853,1777547582515858,1777547582515865,,,,,,,,7
server,client_mutation,completed,1777547582524802,6,,,,1777547582524724,1777547582524776,1777547582524802,,,,,,,,26
server,client_mutation,completed,1777547582526852,6,,,,1777547582526818,1777547582526845,1777547582526852,,,,,,,,7
server,client_mutation,completed,1777547582528690,6,,,,1777547582528655,1777547582528683,1777547582528690,,,,,,,,7
server,client_mutation,completed,1777547582532537,6,,,,1777547582532515,1777547582532530,1777547582532537,,,,,,,,7
server,client_mutation,completed,1777547582536656,6,,,,1777547582536636,1777547582536650,1777547582536656,,,,,,,,6
server,client_mutation,completed,1777547582537011,6,,,,1777547582536997,1777547582537006,1777547582537011,,,,,,,,5
server,client_mutation,completed,1777547582539260,6,,,,1777547582539245,1777547582539256,1777547582539260,,,,,,,,4
server,client_mutation,completed,1777547582542393,6,,,,1777547582542322,1777547582542376,1777547582542393,,,,,,,,17
server,client_mutation,completed,1777547582542603,6,,,,1777547582542574,1777547582542595,1777547582542603,,,,,,,,8
server,client_mutation,completed,1777547582549359,6,,,,1777547582549338,1777547582549352,1777547582549359,,,,,,,,7
server,client_mutation,completed,1777547582551475,6,,,,1777547582551454,1777547582551468,1777547582551475,,,,,,,,7
server,client_mutation,completed,1777547582553454,6,,,,1777547582553429,1777547582553445,1777547582553454,,,,,,,,9
server,client_mutation,completed,1777547582561675,6,,,,1777547582561656,1777547582561669,1777547582561675,,,,,,,,6
server,client_mutation,completed,1777547582562001,6,,,,1777547582561972,1777547582561997,1777547582562001,,,,,,,,4
server,client_mutation,completed,1777547582569132,6,,,,1777547582569109,1777547582569124,1777547582569132,,,,,,,,8
server,client_mutation,completed,1777547582571359,6,,,,1777547582571313,1777547582571351,1777547582571359,,,,,,,,8
server,client_mutation,completed,1777547582574560,6,,,,1777547582574530,1777547582574552,1777547582574560,,,,,,,,8
server,client_mutation,completed,1777547582575231,6,,,,1777547582575210,1777547582575223,1777547582575231,,,,,,,,8
server,client_mutation,completed,1777547582576279,6,,,,1777547582576260,1777547582576274,1777547582576279,,,,,,,,5
server,client_mutation,completed,1777547582576728,6,,,,1777547582576709,1777547582576723,1777547582576728,,,,,,,,5
server,client_mutation,completed,1777547582583392,6,,,,1777547582583361,1777547582583386,1777547582583392,,,,,,,,6
server,client_mutation,completed,1777547582585940,6,,,,1777547582585914,1777547582585934,1777547582585940,,,,,,,,6
server,client_mutation,completed,1777547582591095,6,,,,1777547582591077,1777547582591089,1777547582591095,,,,,,,,6
server,client_mutation,completed,1777547582592929,6,,,,1777547582592912,1777547582592924,1777547582592929,,,,,,,,5
server,client_mutation,completed,1777547582595108,6,,,,1777547582595080,1777547582595099,1777547582595108,,,,,,,,9
server,client_mutation,completed,1777547582599163,6,,,,1777547582599144,1777547582599158,1777547582599163,,,,,,,,5
server,client_mutation,completed,1777547582599655,6,,,,1777547582599637,1777547582599649,1777547582599655,,,,,,,,6
server,client_mutation,completed,1777547582599831,6,,,,1777547582599813,1777547582599825,1777547582599831,,,,,,,,6
server,client_mutation,completed,1777547582601881,6,,,,1777547582601860,1777547582601875,1777547582601881,,,,,,,,6
server,client_mutation,completed,1777547582606854,6,,,,1777547582606835,1777547582606848,1777547582606854,,,,,,,,6
server,client_mutation,completed,1777547582613083,6,,,,1777547582613062,1777547582613077,1777547582613083,,,,,,,,6
server,client_mutation,completed,1777547582615110,6,,,,1777547582615080,1777547582615103,1777547582615110,,,,,,,,7
server,client_mutation,completed,1777547582616931,6,,,,1777547582616912,1777547582616925,1777547582616931,,,,,,,,6
server,client_mutation,completed,1777547582619473,6,,,,1777547582619453,1777547582619466,1777547582619473,,,,,,,,7
server,client_mutation,completed,1777547582620351,6,,,,1777547582620325,1777547582620341,1777547582620351,,,,,,,,10
server,client_mutation,completed,1777547582621365,6,,,,1777547582621345,1777547582621359,1777547582621365,,,,,,,,6
server,client_mutation,completed,1777547582623268,6,,,,1777547582623246,1777547582623262,1777547582623268,,,,,,,,6
server,client_mutation,completed,1777547582632080,6,,,,1777547582632059,1777547582632073,1777547582632080,,,,,,,,7
server,client_mutation,completed,1777547582633284,6,,,,1777547582633265,1777547582633278,1777547582633284,,,,,,,,6
server,client_mutation,completed,1777547582634076,6,,,,1777547582634058,1777547582634069,1777547582634076,,,,,,,,7
server,client_mutation,completed,1777547582635158,6,,,,1777547582635140,1777547582635152,1777547582635158,,,,,,,,6
server,client_mutation,completed,1777547582636948,6,,,,1777547582636915,1777547582636941,1777547582636948,,,,,,,,7
server,client_mutation,completed,1777547582638099,6,,,,1777547582638080,1777547582638093,1777547582638099,,,,,,,,6
server,client_mutation,completed,1777547582641473,6,,,,1777547582641445,1777547582641466,1777547582641473,,,,,,,,7
server,client_mutation,completed,1777547582642338,6,,,,1777547582642319,1777547582642332,1777547582642338,,,,,,,,6
server,client_mutation,completed,1777547582646978,6,,,,1777547582646948,1777547582646968,1777547582646978,,,,,,,,10
server,client_mutation,completed,1777547582648553,6,,,,1777547582648523,1777547582648543,1777547582648553,,,,,,,,10
server,client_mutation,completed,1777547582655751,6,,,,1777547582655729,1777547582655744,1777547582655751,,,,,,,,7
server,client_mutation,completed,1777547582656308,6,,,,1777547582656275,1777547582656301,1777547582656308,,,,,,,,7
server,client_mutation,completed,1777547582656476,6,,,,1777547582656459,1777547582656470,1777547582656476,,,,,,,,6
server,client_mutation,completed,1777547582658304,6,,,,1777547582658272,1777547582658293,1777547582658304,,,,,,,,11
server,client_mutation,completed,1777547582662489,6,,,,1777547582662457,1777547582662482,1777547582662489,,,,,,,,7
server,client_mutation,completed,1777547582663585,6,,,,1777547582663565,1777547582663578,1777547582663585,,,,,,,,7
server,client_mutation,completed,1777547582667176,6,,,,1777547582667152,1777547582667169,1777547582667176,,,,,,,,7
server,client_mutation,completed,1777547582671585,6,,,,1777547582671563,1777547582671578,1777547582671585,,,,,,,,7
server,client_mutation,completed,1777547582671895,6,,,,1777547582671874,1777547582671888,1777547582671895,,,,,,,,7
server,client_mutation,completed,1777547582672471,6,,,,1777547582672447,1777547582672464,1777547582672471,,,,,,,,7
server,client_mutation,completed,1777547582675986,6,,,,1777547582675954,1777547582675978,1777547582675986,,,,,,,,8
server,client_mutation,completed,1777547582678698,6,,,,1777547582678675,1777547582678692,1777547582678698,,,,,,,,6
server,client_mutation,completed,1777547582680303,6,,,,1777547582680266,1777547582680291,1777547582680303,,,,,,,,12
server,client_mutation,completed,1777547582680335,6,,,,1777547582680309,1777547582680323,1777547582680335,,,,,,,,12
server,client_mutation,completed,1777547582683703,6,,,,1777547582683672,1777547582683695,1777547582683703,,,,,,,,8
server,peer_replication_connection,established,1777547582687732,6,4,,,,,,,,,,,,,
server,client_mutation,completed,1777547582690113,6,,,,1777547582690079,1777547582690102,1777547582690113,,,,,,,,11
server,client_mutation,completed,1777547582693753,6,,,,1777547582693723,1777547582693745,1777547582693753,,,,,,,,8
server,client_mutation,completed,1777547582696007,6,,,,1777547582695969,1777547582696000,1777547582696007,,,,,,,,7
server,client_mutation,completed,1777547582700968,6,,,,1777547582700945,1777547582700961,1777547582700968,,,,,,,,7
server,client_mutation,completed,1777547582702683,6,,,,1777547582702659,1777547582702675,1777547582702683,,,,,,,,8
server,client_mutation,completed,1777547582703878,6,,,,1777547582703857,1777547582703871,1777547582703878,,,,,,,,7
server,client_mutation,completed,1777547582705805,6,,,,1777547582705781,1777547582705797,1777547582705805,,,,,,,,8
server,client_mutation,completed,1777547582709559,6,,,,1777547582709527,1777547582709547,1777547582709559,,,,,,,,12
server,client_mutation,completed,1777547582712579,6,,,,1777547582712544,1777547582712568,1777547582712579,,,,,,,,11
server,client_mutation,completed,1777547582712985,6,,,,1777547582712961,1777547582712977,1777547582712985,,,,,,,,8
server,client_mutation,completed,1777547582721538,6,,,,1777547582721512,1777547582721529,1777547582721538,,,,,,,,9
server,client_mutation,completed,1777547582722153,6,,,,1777547582722129,1777547582722145,1777547582722153,,,,,,,,8
server,client_mutation,completed,1777547582723949,6,,,,1777547582723922,1777547582723941,1777547582723949,,,,,,,,8
server,client_mutation,completed,1777547582724449,6,,,,1777547582724409,1777547582724440,1777547582724449,,,,,,,,9
server,client_mutation,completed,1777547582727467,6,,,,1777547582727412,1777547582727452,1777547582727467,,,,,,,,15
server,client_mutation,completed,1777547582729105,6,,,,1777547582729071,1777547582729092,1777547582729105,,,,,,,,13
