second_bucket,combined_successful_requests,replica_1_successful_requests
1777559768,595,595
1777559769,1217,1217
1777559770,1229,1229
1777559771,1365,1365
1777559772,1326,1326
1777559773,1244,1244
1777559774,1196,1196
1777559775,1132,1132
1777559776,1253,1253
1777559777,1254,1254
1777559778,1192,1192
1777559779,1123,1123
1777559780,1046,1046
1777559781,679,679
1777559782,907,907
1777559783,867,867
1777559784,850,850
1777559785,795,795
1777559786,767,767
1777559787,740,740
1777559788,713,713
1777559789,690,690
1777559790,628,628
1777559791,663,663
1777559792,633,633
1777559793,607,607
1777559794,590,590
1777559795,578,578
1777559796,561,561
1777559797,560,560
1777559798,560,560
1777559799,549,549
1777559800,533,533
1777559801,506,506
1777559802,484,484
1777559803,483,483
1777559804,471,471
1777559805,486,486
1777559806,478,478
1777559807,454,454
1777559808,457,457
1777559809,461,461
1777559810,458,458
1777559811,443,443
1777559812,427,427
1777559813,422,422
1777559814,429,429
1777559815,427,427
1777559816,412,412
1777559817,408,408
1777559818,406,406
1777559819,392,392
1777559820,395,395
1777559821,390,390
1777559822,382,382
1777559823,372,372
1777559824,374,374
1777559825,365,365
1777559826,365,365
1777559827,359,359
1777559828,355,355
1777559829,348,348
1777559830,350,350
1777559831,349,349
1777559832,340,340
1777559833,338,338
1777559834,329,329
1777559835,332,332
1777559836,332,332
1777559837,322,322
1777559838,321,321
1777559839,314,314
1777559840,311,311
1777559841,309,309
1777559842,307,307
1777559843,310,310
1777559844,304,304
1777559845,301,301
1777559846,303,303
1777559847,299,299
1777559848,295,295
1777559849,291,291
1777559850,293,293
1777559851,288,288
1777559852,267,267
1777559853,287,287
1777559854,285,285
1777559855,280,280
1777559856,277,277
1777559857,279,279
1777559858,144,144
