second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests
1777559861,210,210,0
1777559862,1214,1214,0
1777559863,1078,567,511
1777559864,1083,542,541
1777559865,1099,550,549
1777559866,1162,590,572
1777559867,1369,709,660
1777559868,1371,658,713
1777559869,1346,625,721
1777559870,1321,595,726
1777559871,1295,628,667
1777559872,1267,603,664
1777559873,1236,562,674
1777559874,1207,564,643
1777559875,1092,460,632
1777559876,1043,444,599
1777559877,926,385,541
1777559878,916,355,561
1777559879,1047,359,688
1777559880,1107,471,636
1777559881,940,309,631
1777559882,898,296,602
1777559883,870,291,579
1777559884,847,290,557
1777559885,800,269,531
1777559886,795,261,534
1777559887,753,251,502
1777559888,741,238,503
1777559889,616,210,406
1777559890,675,222,453
1777559891,586,206,380
1777559892,477,190,287
1777559893,457,194,263
1777559894,594,269,325
1777559895,527,185,342
1777559896,447,200,247
1777559897,440,194,246
1777559898,435,190,245
1777559899,434,182,252
1777559900,541,167,374
1777559901,469,162,307
1777559902,403,168,235
1777559903,520,177,343
1777559904,448,169,279
1777559905,393,173,220
1777559906,397,171,226
1777559907,483,162,321
1777559908,373,162,211
1777559909,360,150,210
1777559910,355,154,201
1777559911,357,151,206
1777559912,449,144,305
1777559913,356,152,204
1777559914,556,256,300
1777559915,896,477,419
1777559916,916,455,461
1777559917,863,433,430
1777559918,846,429,417
1777559919,841,425,416
1777559920,803,403,400
1777559921,781,391,390
1777559922,751,376,375
1777559923,729,365,364
1777559924,710,354,356
1777559925,695,346,349
1777559926,660,328,332
1777559927,657,324,333
1777559928,637,315,322
1777559929,628,312,316
1777559930,608,308,300
1777559931,597,295,302
1777559932,578,288,290
1777559933,571,281,290
1777559934,560,278,282
1777559935,566,277,289
1777559936,550,270,280
1777559937,526,257,269
1777559938,508,250,258
1777559939,461,223,238
1777559940,436,213,223
1777559941,432,212,220
1777559942,435,209,226
1777559943,426,206,220
1777559944,427,203,224
1777559945,421,198,223
1777559946,417,196,221
1777559947,411,195,216
1777559948,405,193,212
1777559949,389,196,193
1777559950,386,195,191
1777559951,393,185,208
1777559952,367,184,183
1777559953,126,34,92
