source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1777559956960844,1,,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1777559957020507,1,,,,,1777559956960859,1777559957020507,,,"1,127.0.0.1:19381,0",,,,,59648
server,persistent_state_fetch,completed,1777559957074288,1,,,,,1777559957020519,1777559957074288,,,persistent_snapshot_missing,,,,,53769
server,persistent_state_write,completed,1777559957129268,1,,,,,1777559957074315,1777559957129268,,,initial_snapshot,,,,,54953
server,persistent_state_fetch,completed,1777559957129277,1,,,,,,,,,initialized_new_persistent_snapshot,,,,,
server,membership_directory_read,completed,1777559957183537,1,,,,,1777559957129280,1777559957183537,,,init:1 descriptors,,,,,54257
server,replica_init,completed,1777559957183581,1,,,,,,,,,,,,,,
server,client_mutation,completed,1777559957183633,1,,,,1777559957183613,1777559957183626,1777559957183633,,,,,,,,7
server,client_mutation,completed,1777559957183665,1,,,,1777559957183657,1777559957183663,1777559957183665,,,,,,,,2
server,client_mutation,completed,1777559957183673,1,,,,1777559957183669,1777559957183672,1777559957183673,,,,,,,,1
server,client_mutation,completed,1777559957183680,1,,,,1777559957183677,1777559957183679,1777559957183680,,,,,,,,1
server,client_mutation,completed,1777559957183687,1,,,,1777559957183683,1777559957183685,1777559957183687,,,,,,,,2
server,client_mutation,completed,1777559957183692,1,,,,1777559957183689,1777559957183691,1777559957183692,,,,,,,,1
server,client_mutation,completed,1777559957183700,1,,,,1777559957183695,1777559957183699,1777559957183700,,,,,,,,1
server,client_mutation,completed,1777559957183708,1,,,,1777559957183703,1777559957183707,1777559957183708,,,,,,,,1
client,client_request,completed,1777559957184363,1,,,1777559957147792,1777559957184363,1777559957147792,1777559957184363,,,,client-1-1,Remove,7266528,200,36571
client,client_request,completed,1777559957185138,1,,,1777559957146148,1777559957185138,1777559957146148,1777559957185138,,,,client-1-0,Insert,-8723535,200,38990
client,client_request,completed,1777559957185904,1,,,1777559957151871,1777559957185904,1777559957151871,1777559957185904,,,,client-1-4,Remove,-16059826,200,34033
client,client_request,completed,1777559957187512,1,,,1777559957153246,1777559957187512,1777559957153246,1777559957187512,,,,client-1-6,Remove,10543058,200,34266
client,client_request,completed,1777559957188241,1,,,1777559957150185,1777559957188241,1777559957150185,1777559957188241,,,,client-1-3,Insert,-2481045,200,38056
client,client_request,completed,1777559957188389,1,,,1777559957154155,1777559957188389,1777559957154155,1777559957188389,,,,client-1-7,Remove,-14185743,200,34234
client,client_request,completed,1777559957189178,1,,,1777559957149319,1777559957189178,1777559957149319,1777559957189178,,,,client-1-2,Insert,11135737,200,39859
server,client_mutation,completed,1777559957189841,1,,,,1777559957189824,1777559957189836,1777559957189841,,,,,,,,5
server,client_mutation,completed,1777559957190454,1,,,,1777559957190445,1777559957190452,1777559957190454,,,,,,,,2
client,client_request,completed,1777559957190672,1,,,1777559957150953,1777559957190672,1777559957150953,1777559957190672,,,,client-1-5,Remove,-3992181,200,39719
server,client_mutation,completed,1777559957190844,1,,,,1777559957190833,1777559957190841,1777559957190844,,,,,,,,3
client,client_request,completed,1777559957191244,1,,,1777559957184521,1777559957191244,1777559957184521,1777559957191244,,,,client-1-1,Remove,11466898,200,6723
server,client_mutation,completed,1777559957191483,1,,,,1777559957191475,1777559957191481,1777559957191483,,,,,,,,2
server,client_mutation,completed,1777559957191594,1,,,,1777559957191579,1777559957191591,1777559957191594,,,,,,,,3
client,client_request,completed,1777559957192026,1,,,1777559957186035,1777559957192026,1777559957186035,1777559957192026,,,,client-1-4,Remove,14549673,200,5991
server,client_mutation,completed,1777559957192353,1,,,,1777559957192345,1777559957192351,1777559957192353,,,,,,,,2
server,client_mutation,completed,1777559957192396,1,,,,1777559957192389,1777559957192394,1777559957192396,,,,,,,,2
client,client_request,completed,1777559957193391,1,,,1777559957187645,1777559957193391,1777559957187645,1777559957193391,,,,client-1-6,Remove,10367580,200,5746
client,client_request,completed,1777559957193486,1,,,1777559957188772,1777559957193486,1777559957188772,1777559957193486,,,,client-1-3,Insert,-2092226,200,4714
