second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests
1777559957,1034,1034,0,0
1777559958,1074,758,316,0
1777559959,960,440,418,102
1777559960,940,315,307,318
1777559961,944,350,289,305
1777559962,950,332,302,316
1777559963,1017,354,319,344
1777559964,975,341,299,335
1777559965,1126,398,357,371
1777559966,1128,377,388,363
1777559967,1129,379,367,383
1777559968,1163,407,368,388
1777559969,1137,428,364,345
1777559970,1171,409,379,383
1777559971,1208,419,387,402
1777559972,1177,408,364,405
1777559973,1187,411,380,396
1777559974,1150,402,366,382
1777559975,1184,432,361,391
1777559976,1145,414,353,378
1777559977,1150,411,368,371
1777559978,1159,429,368,362
1777559979,1111,425,348,338
1777559980,1072,404,338,330
1777559981,1027,385,307,335
1777559982,1041,363,294,384
1777559983,916,348,274,294
1777559984,918,320,242,356
1777559985,860,291,247,322
1777559986,751,301,234,216
1777559987,840,326,204,310
1777559988,882,389,219,274
1777559989,742,292,204,246
1777559990,722,255,210,257
1777559991,783,398,215,170
1777559992,622,250,206,166
1777559993,713,324,223,166
1777559994,633,250,218,165
1777559995,656,256,180,220
1777559996,661,277,168,216
1777559997,596,257,187,152
1777559998,582,246,187,149
1777559999,608,256,154,198
1777560000,613,255,153,205
1777560001,659,353,161,145
1777560002,542,247,155,140
1777560003,566,229,159,178
1777560004,622,236,140,246
1777560005,593,238,132,223
1777560006,617,297,151,169
1777560007,499,211,161,127
1777560008,484,200,174,110
1777560009,486,207,156,123
1777560010,494,220,141,133
1777560011,485,222,141,122
1777560012,591,296,129,166
1777560013,592,296,127,169
1777560014,462,207,130,125
1777560015,504,229,120,155
1777560016,595,283,116,196
1777560017,529,204,116,209
1777560018,566,278,126,162
1777560019,477,194,126,157
1777560020,472,194,117,161
1777560021,419,168,131,120
1777560022,526,250,123,153
1777560023,430,181,124,125
1777560024,507,250,124,133
1777560025,538,252,142,144
1777560026,425,183,128,114
1777560027,468,242,119,107
1777560028,425,179,137,109
1777560029,718,268,222,228
1777560030,1035,358,338,339
1777560031,949,353,305,291
1777560032,884,332,274,278
1777560033,869,331,264,274
1777560034,851,325,258,268
1777560035,814,311,249,254
1777560036,801,311,245,245
1777560037,779,308,235,236
1777560038,750,300,224,226
1777560039,717,285,215,217
1777560040,713,286,214,213
1777560041,703,285,208,210
1777560042,689,277,204,208
1777560043,667,270,200,197
1777560044,663,274,195,194
1777560045,663,271,196,196
1777560046,654,269,195,190
1777560047,641,267,185,189
1777560048,611,257,174,180
1777560049,571,216,175,180
1777560050,62,0,7,55
