second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests,replica_4_successful_requests
1777560054,741,741,0,0,0
1777560055,1098,914,184,0,0
1777560056,1042,493,513,36,0
1777560057,1011,320,336,355,0
1777560058,973,268,254,276,175
1777560059,1015,251,256,256,252
1777560060,924,244,210,232,238
1777560061,926,230,216,236,244
1777560062,952,257,224,230,241
1777560063,1058,281,276,235,266
1777560064,1081,283,271,239,288
1777560065,1235,335,328,253,319
1777560066,1205,323,317,261,304
1777560067,1192,302,306,280,304
1777560068,1138,291,283,269,295
1777560069,1150,311,289,257,293
1777560070,1195,314,303,283,295
1777560071,1166,296,296,282,292
1777560072,1164,289,279,289,307
1777560073,1161,297,287,278,299
1777560074,1158,295,282,285,296
1777560075,1164,295,284,293,292
1777560076,1149,296,278,286,289
1777560077,1153,297,272,296,288
1777560078,1147,315,262,314,256
1777560079,1157,316,242,345,254
1777560080,1145,298,230,385,232
1777560081,1007,257,220,325,205
1777560082,977,215,250,323,189
1777560083,952,205,260,304,183
1777560084,876,227,180,268,201
1777560085,902,209,214,260,219
1777560086,866,187,233,260,186
1777560087,847,198,163,279,207
1777560088,830,206,164,283,177
1777560089,847,177,194,282,194
1777560090,939,174,264,350,151
1777560091,768,163,205,219,181
1777560092,740,161,164,261,154
1777560093,778,158,171,304,145
1777560094,722,164,158,233,167
1777560095,739,157,155,287,140
1777560096,624,150,153,183,138
1777560097,679,154,148,220,157
1777560098,711,148,136,282,145
1777560099,642,153,127,204,158
1777560100,636,156,138,211,131
1777560101,712,153,134,291,134
1777560102,666,143,126,268,129
1777560103,661,172,126,243,120
1777560104,575,141,124,181,129
1777560105,586,133,118,210,125
1777560106,679,167,121,268,123
1777560107,648,145,127,256,120
1777560108,612,136,122,231,123
1777560109,530,135,113,164,118
1777560110,523,135,109,161,118
1777560111,489,123,114,135,117
1777560112,480,119,116,132,113
1777560113,523,122,123,166,112
1777560114,612,160,134,216,102
1777560115,514,138,112,154,110
1777560116,564,118,140,202,104
1777560117,529,121,132,168,108
1777560118,527,124,104,198,101
1777560119,450,122,101,126,101
1777560120,440,119,109,113,99
1777560121,466,118,110,138,100
1777560122,480,117,102,156,105
1777560123,488,137,135,123,93
1777560124,452,104,142,119,87
1777560125,417,98,113,115,91
1777560126,442,119,115,114,94
1777560127,691,233,134,118,206
1777560128,975,226,213,310,226
1777560129,953,209,210,320,214
1777560130,957,215,206,328,208
1777560131,918,214,199,308,197
1777560132,895,197,192,306,200
1777560133,859,190,187,297,185
1777560134,816,174,179,286,177
1777560135,822,174,179,285,184
1777560136,811,175,175,284,177
1777560137,793,173,171,278,171
1777560138,781,168,168,275,170
1777560139,754,164,160,264,166
1777560140,743,163,160,258,162
1777560141,727,155,158,253,161
1777560142,713,155,155,250,153
1777560143,693,154,150,238,151
1777560144,699,146,151,249,153
1777560145,667,147,147,227,146
1777560146,675,147,144,238,146
1777560147,661,144,141,233,143
1777560148,477,45,76,175,181
1777560149,8,0,0,0,8
