second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests,replica_4_successful_requests,replica_5_successful_requests
1777560153,656,656,0,0,0,0
1777560154,1131,990,141,0,0,0
1777560155,1068,538,527,3,0,0
1777560156,957,329,324,304,0,0
1777560157,906,232,237,243,194,0
1777560158,903,194,205,203,184,117
1777560159,924,185,189,170,191,189
1777560160,919,180,190,181,190,178
1777560161,961,201,193,201,180,186
1777560162,947,196,190,176,192,193
1777560163,1076,209,225,218,217,207
1777560164,1137,232,227,233,225,220
1777560165,1338,271,275,229,286,277
1777560166,1169,243,240,224,250,212
1777560167,1100,239,227,214,223,197
1777560168,1157,247,239,214,236,221
1777560169,1170,234,236,213,252,235
1777560170,1167,256,231,223,244,213
1777560171,1151,228,239,233,243,208
1777560172,1172,236,238,235,236,227
1777560173,1151,233,233,225,226,234
1777560174,1120,224,217,222,225,232
1777560175,1145,234,226,218,220,247
1777560176,1128,228,230,220,222,228
1777560177,1148,235,231,217,254,211
1777560178,1129,230,232,229,220,218
1777560179,1140,229,218,234,236,223
1777560180,1106,217,219,228,217,225
1777560181,1147,257,215,222,251,202
1777560182,1081,219,202,256,229,175
1777560183,1021,220,195,210,232,164
1777560184,977,210,191,200,203,173
1777560185,972,187,197,254,182,152
1777560186,1092,165,195,303,289,140
1777560187,1040,182,239,167,296,156
1777560188,941,160,242,200,187,152
1777560189,902,167,208,195,179,153
1777560190,916,162,200,174,230,150
1777560191,843,151,165,195,205,127
1777560192,788,149,173,195,151,120
1777560193,785,142,198,157,158,130
1777560194,820,136,188,150,200,146
1777560195,776,145,180,137,178,136
1777560196,864,141,211,126,241,145
1777560197,779,137,175,133,203,131
1777560198,739,145,148,125,185,136
1777560199,746,137,195,123,170,121
1777560200,743,142,194,122,165,120
1777560201,714,133,187,118,156,120
1777560202,677,135,152,114,154,122
1777560203,658,139,112,113,138,156
1777560204,643,140,117,121,127,138
1777560205,631,129,126,122,131,123
1777560206,625,125,143,114,129,114
1777560207,689,113,108,116,206,146
1777560208,731,149,115,163,122,182
1777560209,1033,179,118,297,262,177
1777560210,1125,224,224,223,236,218
1777560211,1109,220,232,216,225,216
1777560212,1130,234,218,227,236,215
1777560213,1150,240,233,212,228,237
1777560214,1159,256,234,194,249,226
1777560215,1094,253,204,195,247,195
1777560216,1068,251,202,187,233,195
1777560217,1046,247,202,181,227,189
1777560218,1000,237,185,183,219,176
1777560219,963,223,176,178,212,174
1777560220,925,206,169,173,208,169
1777560221,899,201,167,163,204,164
1777560222,879,195,165,160,198,161
1777560223,862,192,160,158,195,157
1777560224,846,188,156,159,187,156
1777560225,819,179,151,154,182,153
1777560226,796,177,131,147,185,156
1777560227,782,180,128,151,174,149
1777560228,778,170,144,142,172,150
1777560229,723,161,130,113,168,151
1777560230,682,162,124,111,164,121
1777560231,662,144,131,108,165,114
1777560232,677,144,120,110,165,138
1777560233,671,133,124,105,170,139
1777560234,631,118,109,102,163,139
1777560235,632,116,107,103,165,141
1777560236,597,114,107,109,153,114
1777560237,587,113,103,110,158,103
1777560238,579,109,105,106,156,103
1777560239,563,109,100,99,153,102
1777560240,559,106,101,101,149,102
1777560241,550,109,100,99,117,125
1777560242,536,107,101,102,118,108
1777560243,535,103,95,97,117,123
1777560244,569,100,107,96,142,124
1777560245,537,100,123,94,119,101
1777560246,518,101,112,93,116,96
1777560247,505,99,98,92,115,101
1777560248,432,40,64,81,152,95
1777560249,52,0,0,4,17,31
