second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests,replica_4_successful_requests,replica_5_successful_requests,replica_6_successful_requests,replica_7_successful_requests
1777560356,715,715,0,0,0,0,0,0
1777560357,1105,945,160,0,0,0,0,0
1777560358,993,475,509,9,0,0,0,0
1777560359,968,339,333,296,0,0,0,0
1777560360,928,249,262,244,173,0,0,0
1777560361,902,194,208,214,220,66,0,0
1777560362,916,181,180,189,167,181,18,0
1777560363,925,151,158,147,162,153,154,0
1777560364,946,135,140,129,130,142,133,137
1777560365,1002,143,137,142,145,142,147,146
1777560366,939,139,134,135,133,133,132,133
1777560367,937,144,130,131,139,130,130,133
1777560368,947,134,135,140,130,130,139,139
1777560369,992,132,141,145,136,149,143,146
1777560370,1089,161,152,148,147,160,169,152
1777560371,1115,149,159,160,164,155,160,168
1777560372,1119,169,156,164,155,146,163,166
1777560373,1167,156,168,166,172,161,169,175
1777560374,1186,174,164,158,184,161,175,170
1777560375,1167,170,173,147,165,154,177,181
1777560376,1165,169,163,165,166,167,166,169
1777560377,1141,165,162,167,154,158,164,171
1777560378,1153,169,161,163,161,174,156,169
1777560379,1145,159,170,160,167,161,162,166
1777560380,1126,159,161,161,164,160,158,163
1777560381,1154,161,164,164,161,169,169,166
1777560382,1132,164,161,161,161,158,158,169
1777560383,1178,155,171,160,167,182,168,175
1777560384,1127,169,160,149,170,151,164,164
1777560385,1128,155,169,166,165,162,157,154
1777560386,1111,165,158,151,171,151,159,156
1777560387,1083,151,151,147,152,155,170,157
1777560388,1113,180,154,141,155,173,165,145
1777560389,1097,160,147,139,161,173,168,149
1777560390,1124,165,137,146,162,172,162,180
1777560391,1063,157,132,144,156,165,160,149
1777560392,1129,149,131,148,148,197,187,169
1777560393,1086,166,136,132,156,205,153,138
1777560394,1050,156,140,134,141,190,146,143
1777560395,1068,139,132,135,223,156,146,137
1777560396,1027,131,149,169,156,134,152,136
1777560397,1000,130,136,172,155,136,139,132
1777560398,1016,127,122,175,187,132,134,139
1777560399,974,121,115,152,152,162,151,121
1777560400,938,122,129,144,142,155,137,109
1777560401,947,124,110,130,172,148,123,140
1777560402,928,133,118,134,144,152,123,124
1777560403,917,120,141,138,123,154,122,119
1777560404,896,112,135,139,140,139,119,112
1777560405,866,108,117,103,171,123,118,126
1777560406,795,110,108,105,114,143,120,95
1777560407,774,108,98,111,116,126,118,97
1777560408,819,98,84,124,123,121,129,140
1777560409,790,113,89,122,111,151,112,92
1777560410,789,115,104,113,120,140,108,89
1777560411,772,100,105,113,123,127,106,98
1777560412,756,107,95,116,122,116,111,89
1777560413,732,111,90,115,112,112,104,88
1777560414,702,106,91,111,99,108,96,91
1777560415,640,99,87,92,88,98,96,80
1777560416,650,90,85,96,104,98,93,84
1777560417,690,106,87,94,104,93,98,108
1777560418,626,98,84,89,99,91,87,78
1777560419,810,205,92,92,88,120,86,127
1777560420,1111,186,166,130,134,194,148,153
1777560421,1135,166,174,163,174,168,169,121
1777560422,1106,162,167,156,173,160,169,119
1777560423,1097,168,154,163,150,167,149,146
1777560424,1043,152,147,151,169,150,164,110
1777560425,1017,148,129,150,164,151,164,111
1777560426,1014,155,145,155,147,156,147,109
1777560427,983,156,143,129,145,157,145,108
1777560428,955,151,140,151,143,136,133,101
1777560429,908,145,139,149,120,133,118,104
1777560430,904,142,138,122,130,146,138,88
1777560431,891,139,136,139,106,122,126,123
1777560432,854,133,128,132,135,103,123,100
1777560433,835,129,105,130,136,102,136,97
1777560434,839,136,107,135,127,104,129,101
1777560435,820,132,104,132,128,101,121,102
1777560436,795,125,116,126,132,98,103,95
1777560437,806,123,113,124,129,113,110,94
1777560438,816,125,109,125,120,127,120,90
1777560439,791,123,123,116,110,105,125,89
1777560440,718,122,110,99,100,94,118,75
1777560441,716,116,109,117,99,96,101,78
1777560442,724,124,103,100,96,95,93,113
1777560443,718,115,93,90,119,105,109,87
1777560444,700,113,106,90,94,104,119,74
1777560445,681,114,103,88,91,90,111,84
1777560446,678,111,91,108,98,87,101,82
1777560447,677,113,103,91,85,102,113,70
1777560448,714,115,112,89,100,103,108,87
1777560449,680,111,98,88,86,106,105,86
1777560450,623,110,89,91,89,87,90,67
1777560451,649,106,91,101,91,95,88,77
1777560452,636,102,91,94,84,100,88,77
1777560453,597,104,89,83,89,87,84,61
1777560454,460,21,46,94,80,84,67,68
1777560455,226,0,0,1,13,55,91,66
1777560456,28,0,0,0,0,0,8,20
