source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1777560358737396,3,,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1777560358797864,3,,,,,1777560358737417,1777560358797864,,,"3,127.0.0.1:19783,0",,,,,60447
server,persistent_state_fetch,completed,1777560358852242,3,,,,,1777560358797877,1777560358852242,,,restored_existing_snapshot,,,,,54365
server,membership_directory_read,completed,1777560358906283,3,,,,,1777560358852252,1777560358906283,,,init:3 descriptors,,,,,54031
server,replica_init,completed,1777560358906351,3,,,,,,,,,,,,,,
server,client_mutation,completed,1777560358953137,3,,,,1777560358953126,1777560358953135,1777560358953137,,,,,,,,2
server,client_mutation,completed,1777560358965463,3,,,,1777560358965452,1777560358965461,1777560358965463,,,,,,,,2
server,client_mutation,completed,1777560358970420,3,,,,1777560358970407,1777560358970417,1777560358970420,,,,,,,,3
server,client_mutation,completed,1777560358971636,3,,,,1777560358971623,1777560358971633,1777560358971636,,,,,,,,3
server,client_mutation,completed,1777560358976173,3,,,,1777560358976159,1777560358976168,1777560358976173,,,,,,,,5
server,client_mutation,completed,1777560358982343,3,,,,1777560358982329,1777560358982340,1777560358982343,,,,,,,,3
server,client_mutation,completed,1777560358983883,3,,,,1777560358983870,1777560358983880,1777560358983883,,,,,,,,3
server,client_mutation,completed,1777560358989333,3,,,,1777560358989317,1777560358989329,1777560358989333,,,,,,,,4
server,client_mutation,completed,1777560358990448,3,,,,1777560358990426,1777560358990444,1777560358990448,,,,,,,,4
server,client_mutation,completed,1777560358995710,3,,,,1777560358995695,1777560358995707,1777560358995710,,,,,,,,3
server,client_mutation,completed,1777560358996064,3,,,,1777560358996048,1777560358996060,1777560358996064,,,,,,,,4
server,client_mutation,completed,1777560359000948,3,,,,1777560359000934,1777560359000945,1777560359000948,,,,,,,,3
server,client_mutation,completed,1777560359001882,3,,,,1777560359001865,1777560359001879,1777560359001882,,,,,,,,3
server,client_mutation,completed,1777560359004657,3,,,,1777560359004642,1777560359004654,1777560359004657,,,,,,,,3
server,client_mutation,completed,1777560359006641,3,,,,1777560359006626,1777560359006638,1777560359006641,,,,,,,,3
server,client_mutation,completed,1777560359013403,3,,,,1777560359013387,1777560359013400,1777560359013403,,,,,,,,3
server,client_mutation,completed,1777560359018412,3,,,,1777560359018378,1777560359018392,1777560359018412,,,,,,,,20
server,client_mutation,completed,1777560359019523,3,,,,1777560359019512,1777560359019520,1777560359019523,,,,,,,,3
server,client_mutation,completed,1777560359019944,3,,,,1777560359019928,1777560359019940,1777560359019944,,,,,,,,4
server,client_mutation,completed,1777560359024663,3,,,,1777560359024647,1777560359024660,1777560359024663,,,,,,,,3
server,client_mutation,completed,1777560359024754,3,,,,1777560359024727,1777560359024750,1777560359024754,,,,,,,,4
server,client_mutation,completed,1777560359031617,3,,,,1777560359031600,1777560359031613,1777560359031617,,,,,,,,4
server,client_mutation,completed,1777560359034693,3,,,,1777560359034670,1777560359034688,1777560359034693,,,,,,,,5
server,client_mutation,completed,1777560359040417,3,,,,1777560359040395,1777560359040414,1777560359040417,,,,,,,,3
server,client_mutation,completed,1777560359041940,3,,,,1777560359041918,1777560359041936,1777560359041940,,,,,,,,4
server,client_mutation,completed,1777560359046736,3,,,,1777560359046719,1777560359046732,1777560359046736,,,,,,,,4
server,client_mutation,completed,1777560359058628,3,,,,1777560359058611,1777560359058624,1777560359058628,,,,,,,,4
server,client_mutation,completed,1777560359060012,3,,,,1777560359059975,1777560359060008,1777560359060012,,,,,,,,4
server,client_mutation,completed,1777560359064544,3,,,,1777560359064526,1777560359064540,1777560359064544,,,,,,,,4
server,client_mutation,completed,1777560359066856,3,,,,1777560359066839,1777560359066852,1777560359066856,,,,,,,,4
server,client_mutation,completed,1777560359066968,3,,,,1777560359066956,1777560359066965,1777560359066968,,,,,,,,3
server,client_mutation,completed,1777560359069105,3,,,,1777560359069085,1777560359069101,1777560359069105,,,,,,,,4
server,client_mutation,completed,1777560359072215,3,,,,1777560359072168,1777560359072206,1777560359072215,,,,,,,,9
server,client_mutation,completed,1777560359083212,3,,,,1777560359083181,1777560359083207,1777560359083212,,,,,,,,5
server,client_mutation,completed,1777560359089307,3,,,,1777560359089285,1777560359089302,1777560359089307,,,,,,,,5
server,client_mutation,completed,1777560359093205,3,,,,1777560359093185,1777560359093200,1777560359093205,,,,,,,,5
server,client_mutation,completed,1777560359094692,3,,,,1777560359094657,1777560359094686,1777560359094692,,,,,,,,6
server,client_mutation,completed,1777560359100442,3,,,,1777560359100405,1777560359100435,1777560359100442,,,,,,,,7
server,client_mutation,completed,1777560359102278,3,,,,1777560359102250,1777560359102273,1777560359102278,,,,,,,,5
server,client_mutation,completed,1777560359107560,3,,,,1777560359107538,1777560359107554,1777560359107560,,,,,,,,6
server,client_mutation,completed,1777560359111983,3,,,,1777560359111960,1777560359111978,1777560359111983,,,,,,,,5
server,client_mutation,completed,1777560359118898,3,,,,1777560359118874,1777560359118891,1777560359118898,,,,,,,,7
server,client_mutation,completed,1777560359124499,3,,,,1777560359124476,1777560359124493,1777560359124499,,,,,,,,6
server,client_mutation,completed,1777560359125303,3,,,,1777560359125273,1777560359125297,1777560359125303,,,,,,,,6
server,client_mutation,completed,1777560359128369,3,,,,1777560359128335,1777560359128363,1777560359128369,,,,,,,,6
server,client_mutation,completed,1777560359128463,3,,,,1777560359128427,1777560359128457,1777560359128463,,,,,,,,6
