second_bucket,combined_successful_requests,replica_1_successful_requests
1777553668,654,654
1777553669,1221,1221
1777553670,1264,1264
1777553671,1288,1288
1777553672,1287,1287
1777553673,1258,1258
1777553674,1177,1177
1777553675,1174,1174
1777553676,1198,1198
1777553677,1185,1185
1777553678,1145,1145
1777553679,944,944
1777553680,916,916
1777553681,997,997
1777553682,910,910
1777553683,881,881
1777553684,825,825
1777553685,778,778
1777553686,664,664
1777553687,699,699
1777553688,707,707
1777553689,696,696
1777553690,667,667
1777553691,572,572
1777553692,531,531
1777553693,612,612
1777553694,632,632
1777553695,614,614
1777553696,604,604
1777553697,590,590
1777553698,577,577
1777553699,551,551
1777553700,466,466
1777553701,452,452
1777553702,396,396
1777553703,474,474
1777553704,512,512
1777553705,500,500
1777553706,486,486
1777553707,476,476
1777553708,467,467
1777553709,454,454
1777553710,454,454
1777553711,444,444
1777553712,437,437
1777553713,425,425
1777553714,414,414
1777553715,426,426
1777553716,423,423
1777553717,417,417
1777553718,340,340
1777553719,380,380
1777553720,402,402
1777553721,401,401
1777553722,390,390
1777553723,377,377
1777553724,375,375
1777553725,368,368
1777553726,216,216
1777553727,343,343
1777553728,316,316
1777553729,343,343
1777553730,312,312
1777553731,340,340
1777553732,358,358
1777553733,354,354
1777553734,290,290
1777553735,321,321
1777553736,334,334
1777553737,341,341
1777553738,342,342
1777553739,327,327
1777553740,331,331
1777553741,267,267
1777553742,289,289
1777553743,310,310
1777553744,255,255
1777553745,285,285
1777553746,252,252
1777553747,281,281
1777553748,305,305
1777553749,298,298
1777553750,290,290
1777553751,239,239
1777553752,273,273
1777553753,300,300
1777553754,253,253
1777553755,284,284
1777553756,284,284
1777553757,292,292
1777553758,132,132
