source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1777553761539223,1,,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1777553761598860,1,,,,,1777553761539237,1777553761598860,,,"1,127.0.0.1:19281,0",,,,,59623
server,persistent_state_fetch,completed,1777553761652549,1,,,,,1777553761598873,1777553761652549,,,persistent_snapshot_missing,,,,,53676
server,persistent_state_write,completed,1777553761707310,1,,,,,1777553761652576,1777553761707310,,,initial_snapshot,,,,,54734
server,persistent_state_fetch,completed,1777553761707318,1,,,,,,,,,initialized_new_persistent_snapshot,,,,,
server,membership_directory_read,completed,1777553761761490,1,,,,,1777553761707322,1777553761761490,,,init:1 descriptors,,,,,54168
server,replica_init,completed,1777553761761540,1,,,,,,,,,,,,,,
server,client_mutation,completed,1777553761761569,1,,,,1777553761761556,1777553761761565,1777553761761569,,,,,,,,4
server,client_mutation,completed,1777553761761587,1,,,,1777553761761581,1777553761761585,1777553761761587,,,,,,,,2
server,client_mutation,completed,1777553761761597,1,,,,1777553761761593,1777553761761596,1777553761761597,,,,,,,,1
server,client_mutation,completed,1777553761761614,1,,,,1777553761761609,1777553761761612,1777553761761614,,,,,,,,2
server,client_mutation,completed,1777553761761622,1,,,,1777553761761617,1777553761761620,1777553761761622,,,,,,,,2
server,client_mutation,completed,1777553761761629,1,,,,1777553761761624,1777553761761627,1777553761761629,,,,,,,,2
server,client_mutation,completed,1777553761761638,1,,,,1777553761761632,1777553761761636,1777553761761638,,,,,,,,2
server,client_mutation,completed,1777553761761646,1,,,,1777553761761641,1777553761761644,1777553761761646,,,,,,,,2
client,client_request,completed,1777553761762615,1,,,1777553761732876,1777553761762615,1777553761732876,1777553761762615,,,,client-1-7,Insert,-15614924,200,29739
client,client_request,completed,1777553761763787,1,,,1777553761725015,1777553761763787,1777553761725015,1777553761763787,,,,client-1-0,Insert,11737014,200,38772
client,client_request,completed,1777553761764539,1,,,1777553761728684,1777553761764539,1777553761728684,1777553761764539,,,,client-1-2,Insert,-14019984,200,35855
client,client_request,completed,1777553761764660,1,,,1777553761730662,1777553761764660,1777553761730662,1777553761764660,,,,client-1-5,Insert,10212035,200,33998
client,client_request,completed,1777553761764920,1,,,1777553761731452,1777553761764920,1777553761731452,1777553761764920,,,,client-1-6,Remove,-1010649,200,33468
client,client_request,completed,1777553761765685,1,,,1777553761728106,1777553761765685,1777553761728106,1777553761765685,,,,client-1-4,Insert,1618119,200,37579
client,client_request,completed,1777553761766578,1,,,1777553761729917,1777553761766578,1777553761729917,1777553761766578,,,,client-1-3,Remove,2369121,200,36661
server,client_mutation,completed,1777553761767077,1,,,,1777553761767056,1777553761767067,1777553761767077,,,,,,,,10
server,client_mutation,completed,1777553761767415,1,,,,1777553761767395,1777553761767410,1777553761767415,,,,,,,,5
server,client_mutation,completed,1777553761767545,1,,,,1777553761767526,1777553761767542,1777553761767545,,,,,,,,3
server,client_mutation,completed,1777553761767585,1,,,,1777553761767575,1777553761767582,1777553761767585,,,,,,,,3
server,client_mutation,completed,1777553761768422,1,,,,1777553761768406,1777553761768419,1777553761768422,,,,,,,,3
client,client_request,completed,1777553761768629,1,,,1777553761726641,1777553761768629,1777553761726641,1777553761768629,,,,client-1-1,Insert,-9360994,200,41988
client,client_request,completed,1777553761770015,1,,,1777553761765330,1777553761770015,1777553761765330,1777553761770015,,,,client-1-2,Insert,8056898,200,4685
client,client_request,completed,1777553761770377,1,,,1777553761762792,1777553761770377,1777553761762792,1777553761770377,,,,client-1-7,Insert,-11792580,200,7585
client,client_request,completed,1777553761770891,1,,,1777553761763917,1777553761770891,1777553761763917,1777553761770891,,,,client-1-0,Insert,453357,200,6974
client,client_request,completed,1777553761770983,1,,,1777553761766106,1777553761770983,1777553761766106,1777553761770983,,,,client-1-5,Insert,15793155,200,4877
server,client_mutation,completed,1777553761771016,1,,,,1777553761770987,1777553761771011,1777553761771016,,,,,,,,5
client,client_request,completed,1777553761771886,1,,,1777553761766710,1777553761771886,1777553761766710,1777553761771886,,,,client-1-3,Insert,7371967,200,5176
client,client_request,completed,1777553761772022,1,,,1777553761767046,1777553761772022,1777553761767046,1777553761772022,,,,client-1-6,Insert,-5581194,200,4976
server,client_mutation,completed,1777553761772204,1,,,,1777553761772170,1777553761772199,1777553761772204,,,,,,,,5
server,client_mutation,completed,1777553761773769,1,,,,1777553761773751,1777553761773765,1777553761773769,,,,,,,,4
server,client_mutation,completed,1777553761773877,1,,,,1777553761773861,1777553761773872,1777553761773877,,,,,,,,5
server,client_mutation,completed,1777553761774206,1,,,,1777553761774191,1777553761774203,1777553761774206,,,,,,,,3
client,client_request,completed,1777553761774553,1,,,1777553761770118,1777553761774553,1777553761770118,1777553761774553,,,,client-1-2,Remove,-15955398,200,4435
