second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests
1777553761,311,311,0
1777553762,1163,1160,3
1777553763,1105,563,542
1777553764,1096,550,546
1777553765,1164,586,578
1777553766,1228,633,595
1777553767,1199,606,593
1777553768,1267,619,648
1777553769,1231,613,618
1777553770,1187,590,597
1777553771,1207,615,592
1777553772,1172,578,594
1777553773,1145,574,571
1777553774,1096,548,548
1777553775,1093,584,509
1777553776,1017,524,493
1777553777,1015,546,469
1777553778,1178,712,466
1777553779,1108,674,434
1777553780,966,528,438
1777553781,856,462,394
1777553782,765,402,363
1777553783,794,429,365
1777553784,1064,554,510
1777553785,1075,556,519
1777553786,937,428,509
1777553787,929,433,496
1777553788,940,486,454
1777553789,698,422,276
1777553790,519,245,274
1777553791,509,237,272
1777553792,581,321,260
1777553793,652,393,259
1777553794,694,450,244
1777553795,1160,585,575
1777553796,1148,563,585
1777553797,1127,556,571
1777553798,1078,538,540
1777553799,1040,530,510
1777553800,1037,522,515
1777553801,976,497,479
1777553802,940,484,456
1777553803,895,440,455
1777553804,869,435,434
1777553805,868,428,440
1777553806,846,420,426
1777553807,819,407,412
1777553808,807,405,402
1777553809,783,396,387
1777553810,765,374,391
1777553811,710,335,375
1777553812,702,337,365
1777553813,720,355,365
1777553814,699,339,360
1777553815,691,344,347
1777553816,675,338,337
1777553817,655,329,326
1777553818,640,319,321
1777553819,627,315,312
1777553820,612,308,304
1777553821,618,305,313
1777553822,602,295,307
1777553823,580,288,292
1777553824,499,217,282
1777553825,701,363,338
1777553826,701,348,353
1777553827,693,346,347
1777553828,687,348,339
1777553829,679,341,338
1777553830,662,331,331
1777553831,652,322,330
1777553832,634,313,321
1777553833,629,311,318
1777553834,617,308,309
1777553835,596,300,296
1777553836,580,290,290
1777553837,590,299,291
1777553838,573,290,283
1777553839,567,285,282
1777553840,547,272,275
1777553841,537,267,270
1777553842,548,271,277
1777553843,554,271,283
1777553844,541,271,270
1777553845,527,262,265
1777553846,507,256,251
1777553847,516,256,260
1777553848,517,259,258
1777553849,510,255,255
1777553850,506,254,252
1777553851,496,249,247
1777553852,453,233,220
1777553853,79,15,64
