second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests
1777553857,868,868,0,0
1777553858,1098,868,230,0
1777553859,1072,519,505,48
1777553860,950,321,321,308
1777553861,973,329,352,292
1777553862,1007,356,340,311
1777553863,1020,344,352,324
1777553864,1106,365,377,364
1777553865,1154,383,382,389
1777553866,1141,390,372,379
1777553867,1156,382,387,387
1777553868,1186,393,399,394
1777553869,1215,375,420,420
1777553870,1205,414,405,386
1777553871,1195,401,387,407
1777553872,1213,412,399,402
1777553873,1198,397,398,403
1777553874,1205,387,403,415
1777553875,1190,402,402,386
1777553876,1164,424,365,375
1777553877,1144,414,355,375
1777553878,1115,402,324,389
1777553879,1042,372,302,368
1777553880,1044,339,335,370
1777553881,994,330,312,352
1777553882,896,274,294,328
1777553883,900,305,272,323
1777553884,776,247,279,250
1777553885,757,256,271,230
1777553886,757,249,253,255
1777553887,758,222,204,332
1777553888,725,229,221,275
1777553889,789,340,195,254
1777553890,840,424,181,235
1777553891,647,260,187,200
1777553892,600,227,185,188
1777553893,607,220,196,191
1777553894,720,338,201,181
1777553895,731,347,199,185
1777553896,583,225,187,171
1777553897,653,315,173,165
1777553898,551,219,166,166
1777553899,653,315,177,161
1777553900,580,254,170,156
1777553901,633,303,176,154
1777553902,638,315,167,156
1777553903,436,137,153,146
1777553904,486,166,164,156
1777553905,484,172,157,155
1777553906,584,275,156,153
1777553907,504,195,156,153
1777553908,479,171,159,149
1777553909,472,170,158,144
1777553910,461,166,150,145
1777553911,437,161,163,113
1777553912,967,327,224,416
1777553913,1193,430,386,377
1777553914,1148,411,370,367
1777553915,1144,413,361,370
1777553916,1089,397,343,349
1777553917,1072,395,336,341
1777553918,1038,376,330,332
1777553919,1003,371,319,313
1777553920,971,363,306,302
1777553921,922,341,295,286
1777553922,854,335,260,259
1777553923,794,314,242,238
1777553924,779,310,238,231
1777553925,765,308,229,228
1777553926,753,302,226,225
1777553927,724,286,220,218
1777553928,715,290,214,211
1777553929,700,285,212,203
1777553930,686,280,205,201
1777553931,661,271,196,194
1777553932,649,260,195,194
1777553933,638,260,190,188
1777553934,635,263,185,187
1777553935,617,258,179,180
1777553936,608,257,171,180
1777553937,567,241,129,197
1777553938,563,248,125,190
1777553939,552,241,125,186
1777553940,555,240,124,191
1777553941,568,240,150,178
1777553942,542,235,135,172
1777553943,502,222,154,126
1777553944,504,234,145,125
1777553945,500,228,152,120
1777553946,490,224,140,126
1777553947,474,220,116,138
1777553948,476,210,108,158
1777553949,449,213,116,120
1777553950,80,0,24,56
