second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests,replica_4_successful_requests
1777553954,536,536,0,0,0
1777553955,1128,1045,83,0,0
1777553956,1005,519,486,0,0
1777553957,965,345,326,294,0
1777553958,943,280,255,265,143
1777553959,976,238,257,240,241
1777553960,929,233,235,243,218
1777553961,942,232,246,223,241
1777553962,978,228,252,240,258
1777553963,1105,282,264,278,281
1777553964,1141,304,255,302,280
1777553965,1253,342,262,330,319
1777553966,1228,316,294,338,280
1777553967,1267,344,309,349,265
1777553968,1169,304,297,290,278
1777553969,1193,296,305,297,295
1777553970,1179,277,296,302,304
1777553971,1171,297,278,303,293
1777553972,1192,312,289,289,302
1777553973,1189,308,300,287,294
1777553974,1171,305,295,283,288
1777553975,1131,294,283,289,265
1777553976,1155,322,278,272,283
1777553977,1160,302,279,288,291
1777553978,1154,291,295,292,276
1777553979,1139,281,285,288,285
1777553980,1126,281,280,283,282
1777553981,1057,229,327,306,195
1777553982,1054,227,315,284,228
1777553983,973,237,284,228,224
1777553984,1006,214,316,271,205
1777553985,887,207,203,254,223
1777553986,861,197,257,226,181
1777553987,862,185,316,215,146
1777553988,783,167,279,196,141
1777553989,848,166,283,214,185
1777553990,746,200,207,190,149
1777553991,842,287,209,167,179
1777553992,880,187,280,244,169
1777553993,668,157,169,167,175
1777553994,732,235,156,159,182
1777553995,719,202,179,154,184
1777553996,779,187,314,133,145
1777553997,672,186,186,148,152
1777553998,686,132,147,249,158
1777553999,609,152,139,152,166
1777554000,588,149,148,137,154
1777554001,601,134,158,161,148
1777554002,641,136,139,220,146
1777554003,572,137,147,149,139
1777554004,629,121,156,219,133
1777554005,544,126,152,136,130
1777554006,594,173,148,138,135
1777554007,617,210,195,126,86
1777554008,488,175,190,0,123
1777554009,443,171,156,0,116
1777554010,428,155,159,0,114
1777554011,393,146,131,0,116
1777554012,442,185,122,0,135
1777554013,413,168,123,0,122
1777554014,382,146,122,0,114
1777554015,452,183,116,0,153
1777554016,433,161,132,0,140
1777554017,398,124,156,0,118
1777554018,365,126,109,0,130
1777554019,356,129,111,0,116
1777554020,376,136,134,0,106
1777554021,404,134,150,0,120
1777554022,410,167,111,0,132
1777554023,387,152,127,0,108
1777554024,386,134,147,0,105
1777554025,345,124,106,0,115
1777554026,353,121,125,0,107
1777554027,372,117,154,0,101
1777554028,376,145,132,0,99
1777554029,614,275,248,0,91
1777554030,645,273,240,0,132
1777554031,690,263,210,0,217
1777554032,682,261,206,0,215
1777554033,661,253,200,0,208
1777554034,622,217,238,0,167
1777554035,632,237,209,0,186
1777554036,632,252,189,0,191
1777554037,620,249,184,0,187
1777554038,595,236,177,0,182
1777554039,549,229,184,0,136
1777554040,567,233,205,0,129
1777554041,559,238,195,0,126
1777554042,549,229,189,0,131
1777554043,565,226,172,0,167
1777554044,560,218,168,0,174
1777554045,550,218,160,0,172
1777554046,520,217,175,0,128
1777554047,533,216,164,0,153
1777554048,386,106,113,0,167
1777554049,14,0,0,0,14
