second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests,replica_4_successful_requests,replica_5_successful_requests
1777554054,607,607,0,0,0,0
1777554055,1178,1027,151,0,0,0
1777554056,1058,507,549,2,0,0
1777554057,1041,352,346,343,0,0
1777554058,971,257,256,256,202,0
1777554059,936,201,197,198,196,144
1777554060,939,189,186,193,180,191
1777554061,957,196,192,186,191,192
1777554062,964,194,186,196,196,192
1777554063,996,182,198,211,205,200
1777554064,998,206,203,180,207,202
1777554065,1073,211,216,219,214,213
1777554066,1137,227,225,224,231,230
1777554067,1101,221,219,214,234,213
1777554068,1107,224,206,218,232,227
1777554069,1136,225,214,230,229,238
1777554070,1145,228,228,225,232,232
1777554071,1148,224,232,226,230,236
1777554072,1152,239,233,218,236,226
1777554073,1165,228,241,216,247,233
1777554074,1144,241,219,227,239,218
1777554075,1118,218,227,212,231,230
1777554076,1154,239,225,229,229,232
1777554077,1129,224,217,232,237,219
1777554078,1127,224,223,225,234,221
1777554079,1127,224,207,230,233,233
1777554080,1106,217,200,233,205,251
1777554081,1121,237,235,213,229,207
1777554082,1121,230,229,219,247,196
1777554083,1069,237,189,187,269,187
1777554084,1109,191,205,222,244,247
1777554085,1016,201,170,187,252,206
1777554086,991,180,162,167,275,207
1777554087,986,195,200,143,213,235
1777554088,968,176,201,165,191,235
1777554089,854,232,160,135,162,165
1777554090,908,185,175,148,182,218
1777554091,825,178,167,154,165,161
1777554092,837,156,159,203,179,140
1777554093,769,159,168,139,170,133
1777554094,815,143,167,160,166,179
1777554095,886,136,150,185,242,173
1777554096,798,140,154,139,184,181
1777554097,725,170,131,156,141,127
1777554098,740,124,146,171,154,145
1777554099,732,127,148,137,170,150
1777554100,702,132,154,113,147,156
1777554101,652,144,134,124,134,116
1777554102,641,143,128,127,134,109
1777554103,681,123,122,128,171,137
1777554104,730,125,118,106,236,145
1777554105,622,139,117,117,141,108
1777554106,620,144,118,119,135,104
1777554107,643,137,118,137,157,94
1777554108,621,126,121,155,123,96
1777554109,615,123,114,151,130,97
1777554110,716,169,104,161,186,96
1777554111,1050,335,310,139,142,124
1777554112,1158,248,260,239,192,219
1777554113,1136,229,228,238,215,226
1777554114,1163,255,198,259,238,213
1777554115,1113,231,191,268,227,196
1777554116,1098,230,208,216,268,176
1777554117,1063,239,181,232,233,178
1777554118,987,199,178,201,260,149
1777554119,943,186,141,187,243,186
1777554120,951,203,146,192,209,201
1777554121,924,196,174,184,229,141
1777554122,900,187,163,184,197,169
1777554123,859,166,150,162,244,137
1777554124,830,167,149,168,226,120
1777554125,804,178,142,163,193,128
1777554126,789,190,109,180,134,176
1777554127,736,168,111,166,149,142
1777554128,728,192,113,132,168,123
1777554129,731,175,114,132,164,146
1777554130,706,123,109,144,205,125
1777554131,677,165,118,126,125,143
1777554132,672,179,111,120,119,143
1777554133,680,179,109,123,151,118
1777554134,659,175,106,118,149,111
1777554135,612,135,104,118,145,110
1777554136,595,147,106,115,117,110
1777554137,583,134,105,125,111,108
1777554138,597,112,115,155,109,106
1777554139,591,117,115,115,122,122
1777554140,623,144,100,112,135,132
1777554141,606,154,99,105,138,110
1777554142,579,127,104,110,134,104
1777554143,556,112,121,117,102,104
1777554144,624,128,126,143,127,100
1777554145,597,139,124,132,100,102
1777554146,574,140,122,103,93,116
1777554147,578,115,108,112,122,121
1777554148,547,131,93,102,118,103
1777554149,437,49,66,104,122,96
1777554150,50,0,0,8,15,27
