source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1777554058037271,4,,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1777554058097230,4,,,,,1777554058037282,1777554058097230,,,"4,127.0.0.1:19584,0",,,,,59948
server,persistent_state_fetch,completed,1777554058151516,4,,,,,1777554058097244,1777554058151516,,,restored_existing_snapshot,,,,,54272
server,membership_directory_read,completed,1777554058205964,4,,,,,1777554058151525,1777554058205964,,,init:4 descriptors,,,,,54439
server,replica_init,completed,1777554058206027,4,,,,,,,,,,,,,,
server,client_mutation,completed,1777554058206069,4,,,,1777554058206054,1777554058206064,1777554058206069,,,,,,,,5
server,client_mutation,completed,1777554058206099,4,,,,1777554058206092,1777554058206097,1777554058206099,,,,,,,,2
server,client_mutation,completed,1777554058206107,4,,,,1777554058206103,1777554058206105,1777554058206107,,,,,,,,2
server,client_mutation,completed,1777554058206115,4,,,,1777554058206111,1777554058206113,1777554058206115,,,,,,,,2
server,client_mutation,completed,1777554058206121,4,,,,1777554058206117,1777554058206119,1777554058206121,,,,,,,,2
server,client_mutation,completed,1777554058206128,4,,,,1777554058206124,1777554058206126,1777554058206128,,,,,,,,2
server,client_mutation,completed,1777554058206136,4,,,,1777554058206130,1777554058206135,1777554058206136,,,,,,,,1
server,client_mutation,completed,1777554058206144,4,,,,1777554058206140,1777554058206142,1777554058206144,,,,,,,,2
server,client_mutation,completed,1777554058222639,4,,,,1777554058222610,1777554058222634,1777554058222639,,,,,,,,5
server,client_mutation,completed,1777554058222891,4,,,,1777554058222874,1777554058222887,1777554058222891,,,,,,,,4
server,client_mutation,completed,1777554058224310,4,,,,1777554058224300,1777554058224308,1777554058224310,,,,,,,,2
server,client_mutation,completed,1777554058224623,4,,,,1777554058224618,1777554058224622,1777554058224623,,,,,,,,1
server,client_mutation,completed,1777554058225786,4,,,,1777554058225759,1777554058225780,1777554058225786,,,,,,,,6
server,client_mutation,completed,1777554058227801,4,,,,1777554058227790,1777554058227799,1777554058227801,,,,,,,,2
server,client_mutation,completed,1777554058231476,4,,,,1777554058231460,1777554058231474,1777554058231476,,,,,,,,2
server,client_mutation,completed,1777554058234978,4,,,,1777554058234959,1777554058234974,1777554058234978,,,,,,,,4
server,client_mutation,completed,1777554058241950,4,,,,1777554058241919,1777554058241931,1777554058241950,,,,,,,,19
server,client_mutation,completed,1777554058242040,4,,,,1777554058242009,1777554058242036,1777554058242040,,,,,,,,4
server,client_mutation,completed,1777554058245901,4,,,,1777554058245875,1777554058245898,1777554058245901,,,,,,,,3
server,client_mutation,completed,1777554058254959,4,,,,1777554058254927,1777554058254956,1777554058254959,,,,,,,,3
server,client_mutation,completed,1777554058258664,4,,,,1777554058258647,1777554058258659,1777554058258664,,,,,,,,5
server,client_mutation,completed,1777554058262750,4,,,,1777554058262722,1777554058262746,1777554058262750,,,,,,,,4
server,client_mutation,completed,1777554058267289,4,,,,1777554058267266,1777554058267286,1777554058267289,,,,,,,,3
server,client_mutation,completed,1777554058269907,4,,,,1777554058269892,1777554058269903,1777554058269907,,,,,,,,4
server,client_mutation,completed,1777554058270940,4,,,,1777554058270906,1777554058270936,1777554058270940,,,,,,,,4
server,client_mutation,completed,1777554058274152,4,,,,1777554058274129,1777554058274148,1777554058274152,,,,,,,,4
server,client_mutation,completed,1777554058275757,4,,,,1777554058275733,1777554058275754,1777554058275757,,,,,,,,3
server,client_mutation,completed,1777554058277758,4,,,,1777554058277742,1777554058277754,1777554058277758,,,,,,,,4
server,client_mutation,completed,1777554058285026,4,,,,1777554058284992,1777554058285022,1777554058285026,,,,,,,,4
server,client_mutation,completed,1777554058287787,4,,,,1777554058287768,1777554058287783,1777554058287787,,,,,,,,4
server,client_mutation,completed,1777554058287943,4,,,,1777554058287932,1777554058287940,1777554058287943,,,,,,,,3
server,client_mutation,completed,1777554058302386,4,,,,1777554058302363,1777554058302381,1777554058302386,,,,,,,,5
server,client_mutation,completed,1777554058305043,4,,,,1777554058305015,1777554058305038,1777554058305043,,,,,,,,5
server,client_mutation,completed,1777554058307473,4,,,,1777554058307441,1777554058307468,1777554058307473,,,,,,,,5
server,client_mutation,completed,1777554058315241,4,,,,1777554058315223,1777554058315237,1777554058315241,,,,,,,,4
