second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests,replica_4_successful_requests,replica_5_successful_requests,replica_6_successful_requests
1777554155,886,886,0,0,0,0,0
1777554156,1050,821,229,0,0,0,0
1777554157,1027,466,472,89,0,0,0
1777554158,992,322,315,327,28,0,0
1777554159,959,235,240,233,251,0,0
1777554160,936,199,194,204,204,135,0
1777554161,903,172,169,176,166,173,47
1777554162,974,165,172,160,155,157,165
1777554163,949,155,161,162,167,145,159
1777554164,956,159,158,161,170,164,144
1777554165,957,162,150,168,160,148,169
1777554166,936,161,156,163,157,151,148
1777554167,1040,185,159,167,182,185,162
1777554168,1150,199,187,196,192,195,181
1777554169,1137,194,172,201,191,203,176
1777554170,1133,196,187,193,181,190,186
1777554171,1149,200,194,185,204,172,194
1777554172,1154,181,196,207,199,184,187
1777554173,1188,207,170,209,195,206,201
1777554174,1164,200,178,214,186,206,180
1777554175,1189,219,166,216,208,206,174
1777554176,1158,200,175,215,199,200,169
1777554177,1156,199,188,201,195,189,184
1777554178,1133,201,183,189,183,191,186
1777554179,1170,208,183,205,210,187,177
1777554180,1138,207,186,186,190,192,177
1777554181,1115,195,173,188,194,179,186
1777554182,1125,188,176,191,185,185,200
1777554183,1139,190,177,189,202,179,202
1777554184,1117,182,195,171,189,179,201
1777554185,1121,175,206,170,166,176,228
1777554186,1116,176,192,174,180,163,231
1777554187,1137,177,206,179,193,155,227
1777554188,1133,158,221,174,174,209,197
1777554189,1038,158,188,154,177,167,194
1777554190,1070,208,162,155,165,198,182
1777554191,1067,160,247,150,144,179,187
1777554192,1023,148,225,148,152,153,197
1777554193,951,138,172,138,151,149,203
1777554194,915,136,187,136,142,145,169
1777554195,876,137,171,130,136,128,174
1777554196,909,161,154,129,130,131,204
1777554197,928,136,143,128,134,141,246
1777554198,923,129,153,141,147,155,198
1777554199,885,145,136,193,131,113,167
1777554200,895,164,139,156,123,147,166
1777554201,820,136,139,115,126,151,153
1777554202,824,121,142,125,132,157,147
1777554203,828,121,163,138,131,138,137
1777554204,825,116,158,125,163,129,134
1777554205,800,159,140,112,136,121,132
1777554206,809,162,141,123,133,115,135
1777554207,729,115,132,113,124,115,130
1777554208,750,113,131,151,107,116,132
1777554209,749,120,128,134,105,134,128
1777554210,711,108,122,140,103,111,127
1777554211,708,119,116,137,102,107,127
1777554212,760,121,118,173,103,109,136
1777554213,909,165,166,242,96,107,133
1777554214,1114,193,270,205,172,145,129
1777554215,1132,177,220,173,180,174,208
1777554216,1149,175,206,177,170,175,246
1777554217,1138,174,233,169,168,170,224
1777554218,1111,168,227,165,166,164,221
1777554219,1075,163,215,161,164,158,214
1777554220,1057,159,211,157,161,161,208
1777554221,1016,156,200,155,154,157,194
1777554222,999,153,202,153,150,150,191
1777554223,976,150,196,148,147,146,189
1777554224,961,152,195,139,145,146,184
1777554225,924,143,192,123,142,144,180
1777554226,908,142,171,129,139,140,187
1777554227,826,132,149,118,138,139,150
1777554228,846,113,193,137,137,140,126
1777554229,847,132,189,135,134,135,122
1777554230,835,133,184,133,132,133,120
1777554231,793,134,177,121,132,112,117
1777554232,746,130,158,100,115,131,112
1777554233,733,127,148,111,94,131,122
1777554234,764,125,158,122,125,123,111
1777554235,732,124,158,113,123,101,113
1777554236,695,126,126,99,110,101,133
1777554237,683,101,105,106,102,121,148
1777554238,722,116,122,118,117,120,129
1777554239,675,98,106,119,119,99,134
1777554240,690,118,107,107,118,95,145
1777554241,689,115,106,99,114,116,139
1777554242,631,95,107,114,108,90,117
1777554243,647,88,122,115,93,112,117
1777554244,683,112,132,113,106,89,131
1777554245,647,91,134,112,85,114,111
1777554246,613,109,114,102,90,96,102
1777554247,595,111,100,84,90,93,117
1777554248,579,112,95,84,88,91,109
1777554249,573,110,106,83,85,90,99
1777554250,581,110,108,91,81,91,100
1777554251,556,89,100,104,80,84,99
1777554252,306,0,13,42,62,101,88
1777554253,69,0,0,0,0,8,61
1777554254,1,0,0,0,0,0,1
