second_bucket,combined_successful_requests,replica_1_successful_requests,replica_2_successful_requests,replica_3_successful_requests,replica_4_successful_requests,replica_5_successful_requests,replica_6_successful_requests,replica_7_successful_requests
1777554258,484,484,0,0,0,0,0,0
1777554259,1170,1086,84,0,0,0,0,0
1777554260,1058,498,560,0,0,0,0,0
1777554261,963,350,332,281,0,0,0,0
1777554262,929,249,245,259,176,0,0,0
1777554263,934,192,214,207,210,111,0,0
1777554264,943,171,179,179,173,173,68,0
1777554265,937,148,148,149,152,155,151,34
1777554266,924,131,130,130,139,129,140,125
1777554267,926,133,130,133,130,134,141,125
1777554268,928,136,137,129,132,134,135,125
1777554269,974,139,139,134,144,145,130,143
1777554270,1060,148,150,153,152,160,149,148
1777554271,1087,158,168,156,144,159,151,151
1777554272,1111,151,157,167,153,155,170,158
1777554273,1121,165,166,161,160,155,162,152
1777554274,1124,160,154,164,158,159,162,167
1777554275,1130,153,148,163,160,180,159,167
1777554276,1140,166,161,160,166,174,152,161
1777554277,1169,161,169,159,168,165,173,174
1777554278,1160,163,162,150,178,173,173,161
1777554279,1138,150,166,173,168,167,160,154
1777554280,1184,170,164,159,183,177,163,168
1777554281,1145,162,167,166,163,161,158,168
1777554282,1146,159,165,162,164,167,161,168
1777554283,1141,155,161,162,165,162,168,168
1777554284,1141,164,161,171,161,168,159,157
1777554285,1142,164,159,176,159,165,159,160
1777554286,1120,159,161,162,167,156,159,156
1777554287,1124,152,161,171,164,156,155,165
1777554288,1114,152,163,160,151,161,165,162
1777554289,1121,155,162,166,147,172,160,159
1777554290,1092,145,153,162,138,169,150,175
1777554291,1128,146,159,169,140,180,163,171
1777554292,1144,172,163,165,147,177,154,166
1777554293,1153,149,162,163,152,183,166,178
1777554294,1135,136,156,174,149,203,157,160
1777554295,1151,153,142,172,153,210,144,177
1777554296,1054,134,145,147,136,198,141,153
1777554297,1084,119,148,151,133,224,140,169
1777554298,1101,151,138,139,137,192,131,213
1777554299,1029,148,131,146,130,186,133,155
1777554300,965,153,130,137,127,160,115,143
1777554301,978,175,122,140,125,140,109,167
1777554302,970,150,120,138,122,160,121,159
1777554303,975,128,117,134,147,162,140,147
1777554304,962,134,112,167,129,147,141,132
1777554305,924,120,111,167,116,150,111,149
1777554306,929,116,110,171,133,153,109,137
1777554307,856,115,108,115,144,146,105,123
1777554308,869,112,107,123,121,138,122,146
1777554309,889,113,105,123,106,137,144,161
1777554310,886,107,105,142,133,133,131,135
1777554311,837,101,141,112,133,127,101,122
1777554312,806,99,98,134,110,133,110,122
1777554313,848,100,101,128,101,142,139,137
1777554314,788,101,108,119,103,129,126,102
1777554315,751,96,114,113,104,106,127,91
1777554316,719,89,89,117,118,93,113,100
1777554317,718,91,89,112,97,127,88,114
1777554318,695,81,89,103,97,119,97,109
1777554319,704,100,83,90,92,113,122,104
1777554320,833,145,148,126,90,111,115,98
1777554321,1006,160,156,136,119,171,94,170
1777554322,1010,155,121,118,166,135,155,160
1777554323,1010,152,128,114,158,149,150,159
1777554324,1018,152,134,114,155,162,149,152
1777554325,963,148,113,114,150,156,129,153
1777554326,965,142,118,143,145,147,126,144
1777554327,933,121,127,139,127,130,140,149
1777554328,897,123,116,139,115,115,138,151
1777554329,907,119,125,138,136,130,118,141
1777554330,899,121,104,138,138,140,121,137
1777554331,894,131,110,130,138,119,128,138
1777554332,889,126,115,127,134,124,126,137
1777554333,843,112,96,130,131,133,110,131
1777554334,769,99,96,103,98,132,110,131
1777554335,803,96,103,126,93,132,123,130
1777554336,811,95,114,119,106,128,122,127
1777554337,797,93,98,125,123,127,106,125
1777554338,746,90,92,123,121,103,91,126
1777554339,737,88,90,121,120,110,105,103
1777554340,762,88,87,119,122,122,118,106
1777554341,749,87,85,117,119,111,117,113
1777554342,707,84,85,100,119,114,106,99
1777554343,739,85,86,116,117,118,115,102
1777554344,745,96,91,115,113,106,111,113
1777554345,753,106,111,91,113,113,111,108
1777554346,751,109,101,110,114,114,109,94
1777554347,694,94,91,84,113,111,110,91
1777554348,682,79,101,89,103,113,108,89
1777554349,660,78,84,108,93,99,108,90
1777554350,632,85,85,81,88,102,106,85
1777554351,657,86,89,105,88,109,94,86
1777554352,644,84,89,86,100,106,95,84
1777554353,655,87,88,85,105,106,94,90
1777554354,624,79,85,86,89,98,89,98
1777554355,606,63,83,80,98,104,95,83
1777554356,292,0,11,31,52,75,69,54
1777554357,82,0,0,0,0,2,34,46
