source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
client,client_request,completed,1777554366201259,4,,,1777554366067247,1777554366201259,1777554366067247,1777554366201259,,,,client-4-0,Insert,14044863,200,134012
client,client_request,completed,1777554366231643,4,,,1777554366201403,1777554366231643,1777554366201403,1777554366231643,,,,client-4-0,Remove,-774758,200,30240
client,client_request,completed,1777554366253723,4,,,1777554366231778,1777554366253723,1777554366231778,1777554366253723,,,,client-4-0,Remove,3785280,200,21945
client,client_request,completed,1777554366264710,4,,,1777554366253836,1777554366264710,1777554366253836,1777554366264710,,,,client-4-0,Remove,-15248176,200,10874
client,client_request,completed,1777554366284683,4,,,1777554366264826,1777554366284683,1777554366264826,1777554366284683,,,,client-4-0,Remove,1240554,200,19857
client,client_request,completed,1777554366295806,4,,,1777554366284815,1777554366295806,1777554366284815,1777554366295806,,,,client-4-0,Remove,-8899654,200,10991
client,client_request,completed,1777554366361378,4,,,1777554366302023,1777554366361378,1777554366302023,1777554366361378,,,,client-4-0,Remove,-7046091,200,59355
client,client_request,completed,1777554366405117,4,,,1777554366361516,1777554366405117,1777554366361516,1777554366405117,,,,client-4-0,Insert,13622222,200,43601
client,client_request,completed,1777554366446849,4,,,1777554366409270,1777554366446849,1777554366409270,1777554366446849,,,,client-4-0,Remove,9832319,200,37579
client,client_request,completed,1777554366492775,4,,,1777554366446961,1777554366492775,1777554366446961,1777554366492775,,,,client-4-0,Remove,-11729957,200,45814
client,client_request,completed,1777554366517502,4,,,1777554366492883,1777554366517502,1777554366492883,1777554366517502,,,,client-4-0,Remove,11637178,200,24619
client,client_request,completed,1777554366534115,4,,,1777554366518979,1777554366534115,1777554366518979,1777554366534115,,,,client-4-0,Insert,-11004106,200,15136
client,client_request,completed,1777554366556033,4,,,1777554366534225,1777554366556033,1777554366534225,1777554366556033,,,,client-4-0,Insert,12009908,200,21808
client,client_request,completed,1777554366574603,4,,,1777554366561805,1777554366574603,1777554366561805,1777554366574603,,,,client-4-0,Insert,-9080439,200,12798
client,client_request,completed,1777554366612226,4,,,1777554366579412,1777554366612226,1777554366579412,1777554366612226,,,,client-4-0,Remove,-1528339,200,32814
client,client_request,completed,1777554366664387,4,,,1777554366614452,1777554366664387,1777554366614452,1777554366664387,,,,client-4-0,Insert,15078639,200,49935
client,client_request,completed,1777554366692095,4,,,1777554366673805,1777554366692095,1777554366673805,1777554366692095,,,,client-4-0,Insert,12528598,200,18290
client,client_request,completed,1777554366713568,4,,,1777554366692220,1777554366713568,1777554366692220,1777554366713568,,,,client-4-0,Remove,7276745,200,21348
client,client_request,completed,1777554366739244,4,,,1777554366713697,1777554366739244,1777554366713697,1777554366739244,,,,client-4-0,Remove,-11787858,200,25547
client,client_request,completed,1777554366787339,4,,,1777554366739373,1777554366787339,1777554366739373,1777554366787339,,,,client-4-0,Insert,8736967,200,47966
client,client_request,completed,1777554366820803,4,,,1777554366787456,1777554366820803,1777554366787456,1777554366820803,,,,client-4-0,Insert,3135238,200,33347
client,client_request,completed,1777554366844820,4,,,1777554366820931,1777554366844820,1777554366820931,1777554366844820,,,,client-4-0,Remove,-9603944,200,23889
client,client_request,completed,1777554366866268,4,,,1777554366844946,1777554366866268,1777554366844946,1777554366866268,,,,client-4-0,Insert,-10176696,200,21322
client,client_request,completed,1777554366919897,4,,,1777554366866388,1777554366919897,1777554366866388,1777554366919897,,,,client-4-0,Remove,10194604,200,53509
client,client_request,completed,1777554366970025,4,,,1777554366921840,1777554366970025,1777554366921840,1777554366970025,,,,client-4-0,Insert,-12935238,200,48185
client,client_request,completed,1777554367025001,4,,,1777554366973800,1777554367025001,1777554366973800,1777554367025001,,,,client-4-0,Remove,-13095281,200,51201
client,client_request,completed,1777554367094733,4,,,1777554367025118,1777554367094733,1777554367025118,1777554367094733,,,,client-4-0,Remove,-5306170,200,69615
client,client_request,completed,1777554367124550,4,,,1777554367100129,1777554367124550,1777554367100129,1777554367124550,,,,client-4-0,Insert,-13786487,200,24421
client,client_request,completed,1777554367166870,4,,,1777554367126983,1777554367166870,1777554367126983,1777554367166870,,,,client-4-0,Remove,-15450559,200,39887
client,client_request,completed,1777554367192345,4,,,1777554367172213,1777554367192345,1777554367172213,1777554367192345,,,,client-4-0,Remove,9559341,200,20132
client,client_request,completed,1777554367228611,4,,,1777554367196378,1777554367228611,1777554367196378,1777554367228611,,,,client-4-0,Remove,14365946,200,32233
client,client_request,completed,1777554367247930,4,,,1777554367231195,1777554367247930,1777554367231195,1777554367247930,,,,client-4-0,Insert,6032215,200,16735
client,client_request,completed,1777554367262162,4,,,1777554367250592,1777554367262162,1777554367250592,1777554367262162,,,,client-4-0,Insert,15599467,200,11570
client,client_request,completed,1777554367291016,4,,,1777554367262281,1777554367291016,1777554367262281,1777554367291016,,,,client-4-0,Insert,-4228021,200,28735
