source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
client,client_request,completed,1777544619465694,2,,,1777544619210910,1777544619465694,1777544619210910,1777544619465694,,,,client-2-1,Remove,1740210,200,254784
client,client_request,completed,1777544619466532,2,,,1777544619465841,1777544619466532,1777544619465841,1777544619466532,,,,client-2-1,Insert,1801826,200,691
client,client_request,completed,1777544619467540,2,,,1777544619466635,1777544619467540,1777544619466635,1777544619467540,,,,client-2-1,Insert,-2006831,200,905
client,client_request,completed,1777544619468481,2,,,1777544619467696,1777544619468481,1777544619467696,1777544619468481,,,,client-2-1,Remove,-341694,200,785
client,client_request,completed,1777544619469275,2,,,1777544619468526,1777544619469275,1777544619468526,1777544619469275,,,,client-2-1,Insert,768775,200,749
client,client_request,completed,1777544619470120,2,,,1777544619469419,1777544619470120,1777544619469419,1777544619470120,,,,client-2-1,Insert,691259,200,701
client,client_request,completed,1777544619471291,2,,,1777544619470261,1777544619471291,1777544619470261,1777544619471291,,,,client-2-1,Insert,1774940,200,1030
client,client_request,completed,1777544619472321,2,,,1777544619471429,1777544619472321,1777544619471429,1777544619472321,,,,client-2-1,Insert,198586,200,892
client,client_request,completed,1777544619473439,2,,,1777544619472437,1777544619473439,1777544619472437,1777544619473439,,,,client-2-1,Remove,-868330,200,1002
client,client_request,completed,1777544619474436,2,,,1777544619473503,1777544619474436,1777544619473503,1777544619474436,,,,client-2-1,Remove,-1044407,200,933
client,client_request,completed,1777544619475273,2,,,1777544619474581,1777544619475273,1777544619474581,1777544619475273,,,,client-2-1,Insert,-1799138,200,692
client,client_request,completed,1777544619476171,2,,,1777544619475376,1777544619476171,1777544619475376,1777544619476171,,,,client-2-1,Insert,-1668709,200,795
client,client_request,completed,1777544619477325,2,,,1777544619476299,1777544619477325,1777544619476299,1777544619477325,,,,client-2-1,Remove,-1376015,200,1026
client,client_request,completed,1777544619478403,2,,,1777544619477382,1777544619478403,1777544619477382,1777544619478403,,,,client-2-1,Insert,943805,200,1021
client,client_request,completed,1777544619479230,2,,,1777544619478473,1777544619479230,1777544619478473,1777544619479230,,,,client-2-1,Remove,-926673,200,757
client,client_request,completed,1777544619480101,2,,,1777544619479358,1777544619480101,1777544619479358,1777544619480101,,,,client-2-1,Insert,2004368,200,743
client,client_request,completed,1777544619481276,2,,,1777544619480235,1777544619481276,1777544619480235,1777544619481276,,,,client-2-1,Remove,1261296,200,1041
client,client_request,completed,1777544619482125,2,,,1777544619481380,1777544619482125,1777544619481380,1777544619482125,,,,client-2-1,Remove,1209902,200,745
client,client_request,completed,1777544619482997,2,,,1777544619482169,1777544619482997,1777544619482169,1777544619482997,,,,client-2-1,Insert,771929,200,828
client,client_request,completed,1777544619484170,2,,,1777544619483155,1777544619484170,1777544619483155,1777544619484170,,,,client-2-1,Insert,929737,200,1015
client,client_request,completed,1777544619485348,2,,,1777544619484237,1777544619485348,1777544619484237,1777544619485348,,,,client-2-1,Insert,586725,200,1111
client,client_request,completed,1777544619486416,2,,,1777544619485475,1777544619486416,1777544619485475,1777544619486416,,,,client-2-1,Insert,1031053,200,941
client,client_request,completed,1777544619487524,2,,,1777544619486664,1777544619487524,1777544619486664,1777544619487524,,,,client-2-1,Remove,-678789,200,860
client,client_request,completed,1777544619488606,2,,,1777544619487588,1777544619488606,1777544619487588,1777544619488606,,,,client-2-1,Insert,1621370,200,1018
client,client_request,completed,1777544619489524,2,,,1777544619488734,1777544619489524,1777544619488734,1777544619489524,,,,client-2-1,Insert,790798,200,790
client,client_request,completed,1777544619490404,2,,,1777544619489679,1777544619490404,1777544619489679,1777544619490404,,,,client-2-1,Insert,1587913,200,725
client,client_request,completed,1777544619491321,2,,,1777544619490560,1777544619491321,1777544619490560,1777544619491321,,,,client-2-1,Insert,-731615,200,761
client,client_request,completed,1777544619492192,2,,,1777544619491500,1777544619492192,1777544619491500,1777544619492192,,,,client-2-1,Insert,1648231,200,692
client,client_request,completed,1777544619492965,2,,,1777544619492313,1777544619492965,1777544619492313,1777544619492965,,,,client-2-1,Remove,-1964510,200,652
client,client_request,completed,1777544619493935,2,,,1777544619493046,1777544619493935,1777544619493046,1777544619493935,,,,client-2-1,Insert,1086426,200,889
client,client_request,completed,1777544619494767,2,,,1777544619493975,1777544619494767,1777544619493975,1777544619494767,,,,client-2-1,Insert,-1798951,200,792
client,client_request,completed,1777544619495629,2,,,1777544619495017,1777544619495629,1777544619495017,1777544619495629,,,,client-2-1,Remove,1727768,200,612
client,client_request,completed,1777544619496619,2,,,1777544619495684,1777544619496619,1777544619495684,1777544619496619,,,,client-2-1,Remove,1760572,200,935
client,client_request,completed,1777544619497740,2,,,1777544619496715,1777544619497740,1777544619496715,1777544619497740,,,,client-2-1,Insert,1350505,200,1025
client,client_request,completed,1777544619498698,2,,,1777544619497790,1777544619498698,1777544619497790,1777544619498698,,,,client-2-1,Remove,-1809191,200,908
client,client_request,completed,1777544619499690,2,,,1777544619498772,1777544619499690,1777544619498772,1777544619499690,,,,client-2-1,Insert,1317137,200,918
client,client_request,completed,1777544619500599,2,,,1777544619499818,1777544619500599,1777544619499818,1777544619500599,,,,client-2-1,Insert,-1398254,200,781
client,client_request,completed,1777544619501819,2,,,1777544619500689,1777544619501819,1777544619500689,1777544619501819,,,,client-2-1,Insert,-530622,200,1130
client,client_request,completed,1777544619502756,2,,,1777544619501939,1777544619502756,1777544619501939,1777544619502756,,,,client-2-1,Remove,630227,200,817
client,client_request,completed,1777544619503541,2,,,1777544619502835,1777544619503541,1777544619502835,1777544619503541,,,,client-2-1,Remove,1231822,200,706
client,client_request,completed,1777544619504618,2,,,1777544619503744,1777544619504618,1777544619503744,1777544619504618,,,,client-2-1,Remove,716472,200,874
client,client_request,completed,1777544619505513,2,,,1777544619504677,1777544619505513,1777544619504677,1777544619505513,,,,client-2-1,Remove,129186,200,836
client,client_request,completed,1777544619506551,2,,,1777544619505618,1777544619506551,1777544619505618,1777544619506551,,,,client-2-1,Insert,-218452,200,933
client,client_request,completed,1777544619507556,2,,,1777544619506700,1777544619507556,1777544619506700,1777544619507556,,,,client-2-1,Remove,1755586,200,856
client,client_request,completed,1777544619508560,2,,,1777544619507683,1777544619508560,1777544619507683,1777544619508560,,,,client-2-1,Insert,1866611,200,877
client,client_request,completed,1777544619509624,2,,,1777544619508650,1777544619509624,1777544619508650,1777544619509624,,,,client-2-1,Insert,1998523,200,974
client,client_request,completed,1777544619510381,2,,,1777544619509693,1777544619510381,1777544619509693,1777544619510381,,,,client-2-1,Insert,-844240,200,688
client,client_request,completed,1777544619511217,2,,,1777544619510572,1777544619511217,1777544619510572,1777544619511217,,,,client-2-1,Remove,724036,200,645
client,client_request,completed,1777544619512375,2,,,1777544619511307,1777544619512375,1777544619511307,1777544619512375,,,,client-2-1,Remove,1037610,200,1068
client,client_request,completed,1777544619513188,2,,,1777544619512479,1777544619513188,1777544619512479,1777544619513188,,,,client-2-1,Insert,756043,200,709
client,client_request,completed,1777544619514270,2,,,1777544619513334,1777544619514270,1777544619513334,1777544619514270,,,,client-2-1,Insert,-1479855,200,936
client,client_request,completed,1777544619515347,2,,,1777544619514420,1777544619515347,1777544619514420,1777544619515347,,,,client-2-1,Remove,-1567958,200,927
client,client_request,completed,1777544619516569,2,,,1777544619515437,1777544619516569,1777544619515437,1777544619516569,,,,client-2-1,Insert,-1036913,200,1132
client,client_request,completed,1777544619517581,2,,,1777544619516681,1777544619517581,1777544619516681,1777544619517581,,,,client-2-1,Insert,-328552,200,900
client,client_request,completed,1777544619518956,2,,,1777544619517714,1777544619518956,1777544619517714,1777544619518956,,,,client-2-1,Remove,447560,200,1242
client,client_request,completed,1777544619520156,2,,,1777544619519024,1777544619520156,1777544619519024,1777544619520156,,,,client-2-1,Insert,-993396,200,1132
client,client_request,completed,1777544619520866,2,,,1777544619520214,1777544619520866,1777544619520214,1777544619520866,,,,client-2-1,Remove,-1353451,200,652
client,client_request,completed,1777544619521844,2,,,1777544619521030,1777544619521844,1777544619521030,1777544619521844,,,,client-2-1,Remove,-1865384,200,814
client,client_request,completed,1777544619522892,2,,,1777544619522025,1777544619522892,1777544619522025,1777544619522892,,,,client-2-1,Remove,421212,200,867
client,client_request,completed,1777544619523924,2,,,1777544619523000,1777544619523924,1777544619523000,1777544619523924,,,,client-2-1,Insert,1278244,200,924
client,client_request,completed,1777544619524598,2,,,1777544619524039,1777544619524598,1777544619524039,1777544619524598,,,,client-2-1,Insert,551734,200,559
client,client_request,completed,1777544619525616,2,,,1777544619524693,1777544619525616,1777544619524693,1777544619525616,,,,client-2-1,Remove,-1574500,200,923
client,client_request,completed,1777544619526688,2,,,1777544619525658,1777544619526688,1777544619525658,1777544619526688,,,,client-2-1,Remove,380255,200,1030
client,client_request,completed,1777544619527605,2,,,1777544619527006,1777544619527605,1777544619527006,1777544619527605,,,,client-2-1,Remove,2055520,200,599
client,client_request,completed,1777544619528600,2,,,1777544619527731,1777544619528600,1777544619527731,1777544619528600,,,,client-2-1,Remove,97428,200,869
client,client_request,completed,1777544619529659,2,,,1777544619528778,1777544619529659,1777544619528778,1777544619529659,,,,client-2-1,Insert,-1333976,200,881
client,client_request,completed,1777544619530451,2,,,1777544619529773,1777544619530451,1777544619529773,1777544619530451,,,,client-2-1,Insert,-1903364,200,678
client,client_request,completed,1777544619531328,2,,,1777544619530522,1777544619531328,1777544619530522,1777544619531328,,,,client-2-1,Remove,-968511,200,806
client,client_request,completed,1777544619532344,2,,,1777544619531406,1777544619532344,1777544619531406,1777544619532344,,,,client-2-1,Insert,-1574420,200,938
client,client_request,completed,1777544619533465,2,,,1777544619532410,1777544619533465,1777544619532410,1777544619533465,,,,client-2-1,Insert,38922,200,1055
client,client_request,completed,1777544619534558,2,,,1777544619533580,1777544619534558,1777544619533580,1777544619534558,,,,client-2-1,Insert,-1574907,200,978
client,client_request,completed,1777544619535713,2,,,1777544619534627,1777544619535713,1777544619534627,1777544619535713,,,,client-2-1,Insert,2086279,200,1086
client,client_request,completed,1777544619536666,2,,,1777544619535789,1777544619536666,1777544619535789,1777544619536666,,,,client-2-1,Insert,-213253,200,877
