source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1777544618154223,1,,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1777544618252146,1,,,,,1777544618154239,1777544618252146,,,"1,127.0.0.1:19381,0",,,,,97907
server,persistent_state_fetch,completed,1777544618280358,1,,,,,1777544618252161,1777544618280358,,,persistent_snapshot_missing,,,,,28197
server,persistent_state_write,completed,1777544618305257,1,,,,,1777544618280367,1777544618305257,,,initial_snapshot,,,,,24890
server,persistent_state_fetch,completed,1777544618305262,1,,,,,,,,,initialized_new_persistent_snapshot,,,,,
server,membership_directory_read,completed,1777544618332602,1,,,,,1777544618305265,1777544618332602,,,init:1 descriptors,,,,,27337
server,replica_init,completed,1777544618332660,1,,,,,,,,,,,,,,
server,client_mutation,completed,1777544618332707,1,,,,1777544618332688,1777544618332704,1777544618332707,,,,,,,,3
server,client_mutation,completed,1777544618332719,1,,,,1777544618332714,1777544618332718,1777544618332719,,,,,,,,1
client,client_request,completed,1777544618333237,1,,,1777544618000411,1777544618333237,1777544618000411,1777544618333237,,,,client-1-1,Insert,-1810037,200,332826
client,client_request,completed,1777544618333702,1,,,1777544617999936,1777544618333702,1777544617999936,1777544618333702,,,,client-1-0,Insert,-608941,200,333766
server,client_mutation,completed,1777544618334104,1,,,,1777544618334095,1777544618334101,1777544618334104,,,,,,,,3
server,client_mutation,completed,1777544618334184,1,,,,1777544618334178,1777544618334182,1777544618334184,,,,,,,,2
client,client_request,completed,1777544618334317,1,,,1777544618333505,1777544618334317,1777544618333505,1777544618334317,,,,client-1-1,Remove,-872165,200,812
client,client_request,completed,1777544618334766,1,,,1777544618333823,1777544618334766,1777544618333823,1777544618334766,,,,client-1-0,Insert,-494744,200,943
server,client_mutation,completed,1777544618335135,1,,,,1777544618335126,1777544618335132,1777544618335135,,,,,,,,3
server,client_mutation,completed,1777544618335237,1,,,,1777544618335231,1777544618335235,1777544618335237,,,,,,,,2
client,client_request,completed,1777544618335392,1,,,1777544618334381,1777544618335392,1777544618334381,1777544618335392,,,,client-1-1,Insert,1647522,200,1011
client,client_request,completed,1777544618335600,1,,,1777544618334876,1777544618335600,1777544618334876,1777544618335600,,,,client-1-0,Remove,1058055,200,724
server,client_mutation,completed,1777544618336130,1,,,,1777544618336122,1777544618336127,1777544618336130,,,,,,,,3
server,client_mutation,completed,1777544618336137,1,,,,1777544618336134,1777544618336136,1777544618336137,,,,,,,,1
client,client_request,completed,1777544618336304,1,,,1777544618335655,1777544618336304,1777544618335655,1777544618336304,,,,client-1-1,Insert,746965,200,649
client,client_request,completed,1777544618336594,1,,,1777544618335759,1777544618336594,1777544618335759,1777544618336594,,,,client-1-0,Insert,433041,200,835
server,client_mutation,completed,1777544618336871,1,,,,1777544618336863,1777544618336868,1777544618336871,,,,,,,,3
server,client_mutation,completed,1777544618336941,1,,,,1777544618336934,1777544618336939,1777544618336941,,,,,,,,2
client,client_request,completed,1777544618337196,1,,,1777544618336466,1777544618337196,1777544618336466,1777544618337196,,,,client-1-1,Insert,-1823542,200,730
client,client_request,completed,1777544618337240,1,,,1777544618336656,1777544618337240,1777544618336656,1777544618337240,,,,client-1-0,Remove,916900,200,584
server,client_mutation,completed,1777544618337704,1,,,,1777544618337691,1777544618337701,1777544618337704,,,,,,,,3
server,client_mutation,completed,1777544618337715,1,,,,1777544618337710,1777544618337713,1777544618337715,,,,,,,,2
client,client_request,completed,1777544618337999,1,,,1777544618337370,1777544618337999,1777544618337370,1777544618337999,,,,client-1-0,Insert,138158,200,629
client,client_request,completed,1777544618338039,1,,,1777544618337285,1777544618338039,1777544618337285,1777544618338039,,,,client-1-1,Insert,827593,200,754
server,client_mutation,completed,1777544618338452,1,,,,1777544618338445,1777544618338449,1777544618338452,,,,,,,,3
server,client_mutation,completed,1777544618338551,1,,,,1777544618338539,1777544618338547,1777544618338551,,,,,,,,4
client,client_request,completed,1777544618338828,1,,,1777544618338085,1777544618338828,1777544618338085,1777544618338828,,,,client-1-0,Insert,1866951,200,743
client,client_request,completed,1777544618338874,1,,,1777544618338169,1777544618338874,1777544618338169,1777544618338874,,,,client-1-1,Insert,2018021,200,705
server,client_mutation,completed,1777544618339300,1,,,,1777544618339292,1777544618339297,1777544618339300,,,,,,,,3
server,client_mutation,completed,1777544618339347,1,,,,1777544618339339,1777544618339345,1777544618339347,,,,,,,,2
client,client_request,completed,1777544618339569,1,,,1777544618338916,1777544618339569,1777544618338916,1777544618339569,,,,client-1-0,Insert,506512,200,653
client,client_request,completed,1777544618339610,1,,,1777544618338999,1777544618339610,1777544618338999,1777544618339610,,,,client-1-1,Insert,-204224,200,611
server,client_mutation,completed,1777544618340063,1,,,,1777544618340056,1777544618340060,1777544618340063,,,,,,,,3
