source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1777544620605073,3,,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1777544620688103,3,,,,,1777544620605088,1777544620688103,,,"3,127.0.0.1:19383,0",,,,,83015
server,persistent_state_fetch,completed,1777544620719895,3,,,,,1777544620688114,1777544620719895,,,restored_existing_snapshot,,,,,31781
server,membership_directory_read,completed,1777544620746562,3,,,,,1777544620719900,1777544620746562,,,init:3 descriptors,,,,,26662
server,replica_init,completed,1777544620746606,3,,,,,,,,,,,,,,
server,client_mutation,completed,1777544620746641,3,,,,1777544620746629,1777544620746639,1777544620746641,,,,,,,,2
server,client_mutation,completed,1777544620746649,3,,,,1777544620746645,1777544620746648,1777544620746649,,,,,,,,1
server,client_mutation,completed,1777544620748140,3,,,,1777544620748135,1777544620748138,1777544620748140,,,,,,,,2
server,client_mutation,completed,1777544620748162,3,,,,1777544620748158,1777544620748161,1777544620748162,,,,,,,,1
server,client_mutation,completed,1777544620749254,3,,,,1777544620749248,1777544620749252,1777544620749254,,,,,,,,2
server,client_mutation,completed,1777544620749362,3,,,,1777544620749355,1777544620749360,1777544620749362,,,,,,,,2
server,client_mutation,completed,1777544620750415,3,,,,1777544620750408,1777544620750412,1777544620750415,,,,,,,,3
server,client_mutation,completed,1777544620750683,3,,,,1777544620750677,1777544620750681,1777544620750683,,,,,,,,2
server,client_mutation,completed,1777544620751621,3,,,,1777544620751612,1777544620751618,1777544620751621,,,,,,,,3
server,client_mutation,completed,1777544620751936,3,,,,1777544620751930,1777544620751934,1777544620751936,,,,,,,,2
server,client_mutation,completed,1777544620752969,3,,,,1777544620752963,1777544620752968,1777544620752969,,,,,,,,1
server,client_mutation,completed,1777544620753041,3,,,,1777544620753036,1777544620753039,1777544620753041,,,,,,,,2
server,client_mutation,completed,1777544620754051,3,,,,1777544620754045,1777544620754049,1777544620754051,,,,,,,,2
server,client_mutation,completed,1777544620754073,3,,,,1777544620754069,1777544620754072,1777544620754073,,,,,,,,1
server,client_mutation,completed,1777544620755467,3,,,,1777544620755458,1777544620755463,1777544620755467,,,,,,,,4
server,client_mutation,completed,1777544620755675,3,,,,1777544620755667,1777544620755672,1777544620755675,,,,,,,,3
server,client_mutation,completed,1777544620756635,3,,,,1777544620756629,1777544620756633,1777544620756635,,,,,,,,2
server,client_mutation,completed,1777544620757364,3,,,,1777544620757358,1777544620757362,1777544620757364,,,,,,,,2
server,client_mutation,completed,1777544620757811,3,,,,1777544620757805,1777544620757809,1777544620757811,,,,,,,,2
server,client_mutation,completed,1777544620758787,3,,,,1777544620758780,1777544620758784,1777544620758787,,,,,,,,3
server,client_mutation,completed,1777544620758991,3,,,,1777544620758985,1777544620758989,1777544620758991,,,,,,,,2
server,client_mutation,completed,1777544620760187,3,,,,1777544620760180,1777544620760185,1777544620760187,,,,,,,,2
server,client_mutation,completed,1777544620760477,3,,,,1777544620760471,1777544620760475,1777544620760477,,,,,,,,2
server,client_mutation,completed,1777544620761845,3,,,,1777544620761838,1777544620761842,1777544620761845,,,,,,,,3
server,client_mutation,completed,1777544620762060,3,,,,1777544620762052,1777544620762057,1777544620762060,,,,,,,,3
server,client_mutation,completed,1777544620762914,3,,,,1777544620762897,1777544620762911,1777544620762914,,,,,,,,3
server,client_mutation,completed,1777544620762966,3,,,,1777544620762952,1777544620762963,1777544620762966,,,,,,,,3
server,client_mutation,completed,1777544620764428,3,,,,1777544620764419,1777544620764425,1777544620764428,,,,,,,,3
server,client_mutation,completed,1777544620764520,3,,,,1777544620764512,1777544620764517,1777544620764520,,,,,,,,3
server,client_mutation,completed,1777544620765635,3,,,,1777544620765626,1777544620765632,1777544620765635,,,,,,,,3
server,client_mutation,completed,1777544620765770,3,,,,1777544620765761,1777544620765767,1777544620765770,,,,,,,,3
server,client_mutation,completed,1777544620767172,3,,,,1777544620767164,1777544620767169,1777544620767172,,,,,,,,3
server,client_mutation,completed,1777544620767316,3,,,,1777544620767307,1777544620767313,1777544620767316,,,,,,,,3
server,client_mutation,completed,1777544620768978,3,,,,1777544620768968,1777544620768975,1777544620768978,,,,,,,,3
server,client_mutation,completed,1777544620769072,3,,,,1777544620769064,1777544620769070,1777544620769072,,,,,,,,2
server,client_mutation,completed,1777544620770245,3,,,,1777544620770229,1777544620770243,1777544620770245,,,,,,,,2
server,client_mutation,completed,1777544620770587,3,,,,1777544620770581,1777544620770585,1777544620770587,,,,,,,,2
server,client_mutation,completed,1777544620771449,3,,,,1777544620771441,1777544620771447,1777544620771449,,,,,,,,2
server,client_mutation,completed,1777544620772028,3,,,,1777544620772019,1777544620772025,1777544620772028,,,,,,,,3
server,client_mutation,completed,1777544620772496,3,,,,1777544620772488,1777544620772493,1777544620772496,,,,,,,,3
server,client_mutation,completed,1777544620773498,3,,,,1777544620773489,1777544620773495,1777544620773498,,,,,,,,3
server,client_mutation,completed,1777544620774020,3,,,,1777544620774011,1777544620774017,1777544620774020,,,,,,,,3
server,client_mutation,completed,1777544620774227,3,,,,1777544620774218,1777544620774224,1777544620774227,,,,,,,,3
server,client_mutation,completed,1777544620775000,3,,,,1777544620774991,1777544620774996,1777544620775000,,,,,,,,4
server,client_mutation,completed,1777544620775934,3,,,,1777544620775925,1777544620775931,1777544620775934,,,,,,,,3
server,client_mutation,completed,1777544620776144,3,,,,1777544620776135,1777544620776141,1777544620776144,,,,,,,,3
server,client_mutation,completed,1777544620776759,3,,,,1777544620776750,1777544620776756,1777544620776759,,,,,,,,3
server,client_mutation,completed,1777544620776930,3,,,,1777544620776922,1777544620776927,1777544620776930,,,,,,,,3
server,client_mutation,completed,1777544620778106,3,,,,1777544620778097,1777544620778103,1777544620778106,,,,,,,,3
server,client_mutation,completed,1777544620778327,3,,,,1777544620778318,1777544620778324,1777544620778327,,,,,,,,3
server,client_mutation,completed,1777544620779680,3,,,,1777544620779670,1777544620779677,1777544620779680,,,,,,,,3
server,client_mutation,completed,1777544620779746,3,,,,1777544620779730,1777544620779742,1777544620779746,,,,,,,,4
server,client_mutation,completed,1777544620780830,3,,,,1777544620780812,1777544620780826,1777544620780830,,,,,,,,4
server,client_mutation,completed,1777544620781101,3,,,,1777544620781091,1777544620781098,1777544620781101,,,,,,,,3
server,client_mutation,completed,1777544620782077,3,,,,1777544620782058,1777544620782070,1777544620782077,,,,,,,,7
server,client_mutation,completed,1777544620782195,3,,,,1777544620782184,1777544620782192,1777544620782195,,,,,,,,3
server,client_mutation,completed,1777544620783723,3,,,,1777544620783706,1777544620783719,1777544620783723,,,,,,,,4
server,client_mutation,completed,1777544620783743,3,,,,1777544620783733,1777544620783740,1777544620783743,,,,,,,,3
server,client_mutation,completed,1777544620784911,3,,,,1777544620784899,1777544620784906,1777544620784911,,,,,,,,5
server,client_mutation,completed,1777544620785285,3,,,,1777544620785273,1777544620785280,1777544620785285,,,,,,,,5
server,client_mutation,completed,1777544620786223,3,,,,1777544620786211,1777544620786219,1777544620786223,,,,,,,,4
server,client_mutation,completed,1777544620786599,3,,,,1777544620786588,1777544620786596,1777544620786599,,,,,,,,3
server,client_mutation,completed,1777544620787561,3,,,,1777544620787550,1777544620787557,1777544620787561,,,,,,,,4
server,client_mutation,completed,1777544620787946,3,,,,1777544620787935,1777544620787942,1777544620787946,,,,,,,,4
server,client_mutation,completed,1777544620788955,3,,,,1777544620788944,1777544620788951,1777544620788955,,,,,,,,4
server,client_mutation,completed,1777544620789221,3,,,,1777544620789209,1777544620789217,1777544620789221,,,,,,,,4
server,client_mutation,completed,1777544620790168,3,,,,1777544620790157,1777544620790164,1777544620790168,,,,,,,,4
server,client_mutation,completed,1777544620790865,3,,,,1777544620790851,1777544620790860,1777544620790865,,,,,,,,5
server,client_mutation,completed,1777544620791562,3,,,,1777544620791549,1777544620791557,1777544620791562,,,,,,,,5
server,client_mutation,completed,1777544620791801,3,,,,1777544620791791,1777544620791797,1777544620791801,,,,,,,,4
server,client_mutation,completed,1777544620792508,3,,,,1777544620792497,1777544620792504,1777544620792508,,,,,,,,4
server,client_mutation,completed,1777544620793420,3,,,,1777544620793409,1777544620793416,1777544620793420,,,,,,,,4
server,client_mutation,completed,1777544620793799,3,,,,1777544620793787,1777544620793795,1777544620793799,,,,,,,,4
server,client_mutation,completed,1777544620794189,3,,,,1777544620794177,1777544620794185,1777544620794189,,,,,,,,4
server,client_mutation,completed,1777544620794577,3,,,,1777544620794567,1777544620794573,1777544620794577,,,,,,,,4
server,client_mutation,completed,1777544620795650,3,,,,1777544620795639,1777544620795646,1777544620795650,,,,,,,,4
server,client_mutation,completed,1777544620795887,3,,,,1777544620795866,1777544620795882,1777544620795887,,,,,,,,5
server,client_mutation,completed,1777544620796630,3,,,,1777544620796617,1777544620796626,1777544620796630,,,,,,,,4
server,client_mutation,completed,1777544620796962,3,,,,1777544620796951,1777544620796958,1777544620796962,,,,,,,,4
server,client_mutation,completed,1777544620797921,3,,,,1777544620797893,1777544620797913,1777544620797921,,,,,,,,8
server,client_mutation,completed,1777544620798145,3,,,,1777544620798132,1777544620798140,1777544620798145,,,,,,,,5
server,client_mutation,completed,1777544620799041,3,,,,1777544620799026,1777544620799036,1777544620799041,,,,,,,,5
server,client_mutation,completed,1777544620799588,3,,,,1777544620799542,1777544620799551,1777544620799588,,,,,,,,37
server,client_mutation,completed,1777544620800351,3,,,,1777544620800328,1777544620800346,1777544620800351,,,,,,,,5
server,client_mutation,completed,1777544620800411,3,,,,1777544620800395,1777544620800405,1777544620800411,,,,,,,,6
server,client_mutation,completed,1777544620801693,3,,,,1777544620801680,1777544620801688,1777544620801693,,,,,,,,5
server,client_mutation,completed,1777544620801866,3,,,,1777544620801846,1777544620801862,1777544620801866,,,,,,,,4
server,client_mutation,completed,1777544620803167,3,,,,1777544620803154,1777544620803163,1777544620803167,,,,,,,,4
server,client_mutation,completed,1777544620803389,3,,,,1777544620803377,1777544620803385,1777544620803389,,,,,,,,4
server,client_mutation,completed,1777544620804127,3,,,,1777544620804115,1777544620804122,1777544620804127,,,,,,,,5
server,client_mutation,completed,1777544620804174,3,,,,1777544620804161,1777544620804169,1777544620804174,,,,,,,,5
server,client_mutation,completed,1777544620805400,3,,,,1777544620805387,1777544620805395,1777544620805400,,,,,,,,5
server,client_mutation,completed,1777544620805687,3,,,,1777544620805674,1777544620805683,1777544620805687,,,,,,,,4
server,client_mutation,completed,1777544620806739,3,,,,1777544620806727,1777544620806735,1777544620806739,,,,,,,,4
server,client_mutation,completed,1777544620806761,3,,,,1777544620806748,1777544620806756,1777544620806761,,,,,,,,5
server,client_mutation,completed,1777544620808067,3,,,,1777544620808054,1777544620808063,1777544620808067,,,,,,,,4
server,client_mutation,completed,1777544620808426,3,,,,1777544620808413,1777544620808421,1777544620808426,,,,,,,,5
server,client_mutation,completed,1777544620809443,3,,,,1777544620809423,1777544620809438,1777544620809443,,,,,,,,5
server,client_mutation,completed,1777544620809565,3,,,,1777544620809552,1777544620809560,1777544620809565,,,,,,,,5
server,client_mutation,completed,1777544620810897,3,,,,1777544620810883,1777544620810892,1777544620810897,,,,,,,,5
server,client_mutation,completed,1777544620810921,3,,,,1777544620810907,1777544620810916,1777544620810921,,,,,,,,5
server,client_mutation,completed,1777544620811950,3,,,,1777544620811928,1777544620811944,1777544620811950,,,,,,,,6
server,client_mutation,completed,1777544620812157,3,,,,1777544620812143,1777544620812152,1777544620812157,,,,,,,,5
server,client_mutation,completed,1777544620813512,3,,,,1777544620813498,1777544620813506,1777544620813512,,,,,,,,6
server,client_mutation,completed,1777544620813642,3,,,,1777544620813627,1777544620813636,1777544620813642,,,,,,,,6
server,client_mutation,completed,1777544620814709,3,,,,1777544620814693,1777544620814703,1777544620814709,,,,,,,,6
server,client_mutation,completed,1777544620814972,3,,,,1777544620814958,1777544620814967,1777544620814972,,,,,,,,5
server,client_mutation,completed,1777544620815917,3,,,,1777544620815902,1777544620815912,1777544620815917,,,,,,,,5
server,client_mutation,completed,1777544620816011,3,,,,1777544620815982,1777544620815994,1777544620816011,,,,,,,,17
server,client_mutation,completed,1777544620817553,3,,,,1777544620817511,1777544620817544,1777544620817553,,,,,,,,9
server,client_mutation,completed,1777544620817579,3,,,,1777544620817561,1777544620817571,1777544620817579,,,,,,,,8
server,client_mutation,completed,1777544620819019,3,,,,1777544620819002,1777544620819014,1777544620819019,,,,,,,,5
server,client_mutation,completed,1777544620819159,3,,,,1777544620819143,1777544620819154,1777544620819159,,,,,,,,5
server,client_mutation,completed,1777544620820559,3,,,,1777544620820538,1777544620820553,1777544620820559,,,,,,,,6
server,client_mutation,completed,1777544620820578,3,,,,1777544620820565,1777544620820573,1777544620820578,,,,,,,,5
server,client_mutation,completed,1777544620821972,3,,,,1777544620821956,1777544620821966,1777544620821972,,,,,,,,6
server,client_mutation,completed,1777544620822433,3,,,,1777544620822417,1777544620822427,1777544620822433,,,,,,,,6
server,client_mutation,completed,1777544620822823,3,,,,1777544620822807,1777544620822817,1777544620822823,,,,,,,,6
server,client_mutation,completed,1777544620823752,3,,,,1777544620823736,1777544620823746,1777544620823752,,,,,,,,6
