source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1777543821385573,1,,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1777543821463644,1,,,,,1777543821385586,1777543821463644,,,"1,127.0.0.1:19181,0",,,,,78058
server,persistent_state_fetch,completed,1777543821484031,1,,,,,1777543821463662,1777543821484031,,,persistent_snapshot_missing,,,,,20369
server,persistent_state_write,completed,1777543821506915,1,,,,,1777543821484041,1777543821506915,,,initial_snapshot,,,,,22874
server,persistent_state_fetch,completed,1777543821506922,1,,,,,,,,,initialized_new_persistent_snapshot,,,,,
server,membership_directory_read,completed,1777543821532290,1,,,,,1777543821506927,1777543821532290,,,init:1 descriptors,,,,,25363
server,replica_init,completed,1777543821532361,1,,,,,,,,,,,,,,
server,client_mutation,completed,1777543821532416,1,,,,1777543821532398,1777543821532414,1777543821532416,,,,,,,,2
server,client_mutation,completed,1777543821532432,1,,,,1777543821532424,1777543821532430,1777543821532432,,,,,,,,2
client,client_request,completed,1777543821532912,1,,,1777543821095776,1777543821532912,1777543821095776,1777543821532912,,,,client-1-0,Insert,1137163,200,437136
client,client_request,completed,1777543821533148,1,,,1777543821095167,1777543821533148,1777543821095167,1777543821533148,,,,client-1-1,Remove,-160090,200,437981
server,client_mutation,completed,1777543821533894,1,,,,1777543821533887,1777543821533892,1777543821533894,,,,,,,,2
server,client_mutation,completed,1777543821533977,1,,,,1777543821533970,1777543821533975,1777543821533977,,,,,,,,2
client,client_request,completed,1777543821534125,1,,,1777543821533411,1777543821534125,1777543821533411,1777543821534125,,,,client-1-1,Insert,781364,200,714
client,client_request,completed,1777543821534465,1,,,1777543821533229,1777543821534465,1777543821533229,1777543821534465,,,,client-1-0,Remove,1216931,200,1236
server,client_mutation,completed,1777543821534821,1,,,,1777543821534813,1777543821534818,1777543821534821,,,,,,,,3
server,client_mutation,completed,1777543821534888,1,,,,1777543821534881,1777543821534886,1777543821534888,,,,,,,,2
client,client_request,completed,1777543821535021,1,,,1777543821534329,1777543821535021,1777543821534329,1777543821535021,,,,client-1-1,Remove,-1944566,200,692
client,client_request,completed,1777543821535311,1,,,1777543821534543,1777543821535311,1777543821534543,1777543821535311,,,,client-1-0,Insert,-1515954,200,768
server,client_mutation,completed,1777543821535705,1,,,,1777543821535699,1777543821535703,1777543821535705,,,,,,,,2
server,client_mutation,completed,1777543821535779,1,,,,1777543821535776,1777543821535778,1777543821535779,,,,,,,,1
client,client_request,completed,1777543821535985,1,,,1777543821535211,1777543821535985,1777543821535211,1777543821535985,,,,client-1-1,Remove,-35992,200,774
client,client_request,completed,1777543821536021,1,,,1777543821535380,1777543821536021,1777543821535380,1777543821536021,,,,client-1-0,Remove,-1025385,200,641
server,client_mutation,completed,1777543821536421,1,,,,1777543821536410,1777543821536414,1777543821536421,,,,,,,,7
server,client_mutation,completed,1777543821536475,1,,,,1777543821536468,1777543821536473,1777543821536475,,,,,,,,2
client,client_request,completed,1777543821536713,1,,,1777543821536059,1777543821536713,1777543821536059,1777543821536713,,,,client-1-1,Insert,1047816,200,654
client,client_request,completed,1777543821536757,1,,,1777543821536137,1777543821536757,1777543821536137,1777543821536757,,,,client-1-0,Remove,-599794,200,620
server,client_mutation,completed,1777543821537183,1,,,,1777543821537176,1777543821537181,1777543821537183,,,,,,,,2
server,client_mutation,completed,1777543821537240,1,,,,1777543821537234,1777543821537238,1777543821537240,,,,,,,,2
client,client_request,completed,1777543821537447,1,,,1777543821536803,1777543821537447,1777543821536803,1777543821537447,,,,client-1-1,Insert,1689234,200,644
client,client_request,completed,1777543821537486,1,,,1777543821536887,1777543821537486,1777543821536887,1777543821537486,,,,client-1-0,Insert,485137,200,599
server,client_mutation,completed,1777543821537872,1,,,,1777543821537865,1777543821537869,1777543821537872,,,,,,,,3
server,client_mutation,completed,1777543821537910,1,,,,1777543821537905,1777543821537909,1777543821537910,,,,,,,,1
