source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1777543829611734,1,,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1777543829682626,1,,,,,1777543829611748,1777543829682626,,,"1,127.0.0.1:19281,0",,,,,70878
server,persistent_state_fetch,completed,1777543829704465,1,,,,,1777543829682636,1777543829704465,,,persistent_snapshot_missing,,,,,21829
server,persistent_state_write,completed,1777543829738212,1,,,,,1777543829704472,1777543829738212,,,initial_snapshot,,,,,33740
server,persistent_state_fetch,completed,1777543829738216,1,,,,,,,,,initialized_new_persistent_snapshot,,,,,
server,membership_directory_read,completed,1777543829759741,1,,,,,1777543829738219,1777543829759741,,,init:1 descriptors,,,,,21522
server,replica_init,completed,1777543829759785,1,,,,,,,,,,,,,,
server,client_mutation,completed,1777543829759817,1,,,,1777543829759804,1777543829759815,1777543829759817,,,,,,,,2
server,client_mutation,completed,1777543829759826,1,,,,1777543829759821,1777543829759825,1777543829759826,,,,,,,,1
server,client_mutation,completed,1777543829760983,1,,,,1777543829760979,1777543829760982,1777543829760983,,,,,,,,1
server,client_mutation,completed,1777543829761106,1,,,,1777543829761077,1777543829761104,1777543829761106,,,,,,,,2
server,client_mutation,completed,1777543829761832,1,,,,1777543829761827,1777543829761831,1777543829761832,,,,,,,,1
server,client_mutation,completed,1777543829761993,1,,,,1777543829761975,1777543829761992,1777543829761993,,,,,,,,1
server,client_mutation,completed,1777543829762734,1,,,,1777543829762730,1777543829762733,1777543829762734,,,,,,,,1
server,client_mutation,completed,1777543829762832,1,,,,1777543829762829,1777543829762831,1777543829762832,,,,,,,,1
server,client_mutation,completed,1777543829763548,1,,,,1777543829763543,1777543829763546,1777543829763548,,,,,,,,2
server,client_mutation,completed,1777543829763586,1,,,,1777543829763581,1777543829763585,1777543829763586,,,,,,,,1
server,client_mutation,completed,1777543829764224,1,,,,1777543829764217,1777543829764220,1777543829764224,,,,,,,,4
server,client_mutation,completed,1777543829764257,1,,,,1777543829764253,1777543829764256,1777543829764257,,,,,,,,1
server,client_mutation,completed,1777543829764838,1,,,,1777543829764833,1777543829764836,1777543829764838,,,,,,,,2
server,client_mutation,completed,1777543829764869,1,,,,1777543829764843,1777543829764867,1777543829764869,,,,,,,,2
server,client_mutation,completed,1777543829765541,1,,,,1777543829765536,1777543829765539,1777543829765541,,,,,,,,2
server,client_mutation,completed,1777543829765547,1,,,,1777543829765544,1777543829765546,1777543829765547,,,,,,,,1
server,client_mutation,completed,1777543829766236,1,,,,1777543829766231,1777543829766234,1777543829766236,,,,,,,,2
server,client_mutation,completed,1777543829766271,1,,,,1777543829766250,1777543829766254,1777543829766271,,,,,,,,17
server,client_mutation,completed,1777543829767063,1,,,,1777543829767058,1777543829767062,1777543829767063,,,,,,,,1
server,client_mutation,completed,1777543829767103,1,,,,1777543829767099,1777543829767102,1777543829767103,,,,,,,,1
server,client_mutation,completed,1777543829767709,1,,,,1777543829767703,1777543829767707,1777543829767709,,,,,,,,2
server,client_mutation,completed,1777543829767717,1,,,,1777543829767714,1777543829767716,1777543829767717,,,,,,,,1
server,client_mutation,completed,1777543829768447,1,,,,1777543829768440,1777543829768445,1777543829768447,,,,,,,,2
server,client_mutation,completed,1777543829768456,1,,,,1777543829768450,1777543829768452,1777543829768456,,,,,,,,4
server,client_mutation,completed,1777543829769090,1,,,,1777543829769083,1777543829769088,1777543829769090,,,,,,,,2
server,client_mutation,completed,1777543829769131,1,,,,1777543829769125,1777543829769129,1777543829769131,,,,,,,,2
server,client_mutation,completed,1777543829769897,1,,,,1777543829769870,1777543829769895,1777543829769897,,,,,,,,2
server,client_mutation,completed,1777543829769988,1,,,,1777543829769981,1777543829769986,1777543829769988,,,,,,,,2
server,client_mutation,completed,1777543829770843,1,,,,1777543829770835,1777543829770840,1777543829770843,,,,,,,,3
server,client_mutation,completed,1777543829770855,1,,,,1777543829770848,1777543829770852,1777543829770855,,,,,,,,3
server,client_mutation,completed,1777543829771431,1,,,,1777543829771420,1777543829771429,1777543829771431,,,,,,,,2
server,client_mutation,completed,1777543829771452,1,,,,1777543829771445,1777543829771450,1777543829771452,,,,,,,,2
server,client_mutation,completed,1777543829772020,1,,,,1777543829772007,1777543829772012,1777543829772020,,,,,,,,8
server,client_mutation,completed,1777543829772031,1,,,,1777543829772025,1777543829772029,1777543829772031,,,,,,,,2
server,client_mutation,completed,1777543829772624,1,,,,1777543829772617,1777543829772621,1777543829772624,,,,,,,,3
server,client_mutation,completed,1777543829772634,1,,,,1777543829772629,1777543829772632,1777543829772634,,,,,,,,2
server,client_mutation,completed,1777543829773230,1,,,,1777543829773221,1777543829773228,1777543829773230,,,,,,,,2
server,client_mutation,completed,1777543829773241,1,,,,1777543829773235,1777543829773238,1777543829773241,,,,,,,,3
server,client_mutation,completed,1777543829773774,1,,,,1777543829773766,1777543829773771,1777543829773774,,,,,,,,3
server,client_mutation,completed,1777543829773784,1,,,,1777543829773778,1777543829773781,1777543829773784,,,,,,,,3
server,client_mutation,completed,1777543829774325,1,,,,1777543829774318,1777543829774323,1777543829774325,,,,,,,,2
server,client_mutation,completed,1777543829774361,1,,,,1777543829774354,1777543829774358,1777543829774361,,,,,,,,3
