source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1777543512112426,1,,,,,,,,,,,,,,
client,client_request,completed,1777543512177321,1,,,1777543511943804,1777543512177321,1777543511943804,1777543512177321,,,RemoteDisconnected: Remote end closed connection without response,client-1-0,Insert,-1449605,,233517
client,client_request,completed,1777543512177483,1,,,1777543511944251,1777543512177483,1777543511944251,1777543512177483,,,RemoteDisconnected: Remote end closed connection without response,client-1-1,Insert,1899340,,233232
client,client_request,completed,1777543512178052,1,,,1777543512177605,1777543512178052,1777543512177605,1777543512178052,,,ConnectionRefusedError: [Errno 61] Connection refused,client-1-0,Remove,-787403,,447
client,client_request,completed,1777543512178219,1,,,1777543512177803,1777543512178219,1777543512177803,1777543512178219,,,ConnectionRefusedError: [Errno 61] Connection refused,client-1-1,Remove,-886563,,416
client,client_request,completed,1777543512178383,1,,,1777543512178151,1777543512178383,1777543512178151,1777543512178383,,,ConnectionRefusedError: [Errno 61] Connection refused,client-1-0,Insert,-1940474,,232
client,client_request,completed,1777543512178521,1,,,1777543512178279,1777543512178521,1777543512178279,1777543512178521,,,ConnectionRefusedError: [Errno 61] Connection refused,client-1-1,Remove,387729,,242
client,client_request,completed,1777543512178714,1,,,1777543512178436,1777543512178714,1777543512178436,1777543512178714,,,ConnectionRefusedError: [Errno 61] Connection refused,client-1-0,Remove,712494,,278
client,client_request,completed,1777543512178766,1,,,1777543512178574,1777543512178766,1777543512178574,1777543512178766,,,ConnectionRefusedError: [Errno 61] Connection refused,client-1-1,Insert,288054,,192
client,client_request,completed,1777543512179023,1,,,1777543512178797,1777543512179023,1777543512178797,1777543512179023,,,ConnectionRefusedError: [Errno 61] Connection refused,client-1-0,Remove,1418802,,226
client,client_request,completed,1777543512179062,1,,,1777543512178869,1777543512179062,1777543512178869,1777543512179062,,,ConnectionRefusedError: [Errno 61] Connection refused,client-1-1,Remove,574868,,193
client,client_request,completed,1777543512179288,1,,,1777543512179091,1777543512179288,1777543512179091,1777543512179288,,,ConnectionRefusedError: [Errno 61] Connection refused,client-1-0,Remove,376567,,197
client,client_request,completed,1777543512179327,1,,,1777543512179149,1777543512179327,1777543512179149,1777543512179327,,,ConnectionRefusedError: [Errno 61] Connection refused,client-1-1,Insert,452617,,178
client,client_request,completed,1777543512179577,1,,,1777543512179356,1777543512179577,1777543512179356,1777543512179577,,,ConnectionRefusedError: [Errno 61] Connection refused,client-1-0,Remove,1425471,,221
client,client_request,completed,1777543512179622,1,,,1777543512179412,1777543512179622,1777543512179412,1777543512179622,,,ConnectionRefusedError: [Errno 61] Connection refused,client-1-1,Remove,219487,,210
