source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
client,client_request,completed,1777543532601173,5,,,1777543532391976,1777543532601173,1777543532391976,1777543532601173,,,RemoteDisconnected: Remote end closed connection without response,client-5-1,Remove,1652408,,209197
client,client_request,completed,1777543532602261,5,,,1777543532601524,1777543532602261,1777543532601524,1777543532602261,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Insert,1393828,,737
client,client_request,completed,1777543532603439,5,,,1777543532602579,1777543532603439,1777543532602579,1777543532603439,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Insert,1429398,,860
client,client_request,completed,1777543532605001,5,,,1777543532603737,1777543532605001,1777543532603737,1777543532605001,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,1569213,,1264
client,client_request,completed,1777543532608101,5,,,1777543532605187,1777543532608101,1777543532605187,1777543532608101,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,770679,,2914
client,client_request,completed,1777543532613401,5,,,1777543532608142,1777543532613401,1777543532608142,1777543532613401,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Insert,-1804416,,5259
client,client_request,completed,1777543532616013,5,,,1777543532614765,1777543532616013,1777543532614765,1777543532616013,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Insert,1275902,,1248
client,client_request,completed,1777543532618004,5,,,1777543532616255,1777543532618004,1777543532616255,1777543532618004,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,-225625,,1749
client,client_request,completed,1777543532620635,5,,,1777543532618051,1777543532620635,1777543532618051,1777543532620635,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,-1887604,,2584
client,client_request,completed,1777543532623307,5,,,1777543532621261,1777543532623307,1777543532621261,1777543532623307,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,-1234014,,2046
client,client_request,completed,1777543532624511,5,,,1777543532623623,1777543532624511,1777543532623623,1777543532624511,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,997616,,888
client,client_request,completed,1777543532626277,5,,,1777543532624787,1777543532626277,1777543532624787,1777543532626277,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,579568,,1490
client,client_request,completed,1777543532627609,5,,,1777543532626501,1777543532627609,1777543532626501,1777543532627609,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,557944,,1108
client,client_request,completed,1777543532628778,5,,,1777543532627860,1777543532628778,1777543532627860,1777543532628778,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Insert,1980323,,918
client,client_request,completed,1777543532630820,5,,,1777543532629298,1777543532630820,1777543532629298,1777543532630820,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,-892975,,1522
client,client_request,completed,1777543532632911,5,,,1777543532631138,1777543532632911,1777543532631138,1777543532632911,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Insert,1500297,,1773
client,client_request,completed,1777543532634038,5,,,1777543532633202,1777543532634038,1777543532633202,1777543532634038,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Insert,-1350688,,836
client,client_request,completed,1777543532635503,5,,,1777543532634284,1777543532635503,1777543532634284,1777543532635503,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,639060,,1219
client,client_request,completed,1777543532637571,5,,,1777543532636122,1777543532637571,1777543532636122,1777543532637571,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,1896568,,1449
client,client_request,completed,1777543532638977,5,,,1777543532637700,1777543532638977,1777543532637700,1777543532638977,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Insert,-1728330,,1277
client,client_request,completed,1777543532640454,5,,,1777543532639148,1777543532640454,1777543532639148,1777543532640454,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Insert,-8959,,1306
client,client_request,completed,1777543532642156,5,,,1777543532640648,1777543532642156,1777543532640648,1777543532642156,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,1331511,,1508
client,client_request,completed,1777543532643575,5,,,1777543532642198,1777543532643575,1777543532642198,1777543532643575,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Insert,-1767119,,1377
client,client_request,completed,1777543532644404,5,,,1777543532643792,1777543532644404,1777543532643792,1777543532644404,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,-405700,,612
client,client_request,completed,1777543532645556,5,,,1777543532644591,1777543532645556,1777543532644591,1777543532645556,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Insert,55331,,965
client,client_request,completed,1777543532646943,5,,,1777543532645727,1777543532646943,1777543532645727,1777543532646943,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,907535,,1216
client,client_request,completed,1777543532648421,5,,,1777543532646978,1777543532648421,1777543532646978,1777543532648421,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,-279289,,1443
client,client_request,completed,1777543532650895,5,,,1777543532648624,1777543532650895,1777543532648624,1777543532650895,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Insert,1034805,,2271
client,client_request,completed,1777543532651985,5,,,1777543532650971,1777543532651985,1777543532650971,1777543532651985,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,-2081017,,1014
client,client_request,completed,1777543532653072,5,,,1777543532652405,1777543532653072,1777543532652405,1777543532653072,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,-2002299,,667
client,client_request,completed,1777543532655200,5,,,1777543532653578,1777543532655200,1777543532653578,1777543532655200,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,1578615,,1622
client,client_request,completed,1777543532656237,5,,,1777543532655260,1777543532656237,1777543532655260,1777543532656237,,,ConnectionRefusedError: [Errno 61] Connection refused,client-5-1,Remove,920739,,977
